# fw=zero-bracket600 workload=gradius start=2026-09-14 14:39:10 soak=99C prelaunch=schedutil/1008000 launch_up=3505.43 max0=600000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
3518,36408,37748,36877,27200,600000,600000,91,3999000,Discharging,,,,,,,,,,
3521,36341,37681,36676,27200,600000,600000,91,3998000,Discharging,28.5,40.1,10.6,30.1,33.5,1934,2221,,,
3523,36609,38150,36743,27200,600000,600000,91,4001000,Discharging,30.1,44.2,12.8,33.0,30.0,2843,3276,,,
3525,36341,37413,36743,27200,600000,600000,91,4001000,Discharging,28.5,22.9,17.4,26.3,46.5,2858,3318,,,
3527,36073,37882,36810,27200,600000,600000,91,3998000,Discharging,29.8,32.4,23.5,29.3,34.2,3012,3342,,,
3530,36542,38016,37011,27200,600000,600000,91,3997000,Discharging,28.8,27.2,11.8,32.9,43.6,1900,2198,,,
3532,36408,37748,37279,27200,600000,600000,91,3997000,Discharging,29.6,19.7,17.0,18.5,62.7,2821,3302,,,
3534,36542,37681,36676,27200,600000,600000,91,4000000,Discharging,28.6,13.1,18.2,30.3,52.0,2854,3382,,,
3537,36408,37748,37011,27200,600000,600000,91,3996000,Discharging,29.8,20.8,14.5,45.7,38.9,1997,2238,,,
3539,36877,37480,37145,27200,600000,600000,91,4000000,Discharging,29.0,26.3,15.0,38.8,36.6,2828,3312,,,
3541,36542,37949,36944,27200,600000,600000,91,3999000,Discharging,29.5,35.3,8.5,40.9,32.4,2938,3328,,,
3543,36810,37815,37011,27200,600000,600000,91,3999000,Discharging,28.6,16.0,11.8,29.3,56.8,2820,3327,,,
3546,36475,37815,37078,27200,600000,600000,91,3998000,Discharging,28.4,26.2,14.1,23.8,49.8,2007,2242,,,
3548,37145,37547,36743,27200,600000,600000,91,3998000,Discharging,29.4,20.8,11.6,54.8,29.3,2889,3360,,,
3550,36609,37882,37346,27200,600000,600000,91,3998000,Discharging,27.6,12.6,11.1,31.7,55.1,2820,3334,,,
3553,36408,37614,36609,27200,600000,600000,91,3993000,Discharging,29.0,13.2,15.6,30.7,55.7,1945,2242,,,
3555,36408,37681,36877,27300,600000,600000,91,3995000,Discharging,28.2,12.2,10.7,33.6,55.5,2840,3366,,,
3557,36408,37949,36944,27200,600000,600000,91,3996000,Discharging,29.3,12.2,12.9,42.9,48.5,3026,3459,,,
3559,36341,37614,36944,27200,600000,600000,91,3996000,Discharging,28.9,12.2,9.4,35.0,59.0,2758,3270,,,
3562,36743,38150,37145,27200,600000,600000,91,4000000,Discharging,29.8,13.8,11.6,38.6,54.6,1884,2221,,,
3564,36408,37614,37145,27200,600000,600000,91,3998000,Discharging,28.7,11.0,9.0,49.6,44.0,2812,3353,,,
3566,36676,38016,36877,27200,600000,600000,91,4000000,Discharging,27.7,18.1,9.0,37.0,46.1,2854,3163,,,
3569,36073,38217,36743,27200,600000,600000,91,4002000,Discharging,21.4,20.7,13.3,21.4,30.5,1631,1863,,,
3571,35202,36475,35738,27200,600000,600000,91,4006000,Discharging,16.8,27.7,15.9,8.6,14.6,1331,1170,,,
3573,35202,36542,35738,27200,600000,600000,91,4007000,Discharging,19.8,17.1,20.6,26.8,15.0,1546,1526,,,
3575,36073,37145,36542,27200,600000,600000,91,3995000,Discharging,29.6,16.5,15.8,35.2,50.0,2821,3277,,,
3578,36207,37547,37346,27300,600000,600000,91,3996000,Discharging,29.5,15.8,11.1,64.5,27.0,1992,2259,,,
3580,36609,37681,36676,27200,600000,600000,91,3998000,Discharging,28.7,10.9,13.1,28.0,61.0,2830,3334,,,
3582,36475,38284,36877,27300,600000,600000,91,3998000,Discharging,29.7,14.7,18.8,45.8,40.0,2835,3315,,,
3585,36542,37748,36743,27300,600000,600000,91,3997000,Discharging,28.7,11.6,9.7,35.0,58.3,1876,2235,,,
3587,36408,37748,37212,27200,600000,600000,91,3997000,Discharging,30.1,17.6,11.3,42.4,47.1,3030,3392,,,
3589,36475,37882,36944,27300,600000,600000,91,3998000,Discharging,28.9,13.3,8.4,21.1,73.3,2830,3370,,,
3591,36274,37614,36810,27300,600000,600000,91,3999000,Discharging,29.2,15.6,8.1,53.5,39.0,2833,3276,,,
3594,36475,37681,36676,27200,600000,600000,91,3991000,Discharging,29.4,15.6,9.8,48.2,44.2,1909,2240,,,
3596,36341,37949,37078,27300,600000,600000,91,3996000,Discharging,28.9,12.5,12.9,31.1,58.4,2806,3329,,,
3598,36676,38485,36877,27300,600000,600000,91,3995000,Discharging,29.8,11.4,15.0,47.1,45.3,2975,3360,,,
3601,37011,37480,37346,27300,600000,600000,91,3994000,Discharging,29.3,12.4,15.6,36.6,52.0,1880,2210,,,
3603,36676,38083,36609,27300,600000,600000,91,3999000,Discharging,29.1,13.1,10.2,42.7,50.0,2812,3328,,,
3605,36743,37882,37279,27200,600000,600000,91,4000000,Discharging,28.7,14.2,8.4,28.4,63.7,2847,3353,,,
3608,36207,38217,37346,27300,600000,600000,91,3998000,Discharging,29.3,15.2,9.9,45.6,46.1,1978,2252,,,
3610,36743,37815,37145,27300,600000,600000,91,3990000,Discharging,27.8,11.7,12.7,30.9,55.5,2823,3335,,,
3612,36810,37413,36877,27300,600000,600000,91,3993000,Discharging,29.7,17.3,11.9,19.0,70.0,2862,3336,,,
