# fw=zero-bracket600 workload=zelda start=2026-09-14 14:06:05 soak=99C prelaunch=schedutil/1008000 launch_up=1520.99 max0=600000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
1534,32857,34063,33326,25000,600000,600000,95,4034000,Discharging,,,,,,,,,,
1536,32924,34398,33795,25000,600000,600000,95,4037000,Discharging,22.5,14.1,12.8,16.2,47.2,2802,3236,,,
1538,33058,34398,33326,25000,600000,600000,95,4037000,Discharging,20.4,12.7,9.0,22.3,37.0,2722,3267,,,
1541,33259,34331,33594,25000,600000,600000,95,4036000,Discharging,21.3,13.1,8.6,41.4,21.5,1946,2195,,,
1543,32388,33862,33326,25000,600000,600000,95,4038000,Discharging,12.6,16.8,8.9,12.4,12.4,1296,1194,,,
1545,32589,33862,32991,25000,600000,600000,95,4035000,Discharging,15.5,11.8,23.5,7.1,19.2,1727,1942,,,
1547,33125,34264,33259,25000,600000,600000,95,4032000,Discharging,19.5,26.9,13.0,17.6,20.4,2656,3049,,,
1550,33326,34398,32991,25000,600000,600000,95,4032000,Discharging,19.3,30.4,14.7,20.9,10.4,1894,2115,,,
1552,32924,34666,33594,25000,600000,600000,95,4039000,Discharging,19.6,34.1,19.6,17.0,9.0,2724,3048,,,
1554,32857,34197,33326,25000,600000,600000,95,4036000,Discharging,19.1,25.4,18.5,17.0,15.0,2378,2594,,,
1557,32790,34398,33125,25000,600000,600000,95,4038000,Discharging,16.4,24.8,15.1,17.3,9.0,1369,1455,,,
1559,32522,33527,32589,25000,600000,600000,95,4037000,Discharging,16.0,26.8,14.6,10.7,11.6,1861,1946,,,
1561,33058,33862,32924,25000,600000,600000,95,4038000,Discharging,16.5,24.3,15.9,13.9,11.3,2350,2447,,,
1563,32321,33594,33326,25000,600000,600000,95,4042000,Discharging,13.6,19.4,12.4,10.7,12.5,1592,1636,,,
1566,32522,33594,32589,25000,600000,600000,95,4042000,Discharging,12.4,17.5,9.8,8.9,13.5,984,1014,,,
1568,32589,33795,32991,25000,600000,600000,95,4039000,Discharging,15.3,22.1,10.2,10.2,18.3,1906,2045,,,
1570,32455,33795,33058,25000,600000,600000,95,4034000,Discharging,13.8,21.3,12.9,10.3,12.1,2108,2215,,,
1572,32388,34331,32924,25000,600000,600000,95,4038000,Discharging,13.1,19.0,9.8,11.1,11.2,1607,1660,,,
1575,32254,33393,33192,25100,600000,600000,95,4040000,Discharging,11.6,16.4,12.8,9.8,7.2,1004,1100,,,
1577,32254,33929,32656,25000,600000,600000,95,4040000,Discharging,12.7,17.3,12.8,11.1,9.4,1489,1500,,,
1579,32254,33929,32656,25000,600000,600000,95,4040000,Discharging,12.9,20.1,10.1,13.7,8.5,1503,1481,,,
1582,32321,33795,32723,25000,600000,600000,95,4040000,Discharging,11.6,21.8,11.0,7.1,6.7,1072,1005,,,
1584,32187,33192,32254,25000,600000,600000,95,4038000,Discharging,12.2,16.3,10.2,9.3,12.9,1393,1368,,,
1586,32321,33527,32656,25100,600000,600000,95,4040000,Discharging,10.9,14.5,6.2,14.7,7.2,1340,1358,,,
1588,32053,33058,32790,25100,600000,600000,95,4040000,Discharging,11.7,9.3,18.3,10.8,8.9,1364,1393,,,
1591,31852,33326,32924,25100,600000,600000,95,4040000,Discharging,11.2,9.3,15.6,6.6,12.9,983,932,,,
1593,31852,33326,32455,25100,600000,600000,95,4030000,Discharging,11.8,11.9,20.1,9.7,5.8,1408,1410,,,
1595,31718,33996,32723,25100,600000,600000,95,4040000,Discharging,10.8,11.6,13.9,4.4,12.6,1300,1342,,,
1597,31986,33125,32857,25100,600000,600000,95,4039000,Discharging,11.9,11.0,23.6,8.0,5.8,1372,1378,,,
1600,31986,32857,32790,25100,600000,600000,95,4041000,Discharging,10.8,12.8,9.4,5.9,14.7,908,932,,,
1602,32120,33527,32254,25100,600000,600000,95,4035000,Discharging,10.7,12.9,8.0,6.8,15.0,1509,1426,,,
1604,31785,33661,32857,25100,600000,600000,95,4037000,Discharging,11.9,9.3,9.3,23.6,5.8,1320,1365,,,
1606,31919,33393,32723,25100,600000,600000,95,4038000,Discharging,11.1,9.3,19.0,12.0,4.0,1335,1364,,,
1609,31986,33460,32656,25100,600000,600000,95,4038000,Discharging,11.9,10.1,9.7,5.8,21.5,904,911,,,
1611,32053,33460,32522,25100,600000,600000,95,4035000,Discharging,11.6,9.7,7.5,23.8,5.3,1554,1439,,,
1613,32388,33125,32455,25100,600000,600000,95,4040000,Discharging,12.0,9.3,8.4,22.9,6.6,1352,1404,,,
1616,32254,33058,32857,25100,600000,600000,95,4039000,Discharging,11.0,10.9,4.4,22.5,6.7,913,949,,,
1618,31651,33259,32656,25100,600000,600000,95,4041000,Discharging,11.0,20.2,7.2,11.1,5.9,1384,1366,,,
1620,31919,33326,32388,25100,600000,600000,95,4038000,Discharging,10.2,15.1,6.6,11.3,8.5,1335,1336,,,
1622,32522,33862,33259,25100,600000,600000,95,4035000,Discharging,15.9,25.8,11.7,13.4,12.5,2308,2400,,,
1625,33326,34197,33594,25100,600000,600000,95,4035000,Discharging,21.7,29.6,13.9,20.0,22.9,1916,2168,,,
1627,32991,34666,33125,25100,600000,600000,95,4036000,Discharging,21.5,19.8,14.7,20.7,30.5,2856,3276,,,
1629,32924,34599,33929,25200,600000,600000,95,4034000,Discharging,22.8,16.4,9.0,26.9,39.1,2830,3233,,,
1631,33058,34599,33795,25200,600000,600000,95,4034000,Discharging,21.5,15.8,6.4,8.9,54.6,2964,3270,,,
1634,33326,34398,33996,25200,600000,600000,95,4033000,Discharging,23.3,14.5,7.6,13.8,56.6,1857,2153,,,
1636,32991,34532,34130,25200,600000,600000,95,4030000,Discharging,22.2,15.7,8.6,16.4,47.8,2759,3227,,,
1638,33125,34666,33594,25100,600000,600000,95,4036000,Discharging,21.4,14.0,11.9,29.3,30.4,2725,3208,,,
1641,32924,34197,33527,25200,600000,600000,95,4032000,Discharging,20.5,14.6,8.1,25.9,32.9,1693,1929,,,
1643,32120,33929,32924,25200,600000,600000,95,4038000,Discharging,11.7,18.4,11.2,10.6,5.9,1472,1270,,,
1645,32656,34130,33125,25200,600000,600000,95,4028000,Discharging,17.6,24.9,9.3,7.6,28.8,1983,2093,,,
1647,33125,34532,33795,25100,600000,600000,95,4031000,Discharging,20.2,31.3,10.8,19.6,19.4,2743,3173,,,
1650,33527,34465,33728,25200,600000,600000,95,4031000,Discharging,20.8,27.9,15.0,20.6,18.8,1810,2097,,,
1652,32991,34264,33460,25200,600000,600000,95,4034000,Discharging,19.0,29.3,13.3,18.7,14.5,2730,2878,,,
1654,33058,34398,33929,25200,600000,600000,95,4034000,Discharging,20.5,21.2,12.2,28.8,20.8,2487,2765,,,
1657,32790,34465,33259,25200,600000,600000,95,4039000,Discharging,16.0,26.1,11.2,11.1,15.0,1260,1341,,,
1659,32790,33929,33058,25200,600000,600000,95,4040000,Discharging,17.5,25.0,11.7,12.0,21.9,1999,2120,,,
1661,32455,33862,33192,25200,600000,600000,95,4040000,Discharging,15.5,24.6,11.3,9.0,16.9,1979,2193,,,
1663,32522,33728,33125,25200,600000,600000,95,4038000,Discharging,12.9,17.9,6.7,14.2,12.8,1684,1593,,,
1666,32589,33527,32991,25200,600000,600000,95,4040000,Discharging,13.3,21.0,8.1,14.5,9.8,1032,1051,,,
1668,32254,34331,33125,25200,600000,600000,95,4039000,Discharging,14.3,17.8,16.8,11.9,11.2,1887,2141,,,
1670,32388,34197,33527,25200,600000,600000,95,4036000,Discharging,14.7,19.9,14.7,9.0,14.1,1868,2007,,,
1672,32455,33929,33058,25200,600000,600000,95,4039000,Discharging,12.0,16.4,10.3,11.2,10.7,1796,1720,,,
1675,32723,34197,33192,25200,600000,600000,95,4039000,Discharging,12.7,17.9,14.7,10.8,6.2,1059,1087,,,
1677,32254,33326,33125,25200,600000,600000,95,4039000,Discharging,11.2,18.0,12.8,8.4,6.7,1421,1460,,,
1679,32120,33728,32924,25200,600000,600000,95,4028000,Discharging,14.1,21.4,6.8,14.1,14.5,1559,1548,,,
1681,32455,33192,33125,25200,600000,600000,95,4038000,Discharging,11.3,16.9,10.4,10.6,6.7,1438,1474,,,
1684,31785,33795,33058,25200,600000,600000,95,4040000,Discharging,11.5,10.1,12.4,6.6,16.4,1014,967,,,
1686,32455,33594,33326,25200,600000,600000,95,4038000,Discharging,11.7,12.4,4.5,6.6,24.1,1326,1380,,,
1688,31919,33326,32656,25200,600000,600000,95,4035000,Discharging,10.8,10.2,13.0,4.0,14.2,1312,1390,,,
1691,32656,33795,32522,25200,600000,600000,95,4037000,Discharging,11.6,10.5,5.8,22.1,9.4,887,922,,,
1693,31651,33795,32522,25200,408000,600000,95,4038000,Discharging,11.3,11.0,21.1,5.4,6.6,1532,1480,,,
1695,32120,33326,32589,25200,600000,600000,95,4038000,Discharging,12.3,10.9,11.5,9.8,17.0,1330,1392,,,
1697,32321,33527,32924,25200,600000,600000,95,4037000,Discharging,9.9,20.0,10.3,6.3,2.7,1350,1341,,,
1700,31919,33862,32857,25200,600000,600000,95,4036000,Discharging,11.4,11.2,5.4,21.2,8.0,891,901,,,
1702,32120,33594,32522,25200,600000,600000,95,4039000,Discharging,10.9,16.6,14.8,6.6,4.9,1408,1358,,,
1704,32120,33259,32522,25200,600000,600000,95,4039000,Discharging,11.3,13.7,7.5,17.3,7.1,1451,1420,,,
1706,32254,33594,32723,25200,600000,600000,95,4039000,Discharging,11.2,14.2,8.6,7.6,14.7,1338,1356,,,
1709,32455,33393,32857,25200,600000,600000,95,4039000,Discharging,10.9,14.6,15.9,7.1,6.6,925,926,,,
1711,32053,33460,32589,25300,600000,600000,95,4037000,Discharging,12.4,16.0,6.2,16.4,9.3,1425,1396,,,
1713,32254,33661,32522,25200,600000,600000,95,4038000,Discharging,11.4,15.6,7.9,8.5,13.7,1537,1420,,,
1716,31919,33460,33058,25200,600000,600000,95,4034000,Discharging,12.3,16.7,7.6,13.2,12.0,936,898,,,
1718,31852,32991,32656,25200,600000,600000,95,4031000,Discharging,10.6,16.8,7.2,11.2,7.1,1350,1332,,,
1720,31852,33460,33192,25300,600000,600000,95,4037000,Discharging,11.9,17.2,12.9,6.7,11.1,1373,1358,,,
1722,32589,34398,32924,25300,600000,600000,95,4033000,Discharging,17.2,25.8,8.4,13.7,20.8,2364,2692,,,
1725,32857,34130,33192,25300,600000,600000,95,4032000,Discharging,19.9,30.7,12.1,18.9,17.9,1983,2207,,,
1727,33192,34532,33393,25300,600000,600000,95,4032000,Discharging,20.0,28.4,14.9,19.6,16.9,2868,3274,,,
1729,33460,34666,33929,25300,600000,600000,95,4033000,Discharging,21.5,17.5,13.4,22.1,33.3,2838,3282,,,
1731,33460,34733,33661,25300,600000,600000,95,4029000,Discharging,23.7,15.7,11.9,32.9,33.2,2863,3228,,,
1734,33192,34666,33795,25300,600000,600000,95,4033000,Discharging,22.1,14.0,11.1,10.3,53.3,1972,2215,,,
1736,33058,34800,33795,25300,600000,600000,95,4032000,Discharging,22.8,16.4,7.1,11.1,56.3,2730,3240,,,
1738,33728,34934,33862,25300,600000,600000,95,4034000,Discharging,20.4,14.4,8.0,25.9,32.6,2780,3270,,,
1741,33058,34465,33929,25300,600000,600000,95,4035000,Discharging,20.0,14.5,11.1,18.7,36.3,1597,1785,,,
1743,32053,33259,32991,25300,600000,600000,95,4035000,Discharging,11.6,15.6,17.2,7.6,5.8,1320,1212,,,
1745,32924,34130,33125,25300,600000,600000,95,4030000,Discharging,18.1,23.0,20.0,16.0,13.2,2308,2464,,,
1747,32857,34733,33460,25300,600000,600000,95,4029000,Discharging,19.4,30.7,17.7,11.2,17.9,2767,3167,,,
1750,33393,35001,33996,25300,600000,600000,95,4036000,Discharging,19.4,30.4,14.7,18.0,14.7,1791,2088,,,
1752,33594,34532,33661,25300,600000,600000,95,4037000,Discharging,18.6,25.2,19.2,12.1,17.3,2298,2505,,,
1754,33192,34331,33393,25300,600000,600000,95,4034000,Discharging,19.3,27.4,12.7,15.6,22.4,2736,2907,,,
1756,32857,34063,33125,25300,600000,600000,95,4033000,Discharging,17.2,23.4,11.6,17.9,15.4,2008,2130,,,
1759,32455,34398,33259,25300,600000,600000,95,4028000,Discharging,17.0,26.5,12.4,15.4,13.3,1379,1480,,,
1761,32991,33929,33393,25300,600000,600000,95,4038000,Discharging,15.5,21.8,16.8,10.6,12.9,1859,1979,,,
1763,32656,33862,32723,25300,600000,600000,95,4038000,Discharging,12.5,13.4,4.4,7.7,24.6,1528,1568,,,
1766,32321,33393,32522,25300,600000,600000,95,4033000,Discharging,14.2,15.4,16.1,6.2,19.5,1162,1157,,,
1768,32790,34398,33326,25300,600000,600000,95,4030000,Discharging,15.0,25.9,10.1,13.7,11.1,2026,2188,,,
1770,32857,33795,32991,25300,600000,600000,95,4031000,Discharging,13.6,19.6,9.3,14.3,9.8,1846,2016,,,
1772,32656,33728,32991,25300,600000,600000,95,4032000,Discharging,13.5,19.6,10.2,9.0,15.0,1625,1672,,,
1775,32656,33862,32790,25300,600000,600000,95,4036000,Discharging,11.9,18.7,12.8,7.2,9.8,1168,1141,,,
1777,32321,33393,32857,25300,600000,600000,95,4036000,Discharging,11.9,18.3,7.1,11.1,10.3,1420,1370,,,
1779,32187,33594,33259,25300,600000,600000,95,4036000,Discharging,13.4,20.0,8.0,14.6,11.6,1556,1612,,,
1781,32656,33929,33259,25300,600000,600000,95,4036000,Discharging,12.7,19.0,9.8,10.6,11.4,1406,1374,,,
1784,32455,33661,32924,25400,600000,600000,95,4037000,Discharging,11.0,14.4,16.5,8.0,4.5,877,901,,,
1786,32321,33728,32522,25400,600000,600000,95,4036000,Discharging,12.1,19.2,7.6,15.0,6.7,1566,1426,,,
1788,32254,33862,32656,25400,600000,600000,95,4037000,Discharging,11.2,10.9,17.6,13.5,3.5,1328,1418,,,
1791,32120,33393,32924,25300,600000,600000,95,4037000,Discharging,10.9,11.8,6.2,21.3,4.0,868,903,,,
1793,32321,33527,32924,25400,600000,600000,95,4031000,Discharging,12.5,16.0,15.0,7.9,10.7,1400,1374,,,
1795,32321,33527,33192,25400,600000,600000,95,4030000,Discharging,10.8,10.6,5.3,7.1,20.5,1529,1420,,,
1797,31986,33259,32388,25400,600000,600000,95,4036000,Discharging,11.8,15.0,4.0,19.0,9.0,1381,1390,,,
1800,32187,33259,32991,25400,600000,600000,95,4032000,Discharging,10.6,12.9,5.4,13.7,9.9,895,895,,,
1802,32388,33192,33259,25400,408000,600000,95,4036000,Discharging,12.3,18.6,11.9,13.3,6.2,1420,1350,,,
1804,32187,33594,32723,25300,600000,600000,95,4036000,Discharging,11.6,17.3,10.4,10.3,7.6,1436,1408,,,
1806,32321,33594,33058,25400,600000,600000,94,4036000,Discharging,12.1,13.8,16.1,9.3,9.8,1567,1422,,,
1809,32589,33929,32455,25400,600000,600000,94,4034000,Discharging,11.7,10.9,8.8,12.9,14.2,909,921,,,
1811,32187,33460,32924,25400,600000,600000,94,4035000,Discharging,10.5,10.1,7.1,16.6,8.5,1346,1377,,,
1813,32053,33393,33259,25400,600000,600000,94,4036000,Discharging,11.8,18.2,10.6,9.9,8.0,1410,1373,,,
1815,32321,33728,32924,25400,600000,600000,94,4037000,Discharging,11.1,10.6,4.9,11.6,17.4,1448,1404,,,
1818,32187,33862,32924,25400,600000,600000,94,4033000,Discharging,11.9,15.9,10.2,5.4,16.8,910,914,,,
1820,32187,33661,31986,25400,600000,600000,94,4035000,Discharging,11.6,14.2,13.2,10.6,7.1,1411,1389,,,
1822,32991,34331,33661,25400,600000,600000,94,4032000,Discharging,19.6,28.3,13.8,21.2,15.5,2716,3018,,,
1825,33460,34331,33661,25400,600000,600000,94,4032000,Discharging,21.4,22.4,12.5,30.0,20.9,1910,2170,,,
1827,32991,34331,33728,25400,600000,600000,94,4031000,Discharging,23.0,19.1,10.6,15.0,47.1,2975,3300,,,
1829,33259,34599,33661,25400,600000,600000,94,4030000,Discharging,22.2,14.4,8.9,30.8,34.8,2814,3296,,,
1831,33527,35202,34063,25400,600000,600000,94,4031000,Discharging,22.0,13.6,7.2,21.2,44.7,2854,3267,,,
1834,33661,34800,33862,25400,600000,600000,94,4031000,Discharging,23.2,14.0,11.5,14.0,53.3,1881,2167,,,
1836,33192,34666,34130,25400,600000,600000,94,4032000,Discharging,21.6,13.2,8.0,9.8,55.3,2937,3258,,,
1838,33192,34800,33661,25400,600000,600000,94,4033000,Discharging,21.5,17.0,9.3,10.3,48.9,2784,3256,,,
1841,32723,34197,33862,25400,600000,600000,94,4036000,Discharging,17.4,17.9,9.9,8.9,32.2,1368,1493,,,
1843,32388,34197,33058,25400,600000,600000,94,4031000,Discharging,12.7,11.8,5.8,21.4,12.3,1303,1232,,,
1845,32388,34197,33527,25400,600000,600000,94,4029000,Discharging,18.7,22.3,14.2,13.3,24.7,2434,2784,,,
1847,32924,34733,33929,25500,600000,600000,94,4029000,Discharging,20.4,29.3,10.6,16.2,26.3,2871,3228,,,
1850,33460,34532,33661,25400,600000,600000,94,4028000,Discharging,18.9,31.2,16.8,17.7,10.6,1836,2094,,,
1852,33192,34264,33058,25500,600000,600000,94,4032000,Discharging,18.7,27.4,19.6,14.7,11.6,2171,2388,,,
1854,33393,34331,34130,25400,600000,600000,94,4035000,Discharging,18.9,24.9,14.1,21.4,16.0,2300,2602,,,
1856,32790,34130,33527,25400,600000,600000,94,4036000,Discharging,16.7,26.5,14.2,12.2,13.9,2286,2380,,,
1859,32388,33996,33795,25500,600000,600000,94,4028000,Discharging,18.9,26.9,13.2,17.0,17.7,1444,1565,,,
1861,32522,33460,33192,25400,600000,600000,94,4037000,Discharging,13.4,18.7,17.2,7.6,10.1,1592,1654,,,
1863,33125,33862,33058,25400,600000,600000,94,4037000,Discharging,13.7,19.9,13.3,14.0,8.1,1544,1587,,,
1866,32388,34331,32991,25500,600000,600000,94,4036000,Discharging,13.3,20.8,12.8,8.5,11.2,1054,1094,,,
1868,32857,34197,33393,25500,600000,600000,94,4032000,Discharging,15.3,25.0,8.6,15.2,12.9,2224,2306,,,
1870,32656,33862,33259,25500,600000,600000,94,4036000,Discharging,13.1,20.5,15.2,8.4,8.5,1770,1883,,,
1872,32589,33996,33326,25500,600000,600000,94,4035000,Discharging,12.4,20.9,11.7,6.7,9.3,1589,1672,,,
1875,32589,33862,32924,25500,600000,600000,94,4034000,Discharging,12.3,19.6,11.4,11.1,7.1,1058,1111,,,
1877,32254,33326,32857,25500,600000,600000,94,4023000,Discharging,12.3,14.3,15.0,10.1,9.7,1650,1560,,,
1879,32589,33862,32790,25500,600000,600000,94,4028000,Discharging,13.6,18.8,17.1,8.0,10.7,1470,1463,,,
1881,32455,33728,33058,25500,600000,600000,94,4035000,Discharging,11.5,18.6,11.5,9.3,7.1,1402,1382,,,
1884,32589,34130,33192,25500,600000,600000,94,4036000,Discharging,11.9,17.0,11.9,8.9,9.4,899,893,,,
1886,32589,33527,33058,25500,600000,600000,94,4031000,Discharging,10.9,15.2,9.7,7.6,11.1,1354,1354,,,
1888,32388,33929,32991,25500,600000,600000,94,4034000,Discharging,12.3,16.8,6.3,12.4,13.3,1528,1420,,,
1891,31986,33862,32991,25500,600000,600000,94,4033000,Discharging,10.7,12.8,4.5,18.7,7.5,884,910,,,
1893,32120,33795,32991,25500,600000,600000,94,4034000,Discharging,11.5,11.0,8.9,15.6,9.9,1321,1361,,,
