# fw=zero-pin1008 workload=gradius start=2026-09-14 14:22:38 soak=99C prelaunch=schedutil/600000 launch_up=2513.90 max0=1008000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
2527,35470,36877,35470,26300,1008000,1008000,93,4020000,Discharging,,,,,,,,,,
2529,35671,37145,36274,26300,1008000,1008000,93,4019000,Discharging,23.0,20.3,11.0,29.3,31.5,3268,3900,,,
2531,35537,36944,36073,26300,1008000,1008000,93,4020000,Discharging,23.2,27.1,12.5,20.5,32.7,3400,3901,,,
2533,35872,36944,35939,26300,1008000,1008000,93,4020000,Discharging,22.0,16.7,12.7,38.4,20.2,3416,3945,,,
2535,35470,36877,36207,26300,1008000,1008000,93,4014000,Discharging,23.1,22.0,12.9,29.2,27.9,3340,3910,,,
2538,35738,37212,36274,26300,1008000,1008000,93,4019000,Discharging,22.4,18.9,10.6,28.7,31.8,2181,2583,,,
2540,35939,37011,36274,26300,1008000,1008000,93,4019000,Discharging,22.6,24.9,12.4,29.5,23.6,3362,3862,,,
2542,35805,36743,35872,26300,1008000,1008000,93,4019000,Discharging,23.0,30.6,18.6,21.4,20.6,3258,3814,,,
2544,35805,37011,36073,26300,1008000,1008000,93,4019000,Discharging,23.1,21.2,10.5,43.4,17.0,3464,3977,,,
2546,35805,37078,36207,26300,1008000,1008000,93,4019000,Discharging,22.2,23.7,22.3,29.0,14.7,3382,3933,,,
2549,35805,37212,36207,26300,1008000,1008000,93,4018000,Discharging,22.3,24.3,10.6,32.9,21.1,2212,2591,,,
2551,35604,37011,36274,26300,1008000,1008000,93,4019000,Discharging,22.3,18.1,14.7,31.2,24.5,3307,3898,,,
2553,35738,36944,35939,26400,1008000,1008000,93,4018000,Discharging,23.1,30.2,10.6,27.3,24.1,3544,3942,,,
2555,36341,37212,36207,26400,1008000,1008000,93,4015000,Discharging,22.8,23.3,8.8,29.6,30.6,3348,3890,,,
2557,35604,36609,36073,26400,1008000,1008000,93,4019000,Discharging,22.6,29.5,10.1,31.9,18.6,3380,3898,,,
2560,35939,37145,36274,26400,1008000,1008000,93,4019000,Discharging,22.6,14.5,7.5,44.3,23.0,2129,2567,,,
2562,35738,36676,36073,26300,1008000,1008000,93,4019000,Discharging,22.1,22.6,10.2,22.8,32.7,3302,3908,,,
2564,36006,36944,36073,26400,1008000,1008000,93,4018000,Discharging,22.1,27.2,12.0,33.2,16.5,3486,3924,,,
2566,35939,37078,36475,26400,1008000,1008000,93,4019000,Discharging,22.2,22.3,11.2,34.6,19.9,3277,3878,,,
2568,35939,37346,36207,26400,1008000,1008000,93,4017000,Discharging,22.0,24.5,11.6,34.6,17.9,3244,3846,,,
2571,35805,36743,36006,26400,1008000,1008000,93,4014000,Discharging,22.5,19.4,8.4,35.6,26.7,2132,2556,,,
2573,35872,36877,36341,26400,1008000,1008000,93,4019000,Discharging,22.8,20.1,11.6,25.3,33.6,3270,3846,,,
2575,35872,37078,35805,26300,1008000,1008000,93,4028000,Discharging,22.2,19.2,12.8,32.9,24.2,3235,3662,,,
2577,35537,37011,36073,26400,1008000,1008000,93,4018000,Discharging,17.4,33.6,13.0,11.7,10.8,2977,3334,,,
2579,33929,35403,35738,26300,1008000,1008000,93,4027000,Discharging,15.7,25.6,15.3,9.8,11.3,1726,1635,,,
2582,34264,35805,34666,26300,1008000,1008000,93,4028000,Discharging,17.0,28.8,17.1,6.0,15.3,1148,1161,,,
2584,35805,36475,35671,26300,1008000,1008000,93,4020000,Discharging,20.8,32.2,19.1,9.3,23.0,3528,3960,,,
2586,35738,37145,35872,26400,1008000,1008000,93,4020000,Discharging,21.1,34.1,12.7,21.7,16.5,3322,3908,,,
