# fw=zero-pin1008 workload=zelda start=2026-09-14 13:49:35 soak=99C prelaunch=schedutil/600000 launch_up=530.92 max0=1008000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
544,30311,32053,31182,22600,1008000,1008000,99,4062000,Discharging,,,,,,,,,,
546,30646,31852,30847,22600,1008000,1008000,99,4059000,Discharging,17.2,30.7,12.0,15.1,10.2,3478,3826,,,
548,30177,31986,31048,22600,1008000,1008000,99,4063000,Discharging,19.5,34.2,12.0,19.8,12.4,3251,3670,,,
550,30311,32120,30914,22600,1008000,1008000,99,4060000,Discharging,18.5,30.5,17.5,14.7,11.2,3198,3671,,,
552,29507,31316,30579,22600,1008000,1008000,99,4061000,Discharging,13.5,19.0,16.6,7.5,10.6,1926,2042,,,
555,29708,30713,29976,22600,600000,1008000,99,4063000,Discharging,11.7,19.8,12.0,8.8,6.5,1110,1191,,,
557,30445,32053,31048,22600,1008000,1008000,99,4053000,Discharging,18.3,31.2,10.3,15.7,14.5,3252,3509,,,
559,30780,31785,31115,22600,1008000,1008000,99,4061000,Discharging,18.1,32.1,12.0,17.1,12.9,3139,3554,,,
561,30244,31986,30914,22600,1008000,1008000,99,4058000,Discharging,18.6,28.8,12.3,10.6,21.7,3070,3534,,,
563,30244,31249,30713,22600,1008000,1008000,99,4066000,Discharging,17.3,24.4,13.8,14.4,17.2,2508,2808,,,
565,30646,31383,30713,22600,1008000,1008000,99,4057000,Discharging,16.6,29.8,15.3,11.5,9.3,2784,3068,,,
568,30244,31450,30847,22600,1008000,1008000,99,4065000,Discharging,17.6,30.3,7.6,18.3,13.4,1745,1874,,,
570,30244,31383,30914,22600,1008000,1008000,99,4061000,Discharging,15.7,22.2,13.9,17.7,9.7,2345,2625,,,
572,30110,31182,30512,22700,1008000,1008000,99,4062000,Discharging,13.5,22.2,9.7,11.1,11.3,2050,2220,,,
574,29507,31115,30914,22700,1008000,1008000,99,4065000,Discharging,12.5,21.4,7.9,10.6,9.7,1829,2032,,,
576,30043,31316,30579,22600,1008000,1008000,98,4065000,Discharging,11.7,17.1,7.0,11.1,10.7,2015,2124,,,
