# fw=nextui workload=bloodyroar start=2026-09-13 11:56:39 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
5328,35939,37212,36341,27500,1416000,1800000,86,3943000,Discharging
5330,35537,36810,36475,27500,1416000,1800000,86,3943000,Discharging
5332,36743,37949,36944,27500,1800000,1800000,86,3938000,Discharging
5334,37011,37882,37011,27500,1800000,1800000,86,3937000,Discharging
5336,36609,37145,37212,27500,1800000,1800000,86,3903000,Discharging
5339,37011,37145,37078,27600,1800000,1800000,86,3928000,Discharging
5341,36542,37614,37279,27500,1800000,1800000,86,3938000,Discharging
5343,36073,37212,36676,27500,1608000,1800000,86,3938000,Discharging
5345,36341,37614,36944,27500,1800000,1800000,86,3936000,Discharging
5347,36408,37279,36944,27500,1800000,1800000,86,3934000,Discharging
5349,36073,37413,36743,27500,1608000,1800000,86,3934000,Discharging
5351,36341,37614,36877,27500,1608000,1800000,86,3935000,Discharging
5353,36073,37413,36676,27500,1800000,1800000,86,3935000,Discharging
5355,36341,37346,36609,27500,1800000,1800000,86,3934000,Discharging
5357,36274,37078,36743,27500,1800000,1800000,86,3925000,Discharging
5360,36542,37011,36274,27500,1800000,1800000,86,3929000,Discharging
5362,36140,36877,36810,27500,1800000,1800000,86,3937000,Discharging
5364,35872,37078,36676,27500,1608000,1800000,86,3936000,Discharging
5366,36006,37346,36743,27500,1416000,1800000,86,3937000,Discharging
5368,35805,37279,36609,27500,1800000,1800000,86,3936000,Discharging
5370,35939,37547,36408,27500,1608000,1800000,86,3939000,Discharging
5372,36073,36743,36207,27500,1800000,1800000,86,3936000,Discharging
5374,36006,37212,36743,27500,1800000,1800000,86,3937000,Discharging
5376,36274,37413,36743,27500,1800000,1800000,86,3937000,Discharging
5378,36073,36944,36542,27500,1800000,1800000,86,3939000,Discharging
5381,36341,37078,36542,27500,1800000,1800000,86,3935000,Discharging
5383,36274,37413,36944,27600,1800000,1800000,86,3933000,Discharging
5385,36475,37413,36743,27500,1800000,1800000,86,3934000,Discharging
5387,36475,37346,36073,27500,1800000,1800000,86,3934000,Discharging
5389,35872,37279,36207,27500,1800000,1800000,86,3938000,Discharging
5391,36408,37279,36542,27600,1800000,1800000,86,3934000,Discharging
5393,36944,37748,36944,27600,1800000,1800000,86,3932000,Discharging
5395,36877,37681,37212,27500,1800000,1800000,86,3934000,Discharging
5397,37413,37949,37212,27500,1800000,1800000,86,3933000,Discharging
5400,36609,38016,37547,27500,1800000,1800000,86,3936000,Discharging
5402,36676,38083,37346,27500,1608000,1800000,86,3936000,Discharging
5404,37212,37413,36944,27600,1800000,1800000,86,3934000,Discharging
5406,36542,37614,36877,27600,1800000,1800000,86,3910000,Discharging
5408,40696,39423,39557,27600,1800000,1800000,86,3923000,Discharging
5410,41433,39825,40562,27600,1800000,1800000,86,3925000,Discharging
5412,40964,39959,40495,27600,1800000,1800000,86,3924000,Discharging
5414,39222,39624,41098,27600,1800000,1800000,86,3927000,Discharging
5416,41031,40093,40629,27600,1800000,1800000,86,3927000,Discharging
5419,40763,40160,40093,27600,1800000,1800000,86,3925000,Discharging
5421,39959,39021,39691,27600,1800000,1800000,86,3922000,Discharging
5423,38485,38820,38887,27600,1800000,1800000,86,3900000,Discharging
5425,38753,39356,39021,27600,1800000,1800000,86,3928000,Discharging
5427,38351,39624,38753,27600,1800000,1800000,86,3934000,Discharging
5429,37614,38820,37815,27600,1800000,1800000,86,3932000,Discharging
5431,37480,38351,37614,27600,1800000,1800000,86,3930000,Discharging
5433,37078,37815,37547,27600,1800000,1800000,86,3933000,Discharging
5435,36810,37547,37346,27600,1800000,1800000,86,3931000,Discharging
5438,36542,37815,36944,27600,1800000,1800000,86,3935000,Discharging
5440,37614,38351,37748,27600,1608000,1800000,86,3930000,Discharging
5442,36877,37748,38150,27600,1800000,1800000,86,3900000,Discharging
