# fw=nextui workload=gradius start=2026-09-13 12:37:40 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
7789,37011,37279,37212,27800,1800000,1800000,79,3862000,Discharging
7791,37815,38150,37748,27800,1800000,1800000,79,3863000,Discharging
7793,37547,38016,37480,27800,1800000,1800000,79,3854000,Discharging
7795,36944,38150,37681,27800,1800000,1800000,79,3866000,Discharging
7797,37681,37614,37748,27800,1800000,1800000,79,3866000,Discharging
7799,37614,38150,37480,27800,1800000,1800000,79,3865000,Discharging
7802,37748,38351,37949,27800,1608000,1800000,79,3865000,Discharging
7804,37614,38418,38083,27800,1800000,1800000,79,3865000,Discharging
7806,38217,37882,37815,27800,1800000,1800000,79,3864000,Discharging
7808,37547,38284,37681,27800,1800000,1800000,79,3863000,Discharging
7810,37681,37882,37815,27800,1800000,1800000,79,3864000,Discharging
7812,37681,37882,37413,27800,1800000,1800000,79,3864000,Discharging
7814,38217,38150,37547,27800,1800000,1800000,79,3862000,Discharging
7816,37882,38016,38284,27800,1800000,1800000,79,3842000,Discharging
7818,37145,37949,37547,27800,1800000,1800000,79,3862000,Discharging
7820,37480,37748,37949,27800,1800000,1800000,79,3864000,Discharging
7822,37614,38351,37413,27800,1800000,1800000,79,3862000,Discharging
7825,38150,37882,38083,27800,1800000,1800000,79,3862000,Discharging
7827,37681,38150,37882,27800,1800000,1800000,79,3862000,Discharging
7829,37949,37882,37681,27800,1800000,1800000,79,3865000,Discharging
7831,37078,38418,37748,27800,1800000,1800000,79,3865000,Discharging
7833,37815,38150,38016,27800,1800000,1800000,79,3860000,Discharging
7835,37614,38016,37882,27800,1800000,1800000,79,3863000,Discharging
7837,37547,37949,37949,27800,1800000,1800000,79,3863000,Discharging
7839,37547,38418,38217,27800,1800000,1800000,79,3863000,Discharging
7841,37681,38418,37882,27800,1416000,1800000,79,3864000,Discharging
7843,36944,37949,37949,27800,1800000,1800000,79,3863000,Discharging
7846,37279,37815,37011,27800,1800000,1800000,79,3864000,Discharging
7848,36542,38083,37413,27800,1800000,1800000,79,3865000,Discharging
7850,37279,37547,37748,27800,1800000,1800000,79,3861000,Discharging
7852,37614,38016,37681,27800,1800000,1800000,79,3861000,Discharging
7854,37346,37614,37279,27800,1800000,1800000,79,3861000,Discharging
7856,37882,37949,38083,27800,1800000,1800000,79,3860000,Discharging
7858,37614,38016,38351,27800,1800000,1800000,79,3860000,Discharging
7860,37279,38083,37547,27800,1800000,1800000,79,3863000,Discharging
7862,38016,38284,37882,27800,1800000,1800000,79,3861000,Discharging
7864,37145,37815,37413,27800,1800000,1800000,79,3856000,Discharging
7867,37815,37949,37748,27700,1800000,1800000,79,3862000,Discharging
7869,37614,38016,37681,27800,1608000,1800000,79,3862000,Discharging
7871,37413,37949,37413,27800,1800000,1800000,79,3861000,Discharging
7873,37547,38150,38351,27800,1800000,1800000,79,3862000,Discharging
7875,37882,38217,37815,27800,1608000,1800000,79,3861000,Discharging
7877,37882,38083,38083,27800,1800000,1800000,79,3864000,Discharging
7879,37547,38619,37681,27800,1800000,1800000,79,3864000,Discharging
7881,37480,38083,38016,27800,1800000,1800000,79,3861000,Discharging
7883,37212,38150,37614,27800,1800000,1800000,79,3863000,Discharging
7885,37949,37882,37547,27800,1800000,1800000,79,3862000,Discharging
7887,37346,38150,37547,27800,1800000,1800000,79,3844000,Discharging
7890,37547,38150,37815,27800,1800000,1800000,79,3862000,Discharging
7892,37480,37949,37681,27800,1800000,1800000,79,3862000,Discharging
7894,37815,38083,37547,27800,1800000,1800000,79,3863000,Discharging
7896,37681,38016,37614,27800,1800000,1800000,79,3862000,Discharging
7898,37547,38217,38016,27800,1800000,1800000,79,3863000,Discharging
7900,38284,37882,37681,27800,1800000,1800000,79,3862000,Discharging
7902,37480,38083,37480,27800,1800000,1800000,79,3865000,Discharging
7904,37279,37480,37078,27800,1800000,1800000,79,3864000,Discharging
7906,37078,37681,37279,27800,1800000,1800000,79,3865000,Discharging
7908,36944,37681,37279,27800,1800000,1800000,79,3863000,Discharging
7911,37480,37882,38150,27800,1800000,1800000,79,3841000,Discharging
7913,38150,37882,38016,27800,1800000,1800000,79,3861000,Discharging
7915,37681,37949,37681,27800,1800000,1800000,79,3861000,Discharging
7917,37949,38083,37882,27800,1800000,1800000,79,3861000,Discharging
7919,37614,37949,37882,27800,1800000,1800000,79,3861000,Discharging
7921,37681,38083,38217,27800,1800000,1800000,79,3862000,Discharging
7923,37748,38217,38284,27800,1800000,1800000,79,3860000,Discharging
7925,37815,38150,37949,27800,1416000,1800000,79,3861000,Discharging
7927,38016,38284,37815,27800,1608000,1800000,79,3860000,Discharging
7929,37614,37815,37681,27800,1608000,1800000,79,3861000,Discharging
7932,38016,38217,37480,27800,1800000,1800000,79,3861000,Discharging
7934,37413,38217,37815,27800,1800000,1800000,79,3861000,Discharging
7936,38150,38083,37882,27800,1608000,1800000,79,3859000,Discharging
7938,38150,38351,37748,27800,1800000,1800000,79,3862000,Discharging
7940,37547,38016,37882,27800,1800000,1800000,79,3858000,Discharging
7942,37614,38485,37681,27800,1608000,1800000,79,3859000,Discharging
7944,38217,38351,37547,27800,1800000,1800000,79,3860000,Discharging
7946,37346,37815,38016,27800,1800000,1800000,79,3858000,Discharging
7948,37346,38217,38083,27800,1800000,1800000,79,3859000,Discharging
7950,37547,38150,38217,27800,1800000,1800000,79,3859000,Discharging
7952,37480,37815,37480,27800,1800000,1800000,79,3853000,Discharging
7955,37681,38150,37815,27800,1416000,1800000,79,3859000,Discharging
7957,37480,38016,38217,27800,1800000,1800000,79,3859000,Discharging
7959,37614,38217,38485,27800,1800000,1800000,79,3860000,Discharging
7961,37681,37949,37748,27800,1800000,1800000,79,3860000,Discharging
7963,37212,37949,37681,27800,1800000,1800000,79,3863000,Discharging
7965,36743,37815,37413,27800,1800000,1800000,79,3863000,Discharging
7967,36810,37346,37011,27800,1800000,1800000,79,3858000,Discharging
7969,37279,37346,37078,27800,1800000,1800000,79,3859000,Discharging
7971,37547,37949,37279,27800,1800000,1800000,79,3859000,Discharging
7973,37614,37882,37748,27800,1800000,1800000,79,3859000,Discharging
7976,37547,38217,38552,27800,1800000,1800000,79,3858000,Discharging
7978,37413,38217,38150,27800,1800000,1800000,79,3850000,Discharging
