# fw=nextui workload=mariokart start=2026-09-13 11:23:51 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
3360,34800,35939,35336,26500,1800000,1800000,91,3994000,Discharging
3362,34800,35872,35537,26500,1800000,1800000,91,3992000,Discharging
3364,35001,35872,35269,26500,1800000,1800000,91,3995000,Discharging
3367,34867,35939,35202,26500,1800000,1800000,91,3993000,Discharging
3369,34934,36341,35470,26500,1608000,1800000,91,3994000,Discharging
3371,34934,35939,35537,26500,1608000,1800000,91,3995000,Discharging
3373,34867,36140,35001,26500,1800000,1800000,91,3994000,Discharging
3375,35068,36006,35336,26500,1608000,1800000,91,3994000,Discharging
3377,34599,35872,35001,26500,1800000,1800000,91,3994000,Discharging
3379,34800,36006,35537,26500,1800000,1800000,91,3973000,Discharging
3381,34800,36006,35135,26500,1800000,1800000,91,3993000,Discharging
3383,35068,36140,35604,26500,1800000,1800000,91,3993000,Discharging
3385,34934,36140,35738,26500,1608000,1800000,91,3994000,Discharging
3388,34800,36475,35135,26500,1800000,1800000,91,3993000,Discharging
3390,34800,35671,35403,26500,1800000,1800000,91,3993000,Discharging
3392,34733,36408,35135,26500,1800000,1800000,91,3994000,Discharging
3394,34666,35738,35336,26500,1416000,1800000,91,3993000,Discharging
3396,34532,35939,35135,26500,1608000,1800000,91,3993000,Discharging
3398,34934,35872,35403,26500,1800000,1800000,91,3992000,Discharging
3400,35001,36475,35269,26500,1608000,1800000,91,3993000,Discharging
3402,35068,36207,35336,26500,1800000,1800000,91,3979000,Discharging
3404,34733,36140,35135,26500,1800000,1800000,91,3993000,Discharging
3406,34867,36006,35470,26500,1608000,1800000,91,3992000,Discharging
3409,34934,35470,35470,26500,1800000,1800000,91,3993000,Discharging
3411,35068,36609,34867,26500,1608000,1800000,91,3992000,Discharging
3413,34800,35939,35403,26500,1416000,1800000,91,3992000,Discharging
3415,34867,36140,35470,26500,1800000,1800000,91,3992000,Discharging
3417,34934,36341,35470,26500,1608000,1800000,91,3991000,Discharging
3419,35068,36274,35537,26500,1800000,1800000,91,3992000,Discharging
3421,34934,36207,35336,26500,1416000,1800000,91,3991000,Discharging
3423,34532,36140,35403,26500,1800000,1800000,91,3993000,Discharging
3425,35068,36140,35604,26500,1608000,1800000,91,3979000,Discharging
3427,34800,35671,35269,26500,1800000,1800000,91,3992000,Discharging
3430,34867,36140,35470,26500,1800000,1800000,91,3992000,Discharging
3432,34398,36073,35604,26600,1800000,1800000,91,3988000,Discharging
3434,34934,36140,35403,26600,1800000,1800000,91,3989000,Discharging
3436,35202,36408,35336,26500,1608000,1800000,91,3992000,Discharging
3438,34666,36341,35269,26600,1800000,1800000,91,3991000,Discharging
3440,35202,36207,35403,26600,1800000,1800000,91,3991000,Discharging
3442,34532,36140,35336,26600,1800000,1800000,91,3992000,Discharging
3444,34733,36274,35604,26500,1416000,1800000,91,3992000,Discharging
3446,34599,35939,35805,26600,1800000,1800000,91,3992000,Discharging
3448,34800,36140,35336,26500,1608000,1800000,91,3987000,Discharging
3451,35001,36542,35604,26600,1800000,1800000,91,3991000,Discharging
3453,35001,36341,35202,26500,1800000,1800000,91,3991000,Discharging
3455,34934,36207,35805,26500,1800000,1800000,91,3991000,Discharging
3457,35068,36274,35403,26500,1800000,1800000,91,3991000,Discharging
3459,34398,35805,35805,26600,1608000,1800000,91,3991000,Discharging
3461,34800,35805,35403,26600,1608000,1800000,91,3991000,Discharging
3463,34666,36408,35470,26600,1800000,1800000,91,3991000,Discharging
3465,34934,35805,35537,26500,1608000,1800000,91,3991000,Discharging
3467,35202,36408,35135,26600,1800000,1800000,91,3991000,Discharging
