# fw=nextui workload=sf2 start=2026-09-13 13:18:41 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
10250,36408,37614,36542,27600,1800000,1800000,72,3802000,Discharging
10252,36475,37547,36877,27600,1800000,1800000,72,3803000,Discharging
10254,36475,37346,36676,27600,1800000,1800000,72,3802000,Discharging
10256,36341,36944,36743,27600,1800000,1800000,72,3791000,Discharging
10259,36341,37346,36944,27600,1416000,1800000,72,3799000,Discharging
10261,36475,37614,37212,27600,1800000,1800000,72,3799000,Discharging
10263,36944,37145,36676,27600,1608000,1800000,72,3801000,Discharging
10265,36810,37413,36877,27600,1800000,1800000,72,3800000,Discharging
10267,36274,37547,36810,27600,1800000,1800000,72,3800000,Discharging
10269,36408,37547,36944,27600,1800000,1800000,72,3801000,Discharging
10271,36676,37078,37212,27600,1416000,1800000,72,3800000,Discharging
10273,36609,37480,36542,27600,1608000,1800000,72,3800000,Discharging
10275,36542,37547,36743,27600,1416000,1800000,72,3799000,Discharging
10277,36542,37748,36944,27600,1800000,1800000,72,3801000,Discharging
10280,36743,37480,37011,27700,1800000,1800000,72,3799000,Discharging
10282,36475,37346,36810,27600,1608000,1800000,72,3801000,Discharging
10284,36609,37815,37346,27600,1800000,1800000,72,3795000,Discharging
10286,36609,37681,37145,27600,1800000,1800000,72,3796000,Discharging
10288,37011,38083,36944,27600,1800000,1800000,72,3796000,Discharging
10290,36609,37413,36542,27600,1800000,1800000,72,3795000,Discharging
10292,36207,37547,36877,27600,1800000,1800000,72,3796000,Discharging
10294,36743,37480,36877,27600,1800000,1800000,72,3796000,Discharging
10296,36542,37413,37346,27600,1800000,1800000,72,3795000,Discharging
10298,37279,37480,37480,27600,1800000,1800000,72,3795000,Discharging
10301,36676,37547,37413,27600,1800000,1800000,72,3797000,Discharging
10303,36944,37614,36944,27600,1800000,1800000,72,3794000,Discharging
10305,36676,37882,37145,27600,1800000,1800000,72,3794000,Discharging
10307,36475,37212,36609,27600,1800000,1800000,72,3799000,Discharging
10309,36140,37346,37078,27600,1800000,1800000,72,3797000,Discharging
10311,36341,37346,36743,27600,1800000,1800000,72,3798000,Discharging
10313,36609,37413,36877,27600,1800000,1800000,72,3794000,Discharging
10315,36207,37681,36743,27600,1800000,1800000,72,3798000,Discharging
10317,36609,37681,37078,27600,1800000,1800000,72,3797000,Discharging
10319,36408,37212,37145,27600,1800000,1800000,72,3797000,Discharging
10322,36408,37279,37413,27600,1800000,1800000,72,3798000,Discharging
10324,36475,37614,37145,27600,1800000,1800000,72,3797000,Discharging
10326,36542,37480,37078,27600,1608000,1800000,72,3796000,Discharging
10328,36408,37547,37212,27600,1800000,1800000,72,3795000,Discharging
10330,36676,37748,37078,27600,1800000,1800000,72,3796000,Discharging
10332,36542,37480,36877,27600,1800000,1800000,72,3795000,Discharging
10334,36609,37480,36743,27600,1800000,1800000,72,3795000,Discharging
10336,36676,37480,36877,27600,1800000,1800000,72,3797000,Discharging
10338,36676,37346,36743,27600,1800000,1800000,72,3798000,Discharging
10340,36609,37346,37078,27600,1800000,1800000,72,3797000,Discharging
10343,36609,37681,36877,27600,1800000,1800000,72,3794000,Discharging
10345,36676,37681,36743,27600,1800000,1800000,72,3793000,Discharging
10347,36542,37346,36676,27600,1800000,1800000,72,3793000,Discharging
10349,36475,37480,36810,27600,1800000,1800000,72,3793000,Discharging
10351,36408,37681,37078,27600,1608000,1800000,72,3794000,Discharging
10353,36676,37480,37212,27600,1800000,1800000,72,3793000,Discharging
10355,36810,37614,36810,27600,1800000,1800000,72,3792000,Discharging
10357,36877,37815,36743,27600,1800000,1800000,72,3793000,Discharging
10359,36810,37279,36609,27600,1800000,1800000,72,3793000,Discharging
10361,36475,37480,37078,27600,1800000,1800000,72,3794000,Discharging
10364,36676,37413,36810,27600,1800000,1800000,72,3792000,Discharging
10366,36609,37346,36944,27600,1800000,1800000,72,3794000,Discharging
10368,37011,37212,36743,27600,1800000,1800000,72,3795000,Discharging
10370,36274,37681,36877,27600,1800000,1800000,72,3796000,Discharging
10372,36408,37681,36743,27600,1800000,1800000,72,3798000,Discharging
10374,36408,37614,36944,27600,1800000,1800000,72,3797000,Discharging
10376,36006,37078,36542,27600,1800000,1800000,72,3797000,Discharging
10378,36676,37212,37011,27600,1416000,1800000,72,3792000,Discharging
10380,37078,37413,36877,27600,1416000,1800000,72,3796000,Discharging
10382,36743,37279,36944,27600,1800000,1800000,72,3796000,Discharging
10385,37011,37346,37413,27600,1800000,1800000,72,3796000,Discharging
10387,36341,37279,36944,27600,1800000,1800000,72,3796000,Discharging
10389,36475,37145,36877,27600,1800000,1800000,72,3796000,Discharging
10391,36609,37279,36542,27600,1416000,1800000,72,3796000,Discharging
10393,36408,37413,36676,27600,1800000,1800000,72,3772000,Discharging
10395,36408,37949,37279,27600,1800000,1800000,72,3797000,Discharging
10397,36274,37681,37011,27600,1800000,1800000,72,3797000,Discharging
10399,36475,37681,36810,27600,1608000,1800000,72,3796000,Discharging
10401,35939,37547,36810,27600,1800000,1800000,72,3798000,Discharging
10403,36676,37279,36877,27600,1800000,1800000,72,3793000,Discharging
10406,36609,37145,37011,27600,1800000,1800000,72,3793000,Discharging
10408,36676,37748,36743,27600,1800000,1800000,72,3793000,Discharging
10410,36676,37614,37011,27600,1800000,1800000,72,3793000,Discharging
10412,36475,37011,37011,27600,1608000,1800000,72,3793000,Discharging
10414,36542,37748,37011,27600,1800000,1800000,72,3793000,Discharging
10416,36609,37212,36944,27600,1800000,1800000,72,3767000,Discharging
10418,36408,37547,37279,27600,1800000,1800000,72,3792000,Discharging
10420,36408,36944,37078,27600,1800000,1800000,72,3791000,Discharging
10422,36475,37480,36810,27600,1800000,1800000,72,3790000,Discharging
10424,37212,37547,36944,27600,1800000,1800000,72,3789000,Discharging
10427,36207,37882,37212,27600,1608000,1800000,72,3793000,Discharging
10429,36542,37212,36810,27600,1800000,1800000,72,3793000,Discharging
10431,36408,37279,37011,27600,1800000,1800000,71,3793000,Discharging
10433,36676,37681,37212,27600,1800000,1800000,71,3795000,Discharging
10435,36810,37212,36877,27600,1800000,1800000,71,3794000,Discharging
10437,36609,37480,36609,27600,1416000,1800000,71,3794000,Discharging
10439,36944,37212,36944,27600,1800000,1800000,71,3770000,Discharging
10441,36475,37413,37145,27600,1800000,1800000,71,3793000,Discharging
10443,36408,37212,36542,27600,1800000,1800000,71,3792000,Discharging
10445,36743,37480,36810,27600,1800000,1800000,71,3792000,Discharging
10447,36944,37212,37614,27600,1800000,1800000,71,3792000,Discharging
10450,36207,37480,37279,27600,1800000,1800000,71,3792000,Discharging
10452,36676,37346,36944,27600,1800000,1800000,71,3791000,Discharging
10454,36207,37346,37145,27600,1416000,1800000,71,3792000,Discharging
