# fw=nextui workload=sonic start=2026-09-13 12:29:28 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
7297,35738,37145,36475,27800,1800000,1800000,81,3883000,Discharging
7299,36073,36877,36207,27800,1608000,1800000,81,3876000,Discharging
7301,35805,37078,36676,27800,1800000,1800000,81,3878000,Discharging
7303,36207,37145,36810,27800,1800000,1800000,81,3880000,Discharging
7305,36207,37480,36877,27800,1800000,1800000,81,3879000,Discharging
7307,36140,37547,36408,27800,1800000,1800000,81,3882000,Discharging
7309,36006,37279,36408,27800,1800000,1800000,81,3860000,Discharging
7311,35604,36810,36140,27800,1608000,1800000,81,3877000,Discharging
7313,36408,37279,36207,27900,1800000,1800000,80,3870000,Discharging
7316,36140,37547,36542,27800,1800000,1800000,80,3876000,Discharging
7318,36475,37413,36542,27800,1800000,1800000,80,3876000,Discharging
7320,36140,37212,37078,27800,1800000,1800000,80,3876000,Discharging
7322,36341,37279,36676,27800,1800000,1800000,80,3875000,Discharging
7324,36073,37279,36676,27800,1416000,1800000,80,3876000,Discharging
7326,36341,37145,36676,27800,1800000,1800000,80,3877000,Discharging
7328,36274,36542,36408,27800,1800000,1800000,80,3876000,Discharging
7330,36207,37212,36408,27800,1800000,1800000,80,3877000,Discharging
7332,36341,37212,36676,27800,1800000,1800000,80,3867000,Discharging
7334,36140,37078,36743,27800,1800000,1800000,80,3877000,Discharging
7337,36073,37145,36676,27800,1800000,1800000,80,3877000,Discharging
7339,36073,37212,36609,27800,1800000,1800000,80,3880000,Discharging
7341,35537,37346,36475,27800,1800000,1800000,80,3875000,Discharging
7343,35671,36944,35939,27800,1416000,1800000,80,3875000,Discharging
7345,35738,37212,36542,27800,1800000,1800000,80,3881000,Discharging
7347,35939,37145,36475,27800,1800000,1800000,80,3877000,Discharging
7349,35939,37480,36475,27800,1800000,1800000,80,3878000,Discharging
7351,36006,37145,36341,27800,1800000,1800000,80,3877000,Discharging
