# fw=nextui workload=thps2 start=2026-09-13 11:40:16 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
4345,36609,37480,36810,27200,1800000,1800000,89,3968000,Discharging
4347,36341,37413,36676,27200,1800000,1800000,89,3970000,Discharging
4349,35537,37145,36609,27100,1800000,1800000,89,3972000,Discharging
4351,36274,37145,36609,27100,1800000,1800000,89,3971000,Discharging
4353,35872,37078,36542,27100,1800000,1800000,89,3971000,Discharging
4355,35805,37078,36475,27200,1800000,1800000,89,3970000,Discharging
4357,35403,36810,36341,27200,1608000,1800000,89,3970000,Discharging
4360,36006,37078,36609,27200,1800000,1800000,89,3967000,Discharging
4362,35805,37279,36475,27100,1608000,1800000,89,3970000,Discharging
4364,35872,37145,36408,27200,1800000,1800000,89,3960000,Discharging
4366,36006,36877,36341,27200,1608000,1800000,89,3969000,Discharging
4368,35671,37078,35872,27200,1800000,1800000,89,3970000,Discharging
4370,35671,36609,36140,27200,1608000,1800000,89,3969000,Discharging
4372,36006,36944,36341,27200,1800000,1800000,89,3969000,Discharging
4374,35872,36877,36207,27200,1800000,1800000,89,3969000,Discharging
4376,36207,37078,36341,27200,1800000,1800000,89,3968000,Discharging
4379,35738,36944,36341,27200,1800000,1800000,89,3969000,Discharging
4381,35671,37078,36341,27200,1800000,1800000,89,3970000,Discharging
4383,35805,36542,36274,27200,1800000,1800000,89,3970000,Discharging
4385,35738,36676,36207,27200,1608000,1800000,89,3963000,Discharging
4387,35872,36676,36207,27200,1800000,1800000,89,3966000,Discharging
4389,35872,37011,36274,27200,1800000,1800000,89,3965000,Discharging
4391,36207,37011,36341,27200,1800000,1800000,89,3965000,Discharging
4393,35671,37212,36207,27200,1800000,1800000,89,3964000,Discharging
4395,35872,37212,36207,27200,1800000,1800000,89,3965000,Discharging
4397,35939,37145,36274,27200,1608000,1800000,89,3966000,Discharging
4400,35872,37011,36207,27200,1800000,1800000,89,3962000,Discharging
4402,35939,37011,36006,27200,1416000,1800000,89,3962000,Discharging
4404,35872,36743,35738,27200,1800000,1800000,89,3945000,Discharging
4406,36140,37011,36475,27200,1416000,1800000,89,3965000,Discharging
4408,35738,37011,36274,27200,1800000,1800000,89,3963000,Discharging
4410,35805,36609,35939,27200,1800000,1800000,89,3967000,Discharging
4412,36475,37011,36743,27200,1800000,1800000,89,3964000,Discharging
4414,36207,36944,36140,27200,1800000,1800000,89,3965000,Discharging
4417,35939,37078,36207,27200,1800000,1800000,89,3965000,Discharging
4419,35671,36743,36140,27200,1608000,1800000,89,3965000,Discharging
4421,35537,36743,36073,27200,1416000,1800000,89,3964000,Discharging
4423,35805,37145,36542,27200,1800000,1800000,89,3966000,Discharging
4425,35604,36877,36140,27200,1800000,1800000,89,3951000,Discharging
4427,35805,36944,36274,27200,1800000,1800000,89,3963000,Discharging
4429,36006,36877,36006,27200,1800000,1800000,89,3964000,Discharging
4431,35939,36944,35939,27200,1800000,1800000,89,3958000,Discharging
4433,36140,36810,36475,27200,1800000,1800000,89,3962000,Discharging
4436,36140,37011,36609,27200,1800000,1800000,88,3963000,Discharging
4438,36140,36810,36140,27200,1608000,1800000,88,3963000,Discharging
4440,35805,37078,36140,27200,1800000,1800000,88,3962000,Discharging
4442,35939,36743,36408,27200,1800000,1800000,88,3962000,Discharging
4444,35604,36475,36676,27200,1800000,1800000,88,3963000,Discharging
4446,36274,36877,36341,27300,1800000,1800000,88,3964000,Discharging
4448,35805,36810,36408,27200,1800000,1800000,88,3962000,Discharging
4450,36006,37212,36207,27200,1800000,1800000,88,3964000,Discharging
4452,36341,37078,36542,27200,1800000,1800000,88,3964000,Discharging
4454,35738,36877,36542,27200,1800000,1800000,88,3961000,Discharging
4457,35939,37145,36475,27200,1608000,1800000,88,3964000,Discharging
4459,36006,37011,36207,27200,1800000,1800000,88,3962000,Discharging
4461,36006,37078,36006,27200,1800000,1800000,88,3964000,Discharging
4463,35805,36810,36274,27200,1800000,1800000,88,3961000,Discharging
4465,35604,37011,36743,27200,1800000,1800000,88,3962000,Discharging
4467,36073,36810,36140,27200,1800000,1800000,88,3938000,Discharging
4469,35604,36676,36475,27200,1800000,1800000,88,3962000,Discharging
4471,36006,37011,36408,27200,1608000,1800000,88,3960000,Discharging
4473,36006,37011,36475,27200,1800000,1800000,88,3962000,Discharging
4475,35872,36944,36274,27200,1608000,1800000,88,3964000,Discharging
4478,35604,37346,36207,27200,1608000,1800000,88,3966000,Discharging
4480,35537,36743,36140,27200,1800000,1800000,88,3962000,Discharging
4482,35671,36877,36609,27200,1800000,1800000,88,3962000,Discharging
4484,35939,36944,36341,27200,1800000,1800000,88,3962000,Discharging
4486,36140,36810,36341,27300,1800000,1800000,88,3962000,Discharging
4488,35872,37011,36676,27200,1800000,1800000,88,3963000,Discharging
4490,35604,37212,36743,27200,1800000,1800000,88,3949000,Discharging
4492,35939,37346,36274,27200,1608000,1800000,88,3960000,Discharging
4494,36073,36944,36542,27200,1800000,1800000,88,3963000,Discharging
4497,36341,37279,36944,27200,1608000,1800000,88,3960000,Discharging
4499,35805,37145,36341,27200,1800000,1800000,88,3962000,Discharging
4501,35872,37078,36341,27200,1608000,1800000,88,3960000,Discharging
4503,36274,37212,36408,27200,1608000,1800000,88,3962000,Discharging
4505,35939,37279,36609,27300,1800000,1800000,88,3959000,Discharging
4507,36542,37011,36207,27200,1608000,1800000,88,3961000,Discharging
4509,36274,37547,36609,27300,1800000,1800000,88,3958000,Discharging
4511,36140,37145,36140,27300,1608000,1800000,88,3948000,Discharging
4513,36207,36944,36274,27300,1800000,1800000,88,3962000,Discharging
4515,35805,37212,36274,27200,1608000,1800000,88,3967000,Discharging
4518,36609,37413,36475,27200,1608000,1800000,88,3960000,Discharging
4520,36743,37480,36810,27300,1800000,1800000,88,3959000,Discharging
4522,36743,37480,36810,27300,1800000,1800000,88,3959000,Discharging
4524,36743,37413,37614,27300,1800000,1800000,88,3962000,Discharging
4526,36475,37547,36408,27300,1608000,1800000,88,3961000,Discharging
4528,38820,38284,38552,27400,1800000,1800000,88,3959000,Discharging
4530,37078,37815,36676,27300,1800000,1800000,88,3958000,Discharging
4532,36408,37480,36475,27300,1800000,1800000,88,3962000,Discharging
4534,36609,37547,36609,27300,1800000,1800000,88,3945000,Discharging
4536,36140,37212,37011,27300,1800000,1800000,88,3954000,Discharging
4539,36609,37681,37078,27300,1800000,1800000,88,3956000,Discharging
4541,37011,37547,37413,27300,1800000,1800000,88,3956000,Discharging
4543,36609,37547,36944,27300,1416000,1800000,88,3957000,Discharging
4545,36408,37212,36676,27300,1416000,1800000,88,3954000,Discharging
4547,36341,37078,36944,27300,1800000,1800000,88,3956000,Discharging
4549,36542,37212,36676,27300,1800000,1800000,88,3959000,Discharging
4551,36609,37413,36944,27300,1800000,1800000,88,3955000,Discharging
4553,36743,37748,36743,27300,1800000,1800000,88,3949000,Discharging
4555,36609,37480,37346,27300,1800000,1800000,88,3956000,Discharging
4558,36542,37815,36810,27400,1800000,1800000,88,3960000,Discharging
4560,36073,37547,36944,27300,1608000,1800000,88,3960000,Discharging
4562,35939,37346,36609,27300,1800000,1800000,88,3965000,Discharging
4564,36006,36877,36408,27300,1608000,1800000,88,3966000,Discharging
4566,35738,37346,36274,27300,1608000,1800000,88,3960000,Discharging
4568,36140,37078,36810,27300,1800000,1800000,88,3960000,Discharging
4570,36408,37614,36475,27300,1800000,1800000,88,3961000,Discharging
4572,36341,37413,36944,27300,1800000,1800000,88,3959000,Discharging
4574,36140,37078,36475,27300,1416000,1800000,88,3961000,Discharging
4576,36475,37681,36810,27300,1800000,1800000,88,3960000,Discharging
4579,36609,37078,36274,27300,1800000,1800000,88,3939000,Discharging
4581,36006,37011,36475,27300,1608000,1800000,88,3959000,Discharging
4583,36341,37547,36743,27300,1800000,1800000,88,3957000,Discharging
4585,36408,36877,36743,27300,1800000,1800000,88,3959000,Discharging
4587,36207,37279,36609,27300,1800000,1800000,88,3957000,Discharging
4589,36408,37346,36810,27300,1800000,1800000,88,3959000,Discharging
4591,36274,36944,36810,27300,1800000,1800000,88,3959000,Discharging
4593,36006,37681,36944,27300,1800000,1800000,88,3958000,Discharging
4595,36207,37011,36609,27300,1608000,1800000,88,3959000,Discharging
4597,36475,37413,36810,27300,1416000,1800000,88,3957000,Discharging
4600,36408,37882,37011,27300,1800000,1800000,88,3957000,Discharging
4602,36944,37346,37212,27400,1800000,1800000,88,3958000,Discharging
4604,36475,37748,36877,27300,1800000,1800000,88,3958000,Discharging
4606,37145,37413,37145,27300,1800000,1800000,88,3958000,Discharging
4608,36676,37346,37078,27300,1800000,1800000,88,3956000,Discharging
4610,36676,37748,36743,27300,1608000,1800000,88,3956000,Discharging
4612,36274,37413,36810,27300,1800000,1800000,88,3957000,Discharging
4614,36676,37480,36877,27300,1800000,1800000,88,3957000,Discharging
4616,36542,37011,37011,27300,1800000,1800000,88,3957000,Discharging
4618,36542,37480,36877,27300,1608000,1800000,88,3957000,Discharging
4621,36877,37681,36676,27300,1800000,1800000,88,3957000,Discharging
4623,36676,37480,36944,27300,1800000,1800000,88,3935000,Discharging
4625,36676,37279,37078,27300,1800000,1800000,88,3958000,Discharging
4627,36609,37614,36676,27300,1608000,1800000,88,3958000,Discharging
4629,36542,37547,36542,27300,1800000,1800000,88,3955000,Discharging
4631,36475,37547,36877,27300,1608000,1800000,88,3955000,Discharging
4633,36341,37279,37011,27300,1800000,1800000,88,3956000,Discharging
4635,36073,37614,36542,27300,1800000,1800000,88,3963000,Discharging
4637,36140,37078,36073,27300,1800000,1800000,88,3962000,Discharging
4640,36542,37078,36810,27300,1608000,1800000,88,3959000,Discharging
4642,35872,37212,36676,27300,1800000,1800000,88,3958000,Discharging
4644,36073,37614,36743,27300,1800000,1800000,88,3958000,Discharging
4646,36542,37078,36743,27300,1800000,1800000,88,3949000,Discharging
4648,36207,37145,36810,27300,1800000,1800000,88,3955000,Discharging
4650,36006,37413,36944,27300,1800000,1800000,88,3957000,Discharging
4652,36944,37413,36542,27300,1608000,1800000,88,3954000,Discharging
4654,36207,37346,36944,27300,1608000,1800000,88,3957000,Discharging
4656,36207,37011,36944,27300,1608000,1800000,88,3955000,Discharging
4658,36073,37145,36475,27300,1608000,1800000,88,3957000,Discharging
4661,35805,37547,36274,27400,1800000,1800000,88,3954000,Discharging
4663,36542,37212,36676,27300,1608000,1800000,88,3956000,Discharging
4665,36207,37279,36408,27400,1800000,1800000,88,3951000,Discharging
4667,36542,37614,36944,27300,1800000,1800000,88,3938000,Discharging
4669,36542,37547,36810,27300,1800000,1800000,88,3956000,Discharging
4671,36743,37212,36743,27300,1800000,1800000,88,3956000,Discharging
4673,36475,37815,37480,27300,1800000,1800000,88,3955000,Discharging
4675,36676,37681,36944,27300,1800000,1800000,88,3955000,Discharging
4677,36676,37949,37078,27400,1800000,1800000,88,3953000,Discharging
4679,36408,37681,37145,27300,1800000,1800000,88,3957000,Discharging
4682,36609,37480,36743,27400,1800000,1800000,88,3956000,Discharging
4684,36743,37346,36810,27400,1800000,1800000,88,3953000,Discharging
4686,36810,37480,37279,27400,1800000,1800000,88,3955000,Discharging
