# fw=nextui workload=zelda start=2026-09-13 10:59:15 soak=99C max0=2000000 gov=performance
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
1884,31718,33125,32656,25000,1608000,1800000,94,4027000,Discharging
1886,32321,33594,32924,25000,1800000,1800000,94,4027000,Discharging
1888,32388,33125,32924,25000,1800000,1800000,94,4026000,Discharging
1890,32254,33527,32120,25000,1800000,1800000,94,4027000,Discharging
1893,31718,33125,32522,25000,1800000,1800000,94,4020000,Discharging
1895,32120,33527,32455,25000,1800000,1800000,94,4029000,Discharging
1897,32321,32991,32723,25000,1800000,1800000,94,4023000,Discharging
1899,32120,33527,32589,25000,1800000,1800000,94,4024000,Discharging
1901,32254,33192,32455,25000,1608000,1800000,94,4025000,Discharging
1903,31517,33393,32589,24900,1800000,1800000,94,4026000,Discharging
1905,32254,33393,32589,24900,1800000,1800000,94,4024000,Discharging
1907,32254,33594,32455,24900,1608000,1800000,94,4025000,Discharging
1909,32120,33326,32522,24900,1800000,1800000,94,4025000,Discharging
1911,32321,33125,32790,24900,1800000,1800000,94,4025000,Discharging
1913,32455,33527,32656,24900,1800000,1800000,94,4026000,Discharging
1916,32187,33594,32589,24900,1608000,1800000,94,4014000,Discharging
1918,32455,33661,32656,24900,1608000,1800000,94,4026000,Discharging
1920,32455,33661,32723,24900,1608000,1800000,94,4026000,Discharging
1922,32053,33393,32790,24900,1608000,1800000,94,4025000,Discharging
1924,31383,33460,32790,24900,1608000,1800000,94,4024000,Discharging
1926,31383,33460,32522,24900,1800000,1800000,94,4025000,Discharging
1928,32120,33728,32857,24900,1608000,1800000,94,4026000,Discharging
1930,32120,33460,33058,24900,1800000,1800000,94,4025000,Discharging
1932,32053,33460,32924,24900,1800000,1800000,94,4023000,Discharging
1934,32187,33661,32455,24800,1800000,1800000,94,4023000,Discharging
1937,32187,33460,32723,24900,1800000,1800000,94,4023000,Discharging
1939,31852,33527,33125,24900,1800000,1800000,94,4023000,Discharging
1941,31919,33393,32455,24900,1608000,1800000,94,4023000,Discharging
1943,32455,33594,32455,24800,1608000,1800000,94,4022000,Discharging
1945,32388,33594,32790,24900,1800000,1800000,94,4023000,Discharging
1947,32656,33728,32656,24800,1800000,1800000,94,4023000,Discharging
1949,32522,33862,32991,24800,1800000,1800000,94,4024000,Discharging
1951,32120,33326,32656,24800,1416000,1800000,94,4024000,Discharging
1953,32790,33527,32790,24800,1800000,1800000,94,4023000,Discharging
1955,32388,33527,32321,24800,1608000,1800000,94,4023000,Discharging
1958,32522,33862,32991,24800,1608000,1800000,94,4023000,Discharging
1960,32120,33728,32723,24800,1800000,1800000,94,4003000,Discharging
1962,32522,33259,32723,24800,1800000,1800000,94,4022000,Discharging
1964,32522,33326,33192,24800,1800000,1800000,94,4022000,Discharging
1966,32187,33460,32924,24800,1608000,1800000,94,4022000,Discharging
1968,32321,33862,32924,24800,1608000,1800000,94,4023000,Discharging
1970,32254,33728,32924,24800,1608000,1800000,94,4022000,Discharging
1972,32321,33594,32924,24800,1608000,1800000,94,4023000,Discharging
1974,32254,33594,32589,24800,1608000,1800000,94,4022000,Discharging
1976,32254,33728,33058,24800,1416000,1800000,94,4021000,Discharging
1979,32790,33795,33326,24800,1608000,1800000,94,4023000,Discharging
1981,32522,33460,32790,24800,1800000,1800000,94,4023000,Discharging
1983,32254,33795,33125,24800,1800000,1800000,94,4005000,Discharging
1985,32991,33795,32924,24800,1800000,1800000,94,4023000,Discharging
1987,32656,33929,32857,24800,1800000,1800000,94,4024000,Discharging
1989,32254,33594,32991,24800,1800000,1800000,94,4024000,Discharging
1991,32321,33661,32723,24800,1608000,1800000,94,4024000,Discharging
1993,32321,33661,32254,24800,1800000,1800000,94,4026000,Discharging
1995,32053,33728,32857,24800,1800000,1800000,94,4023000,Discharging
1997,32388,34130,32790,24800,1416000,1800000,94,4021000,Discharging
2000,32522,33192,32857,24800,1800000,1800000,94,4020000,Discharging
2002,32589,33795,33058,24800,1608000,1800000,94,4022000,Discharging
2004,32455,33661,32924,24800,1800000,1800000,94,4021000,Discharging
2006,32321,33661,32924,24800,1800000,1800000,94,4022000,Discharging
2008,32589,33795,33058,24800,1800000,1800000,94,4022000,Discharging
2010,32254,33795,32924,24800,1800000,1800000,94,4024000,Discharging
2012,32455,33795,32991,24800,1416000,1800000,94,4023000,Discharging
2014,32455,33795,33058,24800,1800000,1800000,94,4023000,Discharging
2016,32589,33594,33259,24800,1800000,1800000,94,4024000,Discharging
2018,32790,33929,33326,24800,1800000,1800000,94,4023000,Discharging
2021,32254,33594,32723,24800,1608000,1800000,94,4022000,Discharging
2023,32857,33795,32723,24800,1608000,1800000,94,4022000,Discharging
2025,32723,33996,32924,24800,1800000,1800000,94,4024000,Discharging
2027,32656,33594,32991,24800,1800000,1800000,94,4001000,Discharging
2029,32589,34398,33527,24800,1800000,1800000,94,4022000,Discharging
2031,32723,33728,32991,24800,1800000,1800000,94,4022000,Discharging
2033,32455,33996,32991,24800,1416000,1800000,94,4021000,Discharging
2035,32857,33996,32991,24800,1800000,1800000,94,4021000,Discharging
2037,32790,33393,32924,24800,1800000,1800000,94,4021000,Discharging
2039,32723,34197,32857,24800,1608000,1800000,94,4021000,Discharging
2042,32589,33862,33058,24800,1416000,1800000,94,4021000,Discharging
2044,32656,33661,32991,24800,1800000,1800000,94,4021000,Discharging
2046,32589,33661,33058,24800,1800000,1800000,94,4021000,Discharging
2048,32589,33728,32924,24800,1416000,1800000,94,4021000,Discharging
2050,32589,34063,33393,24800,1800000,1800000,94,4006000,Discharging
2052,32187,33929,32790,24800,1800000,1800000,94,4021000,Discharging
2054,32924,33996,32924,24800,1608000,1800000,94,4021000,Discharging
2056,32522,33795,33326,24800,1416000,1800000,94,4021000,Discharging
2058,32321,33661,32924,24800,1800000,1800000,94,4022000,Discharging
2060,32589,33795,33058,24800,1608000,1800000,94,4020000,Discharging
2063,32321,33594,33192,24800,1800000,1800000,94,4020000,Discharging
2065,32991,33996,32790,24800,1800000,1800000,94,4020000,Discharging
2067,32991,33996,33058,24800,1800000,1800000,94,4020000,Discharging
2069,33460,33862,33393,24800,1800000,1800000,94,4021000,Discharging
2071,32522,33795,32991,24800,1608000,1800000,94,4021000,Discharging
2073,32388,33795,33058,24800,1608000,1800000,94,4016000,Discharging
2075,32388,33594,32991,24800,1800000,1800000,94,4021000,Discharging
2077,32656,34063,33058,24800,1416000,1800000,94,4022000,Discharging
2079,32723,33594,33125,24800,1800000,1800000,94,4022000,Discharging
2081,32656,34599,33192,24800,1608000,1800000,94,4022000,Discharging
2084,32857,34398,33527,24900,1800000,1800000,94,4022000,Discharging
2086,32589,33929,33192,24800,1608000,1800000,94,4021000,Discharging
2088,32790,33862,33058,24800,1800000,1800000,94,4021000,Discharging
2090,32589,33929,33393,24900,1800000,1800000,94,4022000,Discharging
2092,32589,33795,33192,24800,1800000,1800000,94,4022000,Discharging
2094,32321,34063,33594,24800,1800000,1800000,94,4024000,Discharging
2096,32790,33929,33460,24900,1416000,1800000,94,4018000,Discharging
2098,32589,34130,33594,24900,1800000,1800000,94,4019000,Discharging
2100,32857,33862,33460,24900,1800000,1800000,94,4020000,Discharging
2102,33326,34264,33192,24800,1608000,1800000,94,4021000,Discharging
2104,32790,33661,32924,24900,1608000,1800000,94,4021000,Discharging
2107,32857,33929,33259,24900,1800000,1800000,94,4021000,Discharging
2109,32991,34398,33192,24900,1608000,1800000,94,4020000,Discharging
2111,33259,34063,33259,24900,1800000,1800000,94,4020000,Discharging
2113,32723,34331,33326,24900,1608000,1800000,94,4020000,Discharging
2115,32656,33996,33393,24900,1416000,1800000,94,4021000,Discharging
2117,32857,34331,33058,24900,1800000,1800000,94,4021000,Discharging
2119,32924,34063,33460,24900,1608000,1800000,94,4020000,Discharging
2121,32723,33996,33393,24900,1800000,1800000,94,4020000,Discharging
2123,32589,34130,33125,24900,1800000,1800000,94,4021000,Discharging
2125,33058,34331,33728,24900,1608000,1800000,94,4021000,Discharging
2128,32924,34197,33795,24900,1608000,1800000,94,4021000,Discharging
2130,32857,33728,33192,24900,1800000,1800000,94,4020000,Discharging
2132,33058,33795,33661,24900,1416000,1800000,94,4019000,Discharging
2134,33125,34197,33058,24900,1800000,1800000,94,4018000,Discharging
2136,32991,34197,33125,24900,1800000,1800000,94,4019000,Discharging
2138,32589,34130,33460,24900,1608000,1800000,94,4019000,Discharging
2140,32991,34197,32857,24900,1800000,1800000,94,3998000,Discharging
2142,32924,34130,33259,24900,1800000,1800000,94,4018000,Discharging
2144,32790,33728,33393,24900,1608000,1800000,94,4019000,Discharging
2146,32991,34532,33594,24900,1416000,1800000,94,4018000,Discharging
2149,32723,33929,33259,24900,1608000,1800000,94,4019000,Discharging
2151,33058,34331,33527,24900,1800000,1800000,94,4019000,Discharging
2153,32723,34130,33527,24900,1416000,1800000,94,4022000,Discharging
2155,32522,33527,33259,24900,1608000,1800000,94,4019000,Discharging
2157,32790,34130,33460,24900,1800000,1800000,94,4018000,Discharging
2159,32723,34063,33326,24900,1416000,1800000,94,4018000,Discharging
2161,33058,33996,33125,24900,1800000,1800000,94,4018000,Discharging
2163,33192,34197,33527,25000,1608000,1800000,94,4018000,Discharging
2165,33192,34331,33393,24900,1608000,1800000,94,4017000,Discharging
2167,32455,34130,33527,24900,1608000,1800000,94,4018000,Discharging
2170,32723,33996,33460,24900,1800000,1800000,94,4019000,Discharging
2172,33460,34465,33192,24900,1800000,1800000,94,4019000,Discharging
2174,33058,34130,33594,24900,1608000,1800000,94,4019000,Discharging
2176,33125,34197,33192,24900,1608000,1800000,94,4020000,Discharging
2178,32857,33996,33192,24900,1416000,1800000,94,4020000,Discharging
2180,32924,34197,33125,24900,1608000,1800000,94,4020000,Discharging
2182,32790,34331,33326,25000,1800000,1800000,94,4019000,Discharging
2184,33058,34465,33326,25000,1416000,1800000,94,4011000,Discharging
2186,33326,34063,33594,24900,1608000,1800000,94,4020000,Discharging
2188,32991,34264,33259,24900,1608000,1800000,94,4020000,Discharging
2191,33125,34197,33259,25000,1800000,1800000,94,4020000,Discharging
2193,32991,33929,33326,24900,1800000,1800000,94,4019000,Discharging
2195,32723,34331,33125,24900,1416000,1800000,94,4023000,Discharging
2197,32790,34197,33393,25000,1608000,1800000,94,4018000,Discharging
2199,32723,34264,33594,25000,1800000,1800000,94,4018000,Discharging
2201,32723,33996,33393,25000,1800000,1800000,94,4020000,Discharging
2203,33326,34398,33192,25000,1800000,1800000,94,4020000,Discharging
2205,32790,34398,33326,25000,1800000,1800000,94,4020000,Discharging
2207,32723,34398,33326,25000,1608000,1800000,94,4007000,Discharging
2209,32924,34197,33259,25000,1800000,1800000,94,4019000,Discharging
2212,33058,34264,33661,25000,1800000,1800000,93,4019000,Discharging
2214,33326,34465,33795,25000,1608000,1800000,93,4019000,Discharging
2216,33125,34197,33460,25000,1800000,1800000,93,4019000,Discharging
2218,33125,34197,33393,25000,1608000,1800000,93,4018000,Discharging
2220,32857,34599,33460,25000,1800000,1800000,93,4019000,Discharging
2222,32656,34063,33527,25000,1800000,1800000,93,4019000,Discharging
2224,33259,34197,33460,25000,1800000,1800000,93,4019000,Discharging
2226,32991,34398,33728,25000,1416000,1800000,93,4021000,Discharging
2228,32857,34130,33393,25000,1800000,1800000,93,4018000,Discharging
2230,32857,34599,33929,25000,1608000,1800000,93,4008000,Discharging
2233,32991,34130,33594,25000,1800000,1800000,93,4018000,Discharging
2235,32991,34465,33661,25000,1800000,1800000,93,4017000,Discharging
2237,32857,34264,33795,25000,1608000,1800000,93,4018000,Discharging
2239,32991,34264,33661,25000,1800000,1800000,93,4018000,Discharging
2241,33058,33862,33929,25000,1800000,1800000,93,4017000,Discharging
2243,32991,34331,33594,25000,1800000,1800000,93,4017000,Discharging
2245,32790,34666,33393,25000,1800000,1800000,93,4017000,Discharging
2247,32991,34197,34197,25100,1800000,1800000,93,4016000,Discharging
2249,33058,34331,33460,25000,1416000,1800000,93,4018000,Discharging
2251,33527,34264,33125,25100,1800000,1800000,93,4018000,Discharging
2254,33125,34666,33929,25000,1608000,1800000,93,4008000,Discharging
2256,33259,34331,33594,25000,1800000,1800000,93,4018000,Discharging
2258,33393,34398,33661,25000,1800000,1800000,93,4018000,Discharging
2260,33460,34063,33058,25100,1800000,1800000,93,4018000,Discharging
2262,33125,34264,33527,25000,1608000,1800000,93,4018000,Discharging
2264,32924,34130,33259,25100,1800000,1800000,93,4018000,Discharging
2266,33125,34666,33661,25000,1608000,1800000,93,4017000,Discharging
2268,32723,34465,33661,25100,1800000,1800000,93,4017000,Discharging
2270,32991,34063,33594,25100,1608000,1800000,93,4016000,Discharging
2272,33125,34398,33594,25100,1416000,1800000,93,4018000,Discharging
2275,33125,34599,33795,25100,1800000,1800000,93,4018000,Discharging
2277,32656,34331,33125,25100,1608000,1800000,93,4013000,Discharging
2279,33125,34532,33527,25100,1800000,1800000,93,4019000,Discharging
2281,33259,34599,34130,25100,1800000,1800000,93,4018000,Discharging
2283,33594,34532,33661,25100,1416000,1800000,93,4019000,Discharging
2285,33728,34465,33326,25100,1608000,1800000,93,4019000,Discharging
2287,32857,34130,33862,25100,1608000,1800000,93,4018000,Discharging
2289,33326,34331,33594,25100,1800000,1800000,93,4018000,Discharging
2292,32857,34465,33326,25100,1608000,1800000,93,4018000,Discharging
2294,33058,34398,33393,25100,1800000,1800000,93,4020000,Discharging
2296,33460,34800,33460,25100,1800000,1800000,93,4015000,Discharging
2298,33058,33996,33996,25100,1800000,1800000,93,4014000,Discharging
