# fw=nextui workload=zelda start=2026-09-13 12:45:52 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
8281,36341,36944,36341,27700,1800000,1800000,78,3854000,Discharging
8283,35872,37346,36341,27700,1608000,1800000,78,3854000,Discharging
8285,36073,36877,36207,27800,1800000,1800000,78,3853000,Discharging
8287,36140,37279,36877,27800,1800000,1800000,78,3853000,Discharging
8289,36073,36810,36341,27700,1608000,1800000,78,3843000,Discharging
8291,36207,37145,36877,27700,1608000,1800000,78,3853000,Discharging
8293,35872,37078,36274,27800,1800000,1800000,78,3850000,Discharging
8295,35470,36877,36207,27700,1800000,1800000,78,3851000,Discharging
8297,36140,37145,36341,27800,1800000,1800000,78,3852000,Discharging
8300,35604,36944,36207,27800,1608000,1800000,78,3853000,Discharging
8302,35738,37346,36274,27700,1800000,1800000,78,3851000,Discharging
8304,36341,37011,36274,27700,1800000,1800000,78,3852000,Discharging
8306,35805,37413,36207,27700,1800000,1800000,78,3852000,Discharging
8308,35738,37078,36341,27700,1800000,1800000,78,3852000,Discharging
8310,35939,37078,36341,27700,1800000,1800000,78,3853000,Discharging
8312,35671,36877,36006,27800,1608000,1800000,78,3836000,Discharging
8314,35537,36944,36073,27700,1800000,1800000,78,3852000,Discharging
8316,35872,37279,36207,27700,1800000,1800000,78,3852000,Discharging
8318,36274,36877,36475,27700,1800000,1800000,78,3851000,Discharging
8321,36006,37078,36274,27800,1800000,1800000,78,3852000,Discharging
8323,35604,36944,36073,27800,1800000,1800000,78,3851000,Discharging
8325,35470,37078,36207,27700,1800000,1800000,78,3850000,Discharging
8327,35671,36408,36073,27800,1800000,1800000,78,3851000,Discharging
8329,35403,36944,35939,27700,1800000,1800000,78,3850000,Discharging
8331,35872,37078,36743,27700,1800000,1800000,78,3850000,Discharging
8333,35604,36944,36810,27800,1608000,1800000,78,3851000,Discharging
8335,35604,37145,35805,27800,1800000,1800000,78,3833000,Discharging
8337,35671,36944,36073,27700,1800000,1800000,78,3851000,Discharging
8339,35537,36877,36341,27700,1608000,1800000,78,3850000,Discharging
8342,35872,36475,36475,27800,1608000,1800000,78,3851000,Discharging
8344,35738,37212,36073,27800,1800000,1800000,78,3850000,Discharging
8346,35537,36944,36006,27800,1416000,1800000,78,3850000,Discharging
8348,35537,37078,36676,27800,1800000,1800000,78,3851000,Discharging
8350,35939,36877,36140,27800,1800000,1800000,78,3851000,Discharging
8352,35403,36810,36207,27700,1800000,1800000,78,3850000,Discharging
8354,35872,36877,36140,27800,1608000,1800000,78,3850000,Discharging
8356,35470,36542,36140,27800,1608000,1800000,78,3850000,Discharging
8358,35470,36877,35805,27800,1608000,1800000,78,3840000,Discharging
8360,35470,36743,36207,27700,1608000,1800000,78,3851000,Discharging
8362,35336,37212,35872,27700,1608000,1800000,78,3851000,Discharging
8365,35738,36810,36140,27700,1608000,1800000,78,3850000,Discharging
8367,35470,37011,36073,27700,1608000,1800000,78,3850000,Discharging
8369,36006,37011,36475,27700,1800000,1800000,78,3849000,Discharging
8371,35470,36676,36274,27700,1608000,1800000,78,3850000,Discharging
8373,35671,36877,36006,27700,1608000,1800000,78,3851000,Discharging
8375,35604,37011,36475,27800,1800000,1800000,78,3851000,Discharging
8377,36006,36810,36073,27700,1800000,1800000,78,3851000,Discharging
8379,35939,36944,36207,27700,1416000,1800000,78,3851000,Discharging
8381,35805,37212,35939,27700,1800000,1800000,78,3838000,Discharging
8383,36073,37279,36743,27700,1800000,1800000,77,3850000,Discharging
8386,35470,37279,36408,27700,1800000,1800000,77,3850000,Discharging
8388,35805,37547,36475,27700,1800000,1800000,77,3850000,Discharging
8390,35872,37078,36207,27700,1800000,1800000,77,3853000,Discharging
8392,35403,36810,36140,27700,1608000,1800000,77,3850000,Discharging
8394,35336,37011,36542,27700,1800000,1800000,77,3848000,Discharging
8396,35805,36810,36341,27700,1608000,1800000,77,3847000,Discharging
8398,35403,37078,36140,27700,1608000,1800000,77,3849000,Discharging
8400,35671,37413,36274,27700,1416000,1800000,77,3849000,Discharging
8402,35872,36676,36475,27700,1800000,1800000,77,3849000,Discharging
8404,35872,37011,36274,27700,1800000,1800000,77,3837000,Discharging
8407,35470,37078,36341,27700,1800000,1800000,77,3850000,Discharging
8409,35537,37078,36408,27700,1800000,1800000,77,3850000,Discharging
8411,35872,37011,36073,27700,1800000,1800000,77,3850000,Discharging
8413,36207,36743,36207,27700,1800000,1800000,77,3850000,Discharging
8415,36207,37011,36073,27800,1800000,1800000,77,3849000,Discharging
8417,35403,37078,36676,27700,1608000,1800000,77,3849000,Discharging
8419,35671,36810,36341,27700,1608000,1800000,77,3849000,Discharging
8421,35671,36609,36140,27700,1800000,1800000,77,3848000,Discharging
8423,35403,37078,35738,27700,1800000,1800000,77,3848000,Discharging
8425,35671,36743,36073,27700,1608000,1800000,77,3847000,Discharging
8428,35671,36944,36006,27700,1800000,1800000,77,3839000,Discharging
8430,35738,36408,36073,27700,1608000,1800000,77,3848000,Discharging
8432,35671,37011,36408,27700,1608000,1800000,77,3849000,Discharging
8434,35604,36676,35939,27700,1800000,1800000,77,3849000,Discharging
8436,35537,36609,36341,27700,1608000,1800000,77,3849000,Discharging
8438,35403,36609,36341,27700,1416000,1800000,77,3849000,Discharging
8440,35671,36877,36207,27700,1416000,1800000,77,3846000,Discharging
8442,35939,36944,36006,27700,1800000,1800000,77,3849000,Discharging
8444,35470,36810,36274,27700,1800000,1800000,77,3849000,Discharging
8446,35671,36810,35805,27700,1608000,1800000,77,3848000,Discharging
8449,35336,36877,36475,27700,1608000,1800000,77,3848000,Discharging
8451,35671,37078,36274,27700,1608000,1800000,77,3841000,Discharging
8453,36006,36810,36140,27800,1800000,1800000,77,3847000,Discharging
8455,35671,37346,35604,27700,1800000,1800000,77,3848000,Discharging
8457,35537,37011,36140,27700,1800000,1800000,77,3848000,Discharging
8459,35805,36341,36274,27700,1800000,1800000,77,3848000,Discharging
8461,35403,37011,35738,27700,1608000,1800000,77,3849000,Discharging
8463,35269,37078,36006,27700,1800000,1800000,77,3849000,Discharging
8465,35939,36810,36140,27700,1800000,1800000,77,3848000,Discharging
8467,35872,36743,36140,27700,1608000,1800000,77,3848000,Discharging
8470,36006,36810,36073,27700,1800000,1800000,77,3847000,Discharging
8472,35403,36676,35939,27700,1800000,1800000,77,3848000,Discharging
8474,35269,36944,36140,27800,1608000,1800000,77,3847000,Discharging
8476,35470,36609,36140,27700,1800000,1800000,77,3847000,Discharging
8478,35470,36609,35939,27700,1800000,1800000,77,3848000,Discharging
8480,36006,37011,36676,27700,1800000,1800000,77,3848000,Discharging
8482,35738,36810,36609,27700,1608000,1800000,77,3848000,Discharging
8484,36006,36944,36274,27700,1800000,1800000,77,3848000,Discharging
8486,35604,36944,36140,27700,1800000,1800000,77,3848000,Discharging
8488,35671,36877,36073,27700,1608000,1800000,77,3847000,Discharging
8491,35470,36274,36408,27700,1608000,1800000,77,3850000,Discharging
8493,36073,37078,36207,27700,1416000,1800000,77,3845000,Discharging
8495,35403,36810,35872,27700,1416000,1800000,77,3845000,Discharging
8497,36006,37078,35872,27800,1608000,1800000,77,3845000,Discharging
8499,35671,36676,35805,27700,1800000,1800000,77,3847000,Discharging
8501,35939,36810,36341,27700,1800000,1800000,77,3847000,Discharging
8503,35805,37078,35805,27700,1416000,1800000,77,3847000,Discharging
8505,36140,36676,36073,27700,1416000,1800000,77,3847000,Discharging
8507,35738,36944,35738,27700,1800000,1800000,77,3847000,Discharging
8509,35403,36810,36006,27700,1608000,1800000,77,3847000,Discharging
8512,35537,36944,35738,27700,1800000,1800000,77,3846000,Discharging
8514,35537,36542,36006,27700,1800000,1800000,77,3847000,Discharging
8516,35470,36810,35671,27700,1800000,1800000,77,3848000,Discharging
8518,35403,36810,36274,27700,1800000,1800000,77,3847000,Discharging
8520,34867,37078,35872,27700,1800000,1800000,77,3848000,Discharging
8522,35671,36676,36274,27700,1608000,1800000,77,3849000,Discharging
8524,35671,36810,36341,27700,1416000,1800000,77,3848000,Discharging
8526,35135,36877,36006,27700,1800000,1800000,77,3846000,Discharging
8528,35470,36877,35805,27700,1800000,1800000,77,3846000,Discharging
8530,35537,36944,35939,27700,1608000,1800000,77,3846000,Discharging
8533,35537,36810,35872,27700,1800000,1800000,77,3846000,Discharging
8535,34867,36944,36207,27700,1608000,1800000,77,3847000,Discharging
8537,35738,36542,35939,27700,1608000,1800000,77,3847000,Discharging
8539,35537,36810,36006,27700,1416000,1800000,77,3847000,Discharging
8541,35470,36341,36274,27700,1608000,1800000,77,3828000,Discharging
8543,35537,36743,36408,27700,1416000,1800000,77,3845000,Discharging
8545,35470,36944,35805,27700,1608000,1800000,77,3845000,Discharging
8547,35604,36877,36140,27700,1416000,1800000,77,3845000,Discharging
8549,35470,36743,36073,27700,1800000,1800000,77,3844000,Discharging
8551,35336,36810,36140,27700,1608000,1800000,77,3844000,Discharging
8554,35470,36676,35738,27700,1608000,1800000,77,3845000,Discharging
8556,35336,36542,36274,27700,1608000,1800000,77,3844000,Discharging
8558,35269,36944,35872,27700,1608000,1800000,77,3844000,Discharging
