# fw=nextui-drain workload=bloodyroar start=2026-09-14 20:30:36 soak=99C prelaunch=schedutil/1800000 launch_up=3661.72 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
3674,37815,38217,36676,27600,1800000,1800000,89,3975000,Discharging,,,,,,,,,,
3677,37279,38485,37614,27600,1800000,1800000,89,3974000,Discharging,21.0,20.3,18.9,25.8,19.4,2395,2967,,,
3679,38016,38150,37949,27600,1800000,1800000,89,3972000,Discharging,25.8,22.7,23.0,30.0,27.0,3952,4800,,,
3681,37413,38150,37815,27700,1800000,1800000,89,3967000,Discharging,28.0,25.5,15.4,29.6,41.0,3841,4416,,,
3683,36877,38217,37748,27600,1800000,1800000,89,3958000,Discharging,28.5,29.4,15.1,27.1,43.5,3268,3842,,,
3685,37078,37681,37279,27600,1416000,1800000,89,3975000,Discharging,20.8,23.6,14.9,23.9,19.4,3578,4362,,,
3687,36877,37748,37279,27600,1800000,1800000,89,3976000,Discharging,19.5,20.1,15.2,24.9,18.3,3314,4034,,,
3690,36743,38016,37614,27600,1800000,1800000,89,3975000,Discharging,20.6,16.0,12.8,36.4,17.3,2467,2915,,,
3692,36542,38351,37212,27700,1800000,1800000,89,3971000,Discharging,19.5,17.5,8.6,25.2,26.5,3286,4037,,,
3694,36609,37748,37413,27700,1800000,1800000,89,3971000,Discharging,21.2,17.8,13.1,33.2,20.2,3337,4064,,,
3696,36877,38016,37279,27700,1800000,1800000,89,3971000,Discharging,20.9,12.6,13.5,44.4,12.3,3180,3994,,,
3698,36743,38083,37011,27600,1800000,1800000,89,3959000,Discharging,19.9,12.0,14.4,27.8,25.7,3241,4032,,,
3700,36810,38217,37145,27700,1800000,1800000,89,3973000,Discharging,19.8,12.4,11.7,32.1,22.9,3484,4154,,,
3702,36676,37882,36877,27600,1800000,1800000,89,3976000,Discharging,19.7,12.6,10.0,26.6,29.7,3245,4013,,,
3705,36676,37681,36877,27600,1608000,1800000,89,3976000,Discharging,19.8,16.6,16.1,20.5,25.8,2195,2681,,,
3707,36676,37547,37346,27600,1800000,1800000,89,3972000,Discharging,20.2,14.6,17.3,20.8,27.8,3240,4058,,,
3709,36877,38083,37212,27700,1800000,1800000,89,3971000,Discharging,20.7,13.5,16.5,26.5,26.3,3321,4060,,,
3711,36542,38150,37279,27700,1416000,1800000,89,3973000,Discharging,18.6,22.3,13.9,24.9,13.7,3530,4224,,,
3713,36810,38217,37145,27800,1416000,1800000,89,3973000,Discharging,20.8,14.3,12.4,36.6,19.2,3333,4089,,,
3715,36944,38016,37145,27700,1800000,1800000,89,3970000,Discharging,20.5,15.9,10.5,31.9,24.5,3369,4070,,,
3718,36743,37815,37413,27700,1800000,1800000,89,3970000,Discharging,20.0,15.2,13.1,22.6,28.9,2232,2708,,,
3720,36810,37882,37145,27700,1800000,1800000,89,3974000,Discharging,20.5,14.8,16.7,24.1,26.0,3328,4032,,,
3722,36542,37480,37145,27600,1800000,1800000,89,3973000,Discharging,19.6,22.1,17.1,21.6,17.6,3527,4179,,,
3724,37145,37815,37011,27700,1608000,1800000,89,3968000,Discharging,20.8,17.1,15.2,23.1,27.1,3302,4072,,,
3726,36743,37815,37413,27700,1800000,1800000,89,3971000,Discharging,20.1,12.5,12.6,29.0,26.6,3323,4081,,,
3728,36877,38284,37413,27800,1800000,1800000,89,3973000,Discharging,20.0,17.2,12.8,23.8,26.4,3398,4148,,,
3730,37145,37949,37212,27700,1800000,1800000,89,3972000,Discharging,21.3,20.3,13.6,29.0,21.2,3433,4062,,,
3733,36609,37681,37212,27700,1800000,1800000,89,3975000,Discharging,20.0,14.6,16.5,28.0,21.2,2225,2705,,,
3735,37346,38083,37480,27700,1800000,1800000,89,3973000,Discharging,22.2,24.5,18.4,23.0,23.5,3549,4348,,,
3737,37279,38016,38217,27700,1800000,1800000,89,3968000,Discharging,29.2,17.9,22.1,43.7,32.7,3501,4293,,,
3739,38284,38217,37748,27800,1800000,1800000,89,3968000,Discharging,27.3,25.1,15.9,27.4,40.0,3827,4414,,,
3741,37681,38083,38016,27800,1800000,1800000,89,3946000,Discharging,29.2,21.4,18.3,31.6,45.2,3876,4431,,,
3743,37279,38217,37480,27700,1800000,1800000,89,3971000,Discharging,23.0,16.8,21.9,24.7,28.8,3577,4376,,,
3746,37681,38351,38619,27700,1800000,1800000,89,3972000,Discharging,21.6,23.7,13.3,31.1,18.5,2471,3011,,,
3748,37279,38284,37614,27700,1800000,1800000,89,3971000,Discharging,20.3,22.1,14.4,23.8,21.2,3770,4487,,,
3750,37480,38552,38083,27800,1800000,1800000,89,3951000,Discharging,29.1,18.7,19.7,34.3,43.1,4156,4782,,,
3752,40026,39959,39289,27700,1800000,1800000,89,3957000,Discharging,36.1,43.1,30.0,36.1,35.0,4485,4728,,,
3754,40294,39490,39557,27700,1800000,1800000,89,3969000,Discharging,35.5,45.5,22.7,28.6,44.7,4606,4850,,,
3756,40495,39624,40026,27900,1608000,1800000,89,3961000,Discharging,35.4,31.5,35.6,31.6,43.5,4088,4576,,,
3759,39624,38887,39691,27700,1800000,1800000,89,3965000,Discharging,35.0,36.1,28.3,37.9,37.7,2612,2904,,,
3761,39959,39088,39021,27700,1800000,1800000,89,3967000,Discharging,35.8,38.2,36.4,34.4,33.2,4000,4370,,,
3763,40026,39825,39825,27700,1800000,1800000,89,3962000,Discharging,35.1,38.2,37.2,25.2,40.4,4276,4589,,,
3765,39088,39155,39021,27800,1800000,1800000,89,3964000,Discharging,35.8,41.3,28.2,35.3,39.2,3673,4090,,,
3767,38753,38887,39021,27800,1800000,1800000,89,3966000,Discharging,35.2,32.2,33.6,29.9,44.9,3396,3926,,,
3769,38820,38686,38820,27900,1800000,1800000,89,3966000,Discharging,35.4,35.0,32.4,25.0,49.1,3304,3803,,,
3772,38954,39490,39356,27800,1800000,1800000,89,3961000,Discharging,34.4,34.6,30.4,29.5,43.3,2641,2918,,,
3774,38820,38753,39222,27800,1800000,1800000,89,3964000,Discharging,35.4,38.5,39.2,30.0,32.9,3544,4038,,,
3776,39892,39356,39758,27800,1800000,1800000,89,3961000,Discharging,35.6,41.5,28.7,34.4,38.8,4288,4537,,,
3778,38954,39222,38820,27800,1800000,1800000,89,3968000,Discharging,35.4,36.6,44.7,31.5,28.2,3641,4253,,,
3780,39691,39557,39088,27800,1800000,1800000,89,3965000,Discharging,35.6,37.6,38.3,31.9,34.6,4240,4592,,,
3783,40830,40294,40897,27800,1800000,1800000,89,3942000,Discharging,34.3,31.0,31.5,30.7,43.8,3089,3220,,,
3785,39088,39021,39021,27800,1800000,1800000,89,3965000,Discharging,33.5,31.6,27.6,31.6,43.0,3670,4129,,,
3787,38083,38552,38150,27800,1800000,1800000,89,3969000,Discharging,31.0,38.8,24.4,26.8,34.3,3344,3878,,,
3789,37480,38418,38418,27800,1800000,1800000,89,3970000,Discharging,32.7,51.9,30.7,26.4,22.0,2982,3461,,,
3791,38150,38485,38217,27800,1800000,1800000,89,3970000,Discharging,32.8,35.4,36.4,23.7,35.8,3144,3674,,,
3793,37882,38954,38351,27800,1800000,1800000,89,3968000,Discharging,32.4,31.9,31.9,32.5,32.6,3486,3918,,,
