# fw=nextui-drain workload=sf2 start=2026-09-14 20:00:22 soak=99C prelaunch=schedutil/1800000 launch_up=1847.28 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
1860,35202,36006,35805,25800,1800000,1800000,94,4023000,Discharging,,,,,,,,,,
1862,35336,36341,35671,25900,1608000,1800000,94,4019000,Discharging,20.7,22.5,9.9,19.6,30.2,2606,2910,,,
1864,35805,36140,36140,25900,1800000,1800000,94,4018000,Discharging,21.1,9.1,17.6,16.0,41.0,2840,2990,,,
1866,35604,36408,36073,25900,1800000,1800000,94,4020000,Discharging,20.9,14.6,9.9,14.1,44.7,2818,3030,,,
1869,35336,36542,36207,25900,1800000,1800000,94,4020000,Discharging,21.0,6.9,22.5,19.2,34.7,1827,1977,,,
1871,35470,36676,36073,25900,1800000,1800000,94,4019000,Discharging,21.0,15.6,18.2,29.9,19.8,2696,2952,,,
1873,35403,36341,35202,25900,1200000,1800000,94,4019000,Discharging,21.0,17.1,10.9,13.1,42.8,2614,2930,,,
1875,35269,36676,36006,25900,1800000,1800000,94,4018000,Discharging,21.7,11.8,13.1,19.4,42.7,2716,2980,,,
1877,35269,36609,36274,25900,1800000,1800000,94,4018000,Discharging,21.3,9.1,10.4,25.6,40.7,2736,2990,,,
1879,35738,36475,36341,25900,1800000,1800000,94,4019000,Discharging,21.5,16.9,17.6,20.2,29.8,2830,3003,,,
1881,35537,36073,35604,25900,1800000,1800000,94,4021000,Discharging,21.2,14.6,10.7,14.6,45.1,2656,2943,,,
1884,35604,36542,35604,25900,1800000,1800000,94,4022000,Discharging,21.1,10.6,9.0,27.2,36.9,1732,1951,,,
1886,35805,36274,35805,25900,1800000,1800000,94,4021000,Discharging,20.9,11.8,12.4,15.0,45.1,2960,3044,,,
1888,35738,36274,35604,25900,1608000,1800000,94,4022000,Discharging,20.4,10.9,17.8,16.9,35.4,2792,3019,,,
1890,35604,36408,35604,25900,1800000,1800000,94,4018000,Discharging,21.8,8.7,14.0,25.0,38.6,3027,3048,,,
1892,35671,36542,36140,25900,1608000,1800000,94,4016000,Discharging,21.2,21.3,18.7,17.8,28.2,3074,3074,,,
1894,36073,36810,36207,25900,1800000,1800000,94,4015000,Discharging,21.3,15.1,14.3,19.9,35.7,3370,3181,,,
1897,35671,36475,36408,25900,1800000,1800000,94,4016000,Discharging,21.4,18.5,9.8,21.8,35.7,2152,2111,,,
1899,35872,36475,36207,25900,1608000,1800000,94,4014000,Discharging,21.7,12.4,18.5,18.9,36.9,3418,3236,,,
1901,35738,36743,36207,25900,1608000,1800000,94,4017000,Discharging,21.7,12.9,10.9,38.4,24.3,3354,3203,,,
1903,35939,36408,36207,25900,1800000,1800000,94,4016000,Discharging,21.5,14.8,19.1,16.2,35.0,3236,3123,,,
1905,36207,36609,36140,25900,1800000,1800000,94,4017000,Discharging,21.4,23.7,11.2,18.3,33.3,3416,3150,,,
1907,35939,36542,36475,25900,1608000,1800000,94,4016000,Discharging,21.4,12.9,20.9,16.7,35.1,3221,3149,,,
1909,36207,36676,36073,25900,1800000,1800000,94,4018000,Discharging,21.3,17.7,9.0,21.7,36.0,3562,3254,,,
1912,36207,36810,36676,26000,1800000,1800000,94,4016000,Discharging,21.4,13.9,15.0,19.1,37.9,2226,2114,,,
1914,35470,36408,35805,25900,1800000,1800000,94,4021000,Discharging,21.2,17.9,18.4,20.2,28.7,3054,3058,,,
1916,35470,36676,35738,26000,1800000,1800000,94,4019000,Discharging,21.1,13.5,15.5,32.3,22.2,2664,2934,,,
1918,35336,36274,36006,26000,1800000,1800000,94,4019000,Discharging,20.3,8.7,17.0,17.8,38.0,2896,3034,,,
1920,35805,36140,36073,25900,1800000,1800000,94,4022000,Discharging,21.1,16.7,17.3,20.7,29.4,2643,2880,,,
1922,35403,36408,36207,26000,1800000,1800000,94,4019000,Discharging,20.7,18.5,14.5,19.8,29.9,2576,2860,,,
1924,35738,37078,35738,26000,1800000,1800000,94,4019000,Discharging,20.9,10.6,15.6,28.2,28.4,2702,2972,,,
1927,36006,36475,36006,26000,1416000,1800000,94,4014000,Discharging,21.4,14.8,5.6,13.1,51.9,1764,1951,,,
1929,35537,36542,36073,26000,1800000,1800000,94,4019000,Discharging,21.9,8.2,9.8,20.4,48.6,2859,3011,,,
1931,35403,36408,35872,26000,1608000,1800000,94,4019000,Discharging,21.4,12.4,19.6,19.7,33.6,2623,2956,,,
1933,35537,36609,35872,26000,1800000,1800000,94,4020000,Discharging,20.8,24.2,16.8,21.9,20.4,2680,2920,,,
1935,35202,36408,36207,26000,1800000,1800000,94,4019000,Discharging,20.7,13.3,15.8,19.8,34.0,2772,2988,,,
1937,35805,36944,36006,26000,1800000,1800000,94,4019000,Discharging,20.5,13.5,14.4,17.7,35.2,2615,2933,,,
1939,36006,36274,36140,26000,1800000,1800000,94,4019000,Discharging,21.0,16.3,14.9,13.7,39.7,3040,3076,,,
1942,35269,36475,35872,26000,1800000,1800000,94,4011000,Discharging,21.3,8.6,15.6,15.1,46.0,1694,1928,,,
