# fw=nextui-drain workload=zelda start=2026-09-14 19:30:06 soak=99C prelaunch=schedutil/1800000 launch_up=31.49 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
44,26157,27430,26760,20500,1800000,1800000,100,4088000,Discharging,,,,,,,,,,
46,26626,27296,26626,20600,1800000,1800000,100,4087000,Discharging,18.6,17.4,14.5,10.8,31.9,2570,2888,,,
48,26157,27162,26626,20600,1800000,1800000,100,4086000,Discharging,19.8,19.4,12.6,27.5,19.4,2669,2904,,,
51,26157,27363,26291,20600,1800000,1800000,100,4089000,Discharging,18.7,20.5,11.3,25.7,17.9,1708,1932,,,
53,26492,27430,26760,20600,1800000,1800000,100,4086000,Discharging,18.2,22.6,10.3,15.6,24.1,2622,2904,,,
55,26291,27363,26492,20600,1800000,1800000,100,4062000,Discharging,19.0,15.9,13.1,30.2,17.4,2828,2982,,,
57,26157,26693,26760,20600,1800000,1800000,100,4084000,Discharging,18.7,19.3,13.4,15.6,25.6,2584,2884,,,
59,26090,27698,26894,20600,1800000,1800000,100,4084000,Discharging,21.0,12.4,12.3,39.4,19.7,2658,2920,,,
61,25822,27832,26760,20700,1800000,1800000,100,4085000,Discharging,18.7,16.6,12.3,24.9,20.9,2535,2884,,,
63,26157,27564,26760,20700,1800000,1800000,100,4083000,Discharging,19.9,17.1,11.0,22.0,29.2,2610,2880,,,
66,26626,27564,26961,20700,1800000,1800000,100,4084000,Discharging,18.3,21.2,12.3,27.6,12.7,1883,1992,,,
68,27162,27631,27028,20700,1608000,1800000,100,4083000,Discharging,20.1,13.3,8.5,28.8,29.2,2652,2954,,,
70,26291,27832,26760,20700,1800000,1800000,100,4061000,Discharging,18.9,16.9,12.9,23.6,22.3,2629,2917,,,
72,26291,27497,27095,20700,1800000,1800000,100,4084000,Discharging,17.6,16.2,11.8,24.5,18.4,2620,2921,,,
