# fw=nextui workload=menuidle start=2026-09-13 14:02:05 gov=performance
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status
12843,36743,34934,33728,26900,2000000,57,64,3732000,Discharging
12845,39088,37078,37011,27100,1800000,19,64,3706000,Discharging
12848,33192,34331,33728,27000,1416000,2,64,3722000,Discharging
12850,32790,33862,33259,27000,1416000,2,64,3733000,Discharging
12852,32589,33862,32790,27000,1416000,2,64,3732000,Discharging
12854,32388,33929,33125,26900,1416000,2,64,3732000,Discharging
12856,32388,33594,33192,26900,1416000,2,64,3732000,Discharging
12858,32321,33594,33058,26900,1416000,2,64,3733000,Discharging
12860,32388,33862,32857,26900,1416000,2,64,3732000,Discharging
12862,32321,33594,32656,26900,1416000,2,64,3732000,Discharging
12864,32187,33259,32589,26900,1416000,2,64,3732000,Discharging
12866,32187,33661,32723,27000,1800000,2,64,3732000,Discharging
12869,32455,33728,32857,26900,1800000,2,64,3731000,Discharging
12871,31986,33527,32790,27000,1416000,2,64,3732000,Discharging
12873,32388,33259,33058,27000,1608000,2,64,3732000,Discharging
12875,32254,33594,32857,27000,1800000,2,64,3732000,Discharging
12877,32321,33460,32656,27000,1800000,2,64,3732000,Discharging
12879,32321,33661,33125,26900,1416000,2,64,3731000,Discharging
12881,32321,33728,32857,26900,1608000,2,64,3732000,Discharging
12883,32053,33460,32991,26900,1416000,2,64,3731000,Discharging
12885,32254,33929,33058,26900,1608000,2,64,3731000,Discharging
12887,32455,33259,32723,26900,1416000,1,64,3732000,Discharging
12889,32455,33594,32924,26900,1416000,2,64,3731000,Discharging
12892,32522,33728,32455,26900,1416000,2,64,3720000,Discharging
12894,32053,33862,32991,27000,1416000,2,64,3731000,Discharging
12896,32388,33728,33192,26900,1800000,2,64,3731000,Discharging
12898,32388,33259,32857,26900,1800000,2,64,3731000,Discharging
12900,31919,33594,32991,26900,1416000,2,64,3731000,Discharging
12902,32254,33661,33058,26900,1416000,2,64,3731000,Discharging
12904,32254,33527,32991,26900,1416000,2,64,3730000,Discharging
12906,32455,33460,32857,26900,1416000,2,64,3731000,Discharging
12908,32321,33594,32388,26900,1200000,2,64,3731000,Discharging
12910,32254,33460,32991,26900,1416000,3,63,3731000,Discharging
12913,32321,33125,33192,26900,1608000,2,63,3731000,Discharging
12915,32053,33661,32991,26900,1416000,2,63,3719000,Discharging
12917,32053,33527,32790,26900,1200000,2,63,3731000,Discharging
12919,32254,33661,32656,26900,1416000,2,63,3731000,Discharging
12921,32321,33460,32656,26900,1416000,2,63,3731000,Discharging
12923,32254,33728,32656,26900,1416000,2,63,3730000,Discharging
12925,31919,33862,32857,26900,1800000,2,63,3731000,Discharging
12927,32254,33929,32723,26900,1416000,2,63,3730000,Discharging
12929,32254,33326,32991,26900,1416000,1,63,3730000,Discharging
12931,32321,33728,32924,26900,1416000,2,63,3730000,Discharging
12934,32187,33259,32723,26900,1608000,2,63,3730000,Discharging
12936,32522,33527,32991,26900,1800000,3,63,3731000,Discharging
12938,31986,33594,32790,26900,1416000,2,63,3721000,Discharging
12940,32388,33460,32589,26900,1416000,2,63,3730000,Discharging
12942,31852,33192,32455,26900,1416000,2,63,3730000,Discharging
12944,32321,33996,32656,26900,1800000,2,63,3730000,Discharging
12946,32187,33460,32589,26900,1800000,2,63,3730000,Discharging
12948,32254,33527,32656,26900,1416000,2,63,3730000,Discharging
12950,32053,33326,32656,26900,1800000,2,63,3730000,Discharging
12952,31919,33259,32589,26900,1416000,2,63,3730000,Discharging
12955,31852,33125,32790,26900,1416000,1,63,3730000,Discharging
12957,32187,33594,32656,26900,1416000,2,63,3730000,Discharging
12959,31986,33527,32589,26900,1416000,2,63,3729000,Discharging
12961,32254,33460,32656,26900,1416000,2,63,3730000,Discharging
12963,31785,33527,32589,26900,1416000,2,63,3730000,Discharging
12965,32321,33661,32857,26900,1416000,2,63,3728000,Discharging
12967,32321,33862,32723,26900,1416000,2,63,3729000,Discharging
12969,31919,33259,32321,26900,1416000,2,63,3729000,Discharging
12971,32321,33125,32522,26900,408000,1,63,3729000,Discharging
12973,32120,33259,32723,26900,1416000,2,63,3730000,Discharging
12976,32053,33192,32388,26900,1416000,2,63,3729000,Discharging
12978,31919,32991,32656,26900,1800000,2,63,3730000,Discharging
12980,32120,33326,32589,26900,1416000,2,63,3729000,Discharging
12982,32254,33192,32656,26900,1416000,2,63,3717000,Discharging
12984,32053,33527,32723,26900,1800000,2,63,3729000,Discharging
12986,32187,33728,32991,26900,1800000,2,63,3729000,Discharging
12988,31919,33527,32589,26900,1416000,2,63,3729000,Discharging
12990,32321,33527,32924,26900,1416000,2,63,3728000,Discharging
12992,32120,33795,32723,26900,1800000,2,63,3729000,Discharging
12994,32187,33460,32790,26900,1800000,2,63,3729000,Discharging
12997,31986,33192,33058,26900,1416000,2,63,3729000,Discharging
12999,32388,33326,32656,26900,1800000,2,63,3728000,Discharging
13001,32321,33125,32790,26800,1416000,2,63,3727000,Discharging
13003,32187,33125,32790,26900,1416000,2,63,3728000,Discharging
13005,32053,33527,32656,26900,1416000,2,63,3717000,Discharging
13007,32254,33527,32656,26900,1416000,2,63,3728000,Discharging
13009,32120,33393,32656,26900,1416000,2,63,3729000,Discharging
13011,31986,33460,32455,26900,1416000,2,63,3728000,Discharging
13013,31651,33259,32857,26900,1416000,2,63,3728000,Discharging
13015,31919,33192,32455,26900,1416000,2,63,3728000,Discharging
13018,31986,33527,32723,26800,1416000,2,63,3728000,Discharging
13020,32120,33259,32790,26900,1416000,2,63,3727000,Discharging
13022,31919,33393,32991,26800,1416000,1,63,3728000,Discharging
13024,31718,33527,32790,26800,1416000,2,63,3728000,Discharging
13026,31986,33795,32924,26800,1800000,2,63,3728000,Discharging
13028,32053,33326,32656,26900,1608000,2,63,3728000,Discharging
13030,32120,33661,32455,26800,1608000,2,63,3727000,Discharging
13032,31986,33661,32723,26800,1416000,1,63,3727000,Discharging
13034,32120,33795,32790,26800,1416000,2,63,3727000,Discharging
13036,32321,33393,32723,26800,1200000,1,63,3727000,Discharging
13039,31919,33661,32656,26800,1416000,2,63,3727000,Discharging
13041,31852,33460,32589,26900,1416000,2,63,3728000,Discharging
13043,31852,32924,32589,26900,1416000,2,63,3728000,Discharging
13045,31919,33125,32790,26800,1416000,2,63,3727000,Discharging
13047,32455,33728,32589,26800,1416000,2,63,3727000,Discharging
13049,32120,33460,32455,26800,1416000,2,63,3715000,Discharging
13051,31785,33460,32857,26800,1416000,2,63,3726000,Discharging
13053,32120,33795,32790,26800,1608000,2,63,3726000,Discharging
13055,31718,33326,32656,26800,1416000,2,63,3727000,Discharging
