# fw=nextui workload=menuidle start=2026-09-13 22:27:19 gov=performance max0=2000000 devfreq=none,none backlight=none gpu_pm=/sys/devices/platform/7001000.gpu-power-domain/power/runtime_status
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight,fb_blank,gpu_pm
10830,42639,41366,42036,29800,1800000,19.5,52,3604000,Discharging,38.7,11.3,8.4,19.8,2256,3346,,,,,unsupported
10832,37346,38619,38016,29700,1800000,2.6,52,3639000,Discharging,2.4,2.3,1.9,4.2,1384,1404,,,,,unsupported
10834,36676,38351,37547,29700,1800000,3.1,52,3650000,Discharging,2.8,1.4,2.8,5.6,1419,1414,,,,,unsupported
10836,36743,38083,37212,29700,1416000,2.9,52,3650000,Discharging,2.8,5.1,0.9,2.3,1374,1388,,,,,unsupported
10838,36609,38150,37480,29700,1800000,3.3,52,3650000,Discharging,3.3,1.9,5.5,1.9,1538,1499,,,,,unsupported
10840,36743,38217,37547,29700,1416000,3.1,52,3650000,Discharging,5.6,2.3,2.4,1.9,1327,1411,,,,,unsupported
10842,36676,37882,37346,29700,1416000,2.9,52,3651000,Discharging,2.4,4.2,2.8,2.3,1424,1419,,,,,unsupported
10845,36676,37949,37547,29700,1416000,2.8,52,3650000,Discharging,2.8,1.9,2.8,4.2,914,943,,,,,unsupported
10847,36743,37614,37413,29700,1416000,2.7,52,3638000,Discharging,2.8,2.3,2.8,2.8,1390,1442,,,,,unsupported
10849,36676,37949,37614,29700,1416000,3.2,52,3651000,Discharging,4.7,1.9,3.3,2.8,1574,1488,,,,,unsupported
10851,36609,37480,36810,29700,1800000,2.7,52,3650000,Discharging,2.8,2.3,3.3,2.8,1370,1425,,,,,unsupported
10853,36743,37882,36944,29700,1416000,2.6,52,3650000,Discharging,5.2,2.3,2.3,1.4,1279,1386,,,,,unsupported
10855,36542,37614,37279,29700,1416000,3.4,52,3650000,Discharging,4.2,1.9,1.9,3.7,1331,1413,,,,,unsupported
10858,36676,37748,37145,29700,1800000,3.6,52,3649000,Discharging,3.8,4.2,2.3,4.1,1033,995,,,,,unsupported
10860,36743,38217,37011,29700,1608000,2.9,52,3650000,Discharging,5.6,1.4,2.8,2.8,1372,1442,,,,,unsupported
10862,36207,37882,37145,29800,1416000,2.6,52,3641000,Discharging,2.8,2.3,1.4,3.3,1330,1414,,,,,unsupported
10864,36274,37815,37145,29700,1416000,2.8,52,3650000,Discharging,2.8,3.7,1.4,3.3,1461,1424,,,,,unsupported
10866,36341,37681,37346,29700,1416000,2.6,52,3650000,Discharging,3.3,2.3,2.3,3.3,1368,1406,,,,,unsupported
10868,36609,37748,37279,29700,1416000,3.3,52,3650000,Discharging,4.2,3.3,2.8,1.9,1586,1476,,,,,unsupported
10870,36341,37882,37413,29700,1416000,3.5,52,3650000,Discharging,3.3,3.3,4.6,2.3,1384,1417,,,,,unsupported
10873,36408,37681,37078,29700,1416000,2.9,52,3650000,Discharging,4.7,1.4,4.2,2.3,923,946,,,,,unsupported
10875,36140,37480,37346,29700,1800000,3.0,52,3649000,Discharging,3.8,3.7,2.8,1.9,1366,1417,,,,,unsupported
10877,36743,37748,37212,29700,1416000,3.1,52,3650000,Discharging,1.4,2.8,5.2,2.3,1302,1392,,,,,unsupported
