# fw=nextui-preflight workload=zelda start=2026-09-13 18:02:58 soak=99C prelaunch=schedutil/1800000 launch_up=35.06 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
48,24817,26224,25621,20000,1800000,1800000,100,4065000,Discharging,,,,,,,,,,
50,25219,26224,25286,20000,1608000,1800000,100,4077000,Discharging,18.5,14.8,12.6,24.3,23.2,2514,2876,,,
52,24415,26023,25487,20100,1800000,1800000,100,4076000,Discharging,17.8,15.2,9.6,30.8,15.5,2602,2936,,,
54,24750,26224,25621,20100,1416000,1800000,100,4079000,Discharging,17.6,18.8,11.3,17.6,22.1,2808,2974,,,
56,25353,26291,25420,20100,1800000,1800000,100,4076000,Discharging,18.7,21.7,15.1,14.3,24.3,2662,2911,,,
58,24683,26358,25956,20100,1800000,1800000,100,4072000,Discharging,18.8,17.3,12.6,14.4,30.5,2694,2932,,,
61,24951,26626,25956,20100,1800000,1800000,100,4071000,Discharging,18.4,27.1,17.0,15.0,14.2,1775,1947,,,
63,25420,26559,26425,20100,1800000,1800000,100,4074000,Discharging,19.0,20.1,12.2,22.6,21.4,2652,2913,,,
65,25152,26894,26157,20200,1608000,1800000,100,4073000,Discharging,18.1,16.1,11.3,18.2,26.2,2797,2968,,,
67,25621,26492,25688,20200,1416000,1800000,100,4070000,Discharging,18.5,17.8,16.9,11.1,29.2,2619,2923,,,
69,25353,26760,26157,20200,1800000,1800000,100,4074000,Discharging,18.9,14.9,10.8,20.5,28.2,2584,2926,,,
71,25621,27162,25956,20200,1800000,1800000,100,4072000,Discharging,18.9,19.1,12.7,17.8,26.0,2679,2926,,,
74,25554,26827,25621,20200,1608000,1800000,100,4073000,Discharging,19.5,18.7,18.3,21.1,20.3,1788,1979,,,
76,25956,26559,26224,20200,1608000,1800000,100,4052000,Discharging,18.4,15.8,9.7,19.6,28.5,2812,2995,,,
78,25755,27028,26559,20200,1800000,1800000,100,4072000,Discharging,18.4,21.1,9.9,17.6,25.4,2727,2964,,,
80,26157,26626,26291,20200,1608000,1800000,100,4072000,Discharging,18.7,19.4,16.0,21.1,18.3,2605,2936,,,
82,25286,26961,26291,20200,1800000,1800000,100,4070000,Discharging,18.0,20.3,11.4,15.2,25.1,2624,2920,,,
84,25487,26827,26224,20200,1608000,1800000,100,4072000,Discharging,19.2,18.3,13.6,22.2,22.3,2558,2906,,,
86,25755,26827,26559,20200,1608000,1800000,100,4071000,Discharging,18.1,21.5,10.4,21.2,18.8,2958,3068,,,
89,25889,27028,26693,20200,1800000,1800000,100,4069000,Discharging,19.9,22.2,12.9,21.0,24.1,1742,1934,,,
91,26090,27162,26358,20300,1608000,1800000,100,4067000,Discharging,17.7,21.3,16.0,19.0,14.6,2628,2940,,,
93,24951,26961,26358,20200,1608000,1800000,100,4068000,Discharging,19.4,19.0,15.8,16.9,25.2,2686,2910,,,
95,25018,26961,26291,20200,1800000,1800000,100,4069000,Discharging,19.7,16.2,9.5,18.3,34.9,2802,3007,,,
97,25688,27296,26693,20200,1608000,1800000,100,4067000,Discharging,18.7,18.7,11.3,29.8,15.3,2692,2928,,,
99,25688,27497,26492,20300,1608000,1800000,100,4070000,Discharging,19.1,15.8,14.3,12.3,33.8,2611,2920,,,
102,26358,27497,26961,20200,1608000,1800000,100,4068000,Discharging,18.1,16.5,13.6,24.1,18.7,1706,1926,,,
104,25889,27363,26760,20200,1800000,1800000,100,4068000,Discharging,19.6,24.2,13.1,26.1,14.5,2722,2951,,,
106,26559,26961,26827,20200,1608000,1800000,100,4068000,Discharging,18.4,21.9,10.0,25.4,16.4,2800,3001,,,
108,26157,27296,26894,20200,1800000,1800000,100,4068000,Discharging,19.5,13.4,19.0,14.1,30.7,2666,2952,,,
