# fw=nextui-auto workload=bloodyroar start=2026-09-13 20:18:15 soak=99C prelaunch=schedutil/1800000 launch_up=3073.89 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
3087,36609,37614,36944,27500,1800000,1800000,84,3925000,Discharging,,,,,,,,,,
3089,37614,38485,37480,27500,1800000,1800000,84,3925000,Discharging,21.6,21.9,16.5,22.8,25.2,7058,10554,,,
3092,37145,38686,38016,27500,1800000,1800000,84,3923000,Discharging,25.1,15.0,12.4,35.7,36.5,5070,8152,,,
3094,37346,38217,38150,27500,1800000,1800000,84,3915000,Discharging,28.1,26.3,22.5,40.8,22.6,6380,9287,,,
3096,37480,38418,38217,27500,1800000,1800000,84,3925000,Discharging,27.7,21.4,21.3,31.7,35.5,3786,4426,,,
3099,37279,38016,37346,27500,1608000,1800000,84,3925000,Discharging,20.4,15.3,11.6,31.8,22.6,2364,3027,,,
3101,36877,38150,37078,27500,1800000,1800000,84,3920000,Discharging,21.3,15.1,15.9,30.5,24.1,3669,4638,,,
3103,37145,37949,37815,27500,1800000,1800000,84,3927000,Discharging,20.2,21.4,16.7,21.9,20.6,3554,4472,,,
3105,36341,37815,37614,27500,1608000,1800000,84,3924000,Discharging,20.4,12.9,15.7,27.5,26.4,3707,4764,,,
3107,36810,37815,37480,27500,1800000,1800000,84,3924000,Discharging,21.6,17.8,15.9,27.4,24.9,4054,5099,,,
3110,37078,37949,37748,27500,1800000,1800000,84,3924000,Discharging,20.7,16.3,16.0,31.3,18.9,2381,2990,,,
3112,36877,38284,36609,27500,1800000,1800000,84,3897000,Discharging,21.1,18.4,13.4,21.7,31.2,3584,4586,,,
3114,37078,38217,37078,27500,1608000,1800000,84,3925000,Discharging,20.0,17.8,16.0,29.2,16.7,3702,4684,,,
3116,36676,37614,37614,27500,1800000,1800000,84,3924000,Discharging,21.1,16.8,13.3,21.6,32.9,3705,4500,,,
3118,36676,37815,37547,27500,1800000,1800000,84,3924000,Discharging,20.5,15.0,18.2,22.8,25.5,3557,4372,,,
3121,36810,37882,37078,27500,1800000,1800000,84,3923000,Discharging,20.1,16.7,14.8,25.6,23.5,2350,2919,,,
3123,36408,38016,37145,27500,1800000,1800000,84,3920000,Discharging,20.6,19.7,13.2,24.3,25.2,3575,4451,,,
3125,36676,38016,37413,27500,1800000,1800000,84,3926000,Discharging,20.5,14.4,13.1,13.4,40.1,3405,4382,,,
3127,36542,38351,37413,27500,1800000,1800000,84,3925000,Discharging,20.6,17.4,17.1,21.8,26.9,3710,4562,,,
3129,37011,38217,37614,27500,1800000,1800000,84,3922000,Discharging,19.8,17.6,16.1,23.4,22.2,3487,4436,,,
3132,36609,37882,37078,27500,1416000,1800000,84,3923000,Discharging,21.5,22.3,20.1,23.5,20.5,2393,2983,,,
3134,36810,37882,37212,27500,1800000,1800000,84,3924000,Discharging,19.9,13.7,18.0,19.7,27.2,3484,4450,,,
3136,37078,37815,37078,27600,1800000,1800000,84,3918000,Discharging,20.8,20.7,18.3,22.1,22.7,3632,4594,,,
3138,36810,37681,37212,27500,1608000,1800000,84,3925000,Discharging,20.9,18.7,16.7,23.1,24.8,3716,4533,,,
3140,36609,37815,37145,27500,1800000,1800000,84,3924000,Discharging,19.9,15.8,13.4,22.7,27.6,3746,4866,,,
3143,36743,37949,37547,27500,1800000,1800000,84,3925000,Discharging,21.8,19.0,12.6,29.5,26.7,2370,2979,,,
3145,36743,37949,37413,27500,1800000,1800000,84,3927000,Discharging,20.6,12.2,14.3,26.9,28.2,3657,4606,,,
3147,36877,38150,37949,27500,1800000,1800000,84,3901000,Discharging,22.6,17.9,15.0,13.6,43.2,3832,4736,,,
3149,38083,38485,37815,27500,1800000,1800000,84,3920000,Discharging,25.1,14.5,19.1,34.1,31.7,3916,4674,,,
3151,37346,38418,37815,27500,1800000,1800000,84,3921000,Discharging,30.1,19.0,18.9,37.6,45.5,3645,4420,,,
3154,37547,38485,38150,27500,1800000,1800000,84,3918000,Discharging,29.4,17.0,17.7,49.1,33.6,2482,3032,,,
3156,37614,38217,38552,27500,1800000,1800000,84,3922000,Discharging,24.5,21.0,20.4,29.1,26.5,3850,4655,,,
3158,37346,38619,37681,27500,1800000,1800000,84,3909000,Discharging,21.9,19.4,13.1,33.8,21.9,4186,5050,,,
3160,37547,38418,37614,27500,1800000,1800000,84,3925000,Discharging,21.8,22.3,15.3,25.6,23.7,3590,4443,,,
3162,39222,38351,38016,27500,1800000,1800000,84,3924000,Discharging,27.4,27.5,24.8,33.5,24.2,4036,4904,,,
3165,40964,39892,40763,27600,1800000,1800000,84,3905000,Discharging,34.9,24.7,28.8,45.5,40.3,3326,3599,,,
3167,39423,39959,40026,27600,1800000,1800000,84,3913000,Discharging,36.4,23.1,29.6,40.5,52.5,4383,4964,,,
3169,39356,39423,39423,27600,1800000,1800000,84,3893000,Discharging,36.2,24.2,30.9,38.9,50.9,4208,4898,,,
3171,39021,39624,39423,27600,1800000,1800000,84,3913000,Discharging,36.4,17.5,54.0,21.7,50.9,3828,4490,,,
3174,40160,39758,39959,27600,1800000,1800000,84,3906000,Discharging,35.2,16.6,24.0,49.5,49.8,3129,3355,,,
3176,39959,40093,39758,27600,1800000,1800000,84,3913000,Discharging,34.7,17.4,51.4,29.2,41.3,4643,5215,,,
3178,40294,39959,40428,27600,1800000,1800000,84,3909000,Discharging,33.3,16.8,26.6,40.5,48.2,4778,5243,,,
3180,39021,39758,39222,27600,1800000,1800000,84,3885000,Discharging,34.9,22.6,23.1,44.1,49.5,3628,4226,,,
3182,39691,39624,39825,27600,1608000,1800000,84,3906000,Discharging,33.5,31.1,33.5,34.0,35.5,4198,4594,,,
3184,39088,39624,39155,27600,1800000,1800000,84,3917000,Discharging,35.4,24.9,52.8,27.8,35.5,3426,4045,,,
3187,39825,39557,39222,27600,1800000,1800000,84,3911000,Discharging,36.8,36.4,32.7,32.7,45.8,2543,2848,,,
3189,41433,40428,40897,27700,1608000,1800000,84,3898000,Discharging,35.2,26.4,41.4,31.9,41.0,4524,4776,,,
3191,39289,39691,39892,27600,1800000,1800000,84,3911000,Discharging,34.7,38.2,27.0,30.8,42.6,4216,4486,,,
3193,38485,39155,39825,27700,1800000,1800000,84,3897000,Discharging,30.2,19.8,38.9,28.2,34.1,3712,4106,,,
3195,38083,38820,38552,27600,1608000,1800000,84,3918000,Discharging,32.0,21.1,39.0,27.2,40.1,3094,3556,,,
3198,37949,38619,38351,27600,1800000,1800000,84,3919000,Discharging,33.0,30.5,41.0,16.3,43.3,2002,2398,,,
3200,37882,38954,38485,27600,1800000,1800000,84,3919000,Discharging,32.6,31.8,35.3,35.3,28.6,3132,3632,,,
3202,38284,38753,38552,27600,1800000,1800000,84,3915000,Discharging,33.1,29.8,31.2,38.9,32.2,3246,3824,,,
3204,38016,38820,38016,27600,1800000,1800000,84,3917000,Discharging,32.8,36.4,30.0,33.0,31.3,3181,3668,,,
3206,37949,38552,38418,27600,1800000,1800000,84,3913000,Discharging,32.2,36.8,42.1,22.2,28.4,3170,3686,,,
3208,38351,39624,38954,27600,1800000,1800000,84,3916000,Discharging,32.1,28.3,30.8,27.6,41.5,3640,4111,,,
3211,38150,38954,38954,27600,1800000,1800000,84,3917000,Discharging,32.6,30.8,27.7,28.8,42.1,2133,2550,,,
3213,38083,38619,38485,27600,1800000,1800000,84,3913000,Discharging,32.7,18.2,38.2,32.5,42.2,3198,3840,,,
3215,37815,38284,38686,27600,1800000,1800000,84,3920000,Discharging,31.5,30.8,45.8,25.6,23.7,3281,3772,,,
