# fw=nextui-auto workload=gradius start=2026-09-13 19:37:00 soak=99C prelaunch=schedutil/1800000 launch_up=598.53 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
611,32589,33259,32589,22300,1800000,1800000,92,3999000,Discharging,,,,,,,,,,
613,32723,33058,32857,22300,1800000,1800000,92,3996000,Discharging,21.7,14.2,13.8,38.2,20.3,3670,3306,,,
615,32589,33594,32656,22300,1608000,1800000,92,3992000,Discharging,22.1,11.8,10.8,42.3,23.8,3714,3340,,,
618,33192,32924,32723,22300,1800000,1800000,92,3999000,Discharging,21.0,11.6,16.6,35.5,19.5,2510,2234,,,
620,32455,33460,33460,22300,1800000,1800000,92,4000000,Discharging,21.4,14.6,14.2,36.3,20.4,3642,3278,,,
622,33192,33259,32790,22300,1800000,1800000,92,3996000,Discharging,21.8,8.6,8.5,36.0,34.1,3620,3334,,,
624,33058,33058,33125,22300,1800000,1800000,92,3996000,Discharging,22.1,11.0,12.1,11.7,53.1,3528,3309,,,
626,32991,33259,32656,22300,1800000,1800000,92,3993000,Discharging,21.8,12.8,10.0,31.6,33.5,3820,3358,,,
628,32790,33058,33259,22300,1800000,1800000,92,3996000,Discharging,22.5,13.3,10.3,19.8,46.3,3761,3372,,,
631,32656,33728,33058,22300,1800000,1800000,92,3997000,Discharging,22.7,10.9,10.5,26.5,43.4,2400,2175,,,
633,32723,33393,33125,22400,1800000,1800000,92,3999000,Discharging,21.8,16.5,10.8,30.2,29.3,3657,3282,,,
635,33259,33661,33326,22300,1800000,1800000,92,3994000,Discharging,21.7,16.5,12.9,23.9,33.5,3578,3251,,,
637,33058,33460,33527,22400,1800000,1800000,92,3999000,Discharging,22.3,13.0,8.5,22.5,43.9,3752,3324,,,
639,33058,33527,33259,22400,1800000,1800000,92,3995000,Discharging,20.8,11.3,12.9,28.2,31.1,3754,3366,,,
641,32790,33661,33259,22400,1800000,1800000,92,3992000,Discharging,22.3,12.9,9.8,29.4,37.1,3728,3328,,,
643,32723,33460,33058,22400,1800000,1800000,92,3998000,Discharging,21.1,9.6,12.4,26.9,35.7,3502,3268,,,
646,33259,33460,33125,22400,1800000,1800000,92,3997000,Discharging,21.4,16.6,6.7,23.5,39.0,2465,2194,,,
648,33125,33594,33125,22400,1608000,1800000,92,3996000,Discharging,21.8,11.8,11.3,30.2,32.2,3508,3236,,,
650,32455,33661,33326,22400,1800000,1800000,92,3994000,Discharging,22.4,11.5,14.4,29.8,34.1,3766,3365,,,
652,32924,33527,33326,22400,1608000,1800000,92,3994000,Discharging,22.6,10.9,8.5,16.6,53.9,3610,3310,,,
654,33259,33661,33326,22400,1800000,1800000,92,3995000,Discharging,21.6,8.2,8.5,31.6,36.6,3714,3293,,,
656,33862,33326,33393,22400,1800000,1800000,92,3994000,Discharging,22.0,16.7,15.9,19.8,36.0,3765,3334,,,
658,33125,33393,33527,22400,1800000,1800000,92,3996000,Discharging,21.7,13.5,10.0,22.4,40.7,3702,3318,,,
661,33192,33862,33259,22400,1608000,1800000,92,3998000,Discharging,22.5,13.8,9.5,11.7,54.9,2478,2208,,,
663,32321,33594,32589,22400,1800000,1800000,92,3998000,Discharging,21.5,10.0,8.8,10.3,56.8,3036,3120,,,
665,32321,33058,32924,22500,1800000,1800000,92,3999000,Discharging,21.8,9.9,8.1,31.8,37.4,2887,3034,,,
667,32321,33594,32924,22500,1800000,1800000,92,3997000,Discharging,22.2,10.0,13.7,22.4,41.3,2909,3067,,,
669,33259,33728,33192,22500,1800000,1800000,92,3995000,Discharging,21.7,13.9,16.0,27.7,30.0,3608,3320,,,
671,32991,33996,33728,22500,1800000,1800000,92,3997000,Discharging,21.7,9.5,7.7,27.0,42.9,3688,3330,,,
673,33527,33393,33192,22500,1800000,1800000,92,3994000,Discharging,22.1,10.6,11.9,21.6,41.9,3740,3298,,,
676,33125,33996,33594,22500,1800000,1800000,92,3997000,Discharging,21.8,17.5,13.0,12.3,43.9,2544,2218,,,
678,33527,33862,33192,22500,1800000,1800000,92,3996000,Discharging,21.6,10.5,15.2,33.8,27.0,3628,3294,,,
680,33326,33460,33326,22500,1800000,1800000,92,3996000,Discharging,21.9,15.3,10.0,28.5,34.4,3798,3350,,,
682,33393,33661,33527,22500,1800000,1800000,92,3994000,Discharging,22.1,10.5,7.5,37.7,31.9,3636,3286,,,
684,33326,34063,33259,22600,1800000,1800000,92,3997000,Discharging,21.6,18.6,11.4,33.6,22.1,3627,3264,,,
686,33527,33795,33728,22500,1800000,1800000,92,3994000,Discharging,21.7,10.9,22.2,27.2,27.0,3746,3335,,,
689,33594,33929,33795,22600,816000,1800000,92,3996000,Discharging,21.6,9.0,11.2,46.0,20.2,2481,2327,,,
691,33125,34197,33728,22600,1800000,1800000,92,3995000,Discharging,22.0,10.1,15.4,41.0,21.3,3952,3398,,,
693,33393,33929,33795,22600,1800000,1800000,92,3995000,Discharging,22.1,10.3,12.7,29.9,35.2,3748,3344,,,
695,33326,33929,33728,22600,1800000,1800000,92,3995000,Discharging,21.5,10.4,8.0,40.4,27.4,3695,3311,,,
697,33393,33996,33125,22600,1800000,1800000,92,3994000,Discharging,21.7,13.5,15.0,42.1,15.3,3678,3281,,,
699,33460,33929,33661,22600,1800000,1800000,92,3996000,Discharging,22.1,15.2,4.7,47.2,22.3,3830,3351,,,
701,34130,34197,33728,22600,1800000,1800000,92,3993000,Discharging,21.2,7.7,12.8,36.6,26.1,3652,3334,,,
704,33527,34063,33594,22600,1800000,1800000,92,3994000,Discharging,21.7,9.5,12.7,29.4,35.8,2470,2237,,,
706,33460,33862,33393,22600,1800000,1800000,92,3995000,Discharging,22.7,11.3,17.9,43.5,17.3,3618,3283,,,
708,33661,34063,33594,22600,1800000,1800000,92,3995000,Discharging,21.8,10.4,16.3,43.9,15.8,3596,3306,,,
710,33259,33728,33460,22600,1800000,1800000,92,3995000,Discharging,21.7,10.0,10.7,46.0,20.3,3780,3390,,,
712,33125,33996,33192,22600,1800000,1800000,92,3996000,Discharging,22.3,13.0,19.2,34.7,21.3,3456,3196,,,
714,33326,34264,33192,22700,1608000,1800000,92,3995000,Discharging,21.7,14.6,15.0,44.0,13.2,3658,3294,,,
716,33795,34197,33929,22700,1800000,1800000,92,3993000,Discharging,22.1,13.2,14.9,36.4,24.3,3766,3358,,,
719,33728,34398,33728,22700,1608000,1800000,92,3991000,Discharging,22.0,12.9,7.5,39.4,27.0,2522,2219,,,
721,34398,34130,33929,22700,1800000,1800000,92,3994000,Discharging,22.2,16.6,8.5,37.7,26.5,3850,3382,,,
723,32991,33594,32991,22700,1800000,1800000,92,3999000,Discharging,21.6,10.9,9.8,46.9,19.1,2972,3069,,,
725,33058,33661,32723,22700,1800000,1800000,92,3997000,Discharging,21.6,10.4,15.0,38.2,23.1,2908,3062,,,
727,32589,33728,33125,22700,1800000,1800000,92,3998000,Discharging,21.9,10.0,8.1,47.4,21.9,2961,3044,,,
729,33259,33862,33594,22700,1800000,1800000,92,3997000,Discharging,21.6,11.0,11.3,33.6,30.0,3488,3250,,,
732,33795,34063,33862,22700,1416000,1800000,92,3994000,Discharging,22.0,16.6,13.6,40.3,17.8,2613,2278,,,
734,33996,34331,33996,22700,1800000,1800000,92,3993000,Discharging,21.9,10.5,8.0,37.4,30.3,3768,3333,,,
736,33460,34666,34264,22700,1800000,1800000,92,3994000,Discharging,21.5,12.7,6.2,30.8,36.2,3698,3314,,,
738,33795,34398,33460,22700,1800000,1800000,92,3995000,Discharging,21.2,12.1,9.9,42.3,21.2,3698,3318,,,
740,33527,34197,33728,22700,1800000,1800000,92,3994000,Discharging,22.3,9.9,8.9,54.2,15.5,3792,3416,,,
742,33661,34398,33728,22800,1800000,1800000,92,3993000,Discharging,21.5,11.4,6.7,40.1,28.0,3660,3318,,,
744,33996,34197,33862,22700,1608000,1800000,92,3996000,Discharging,21.8,15.2,8.0,37.7,26.3,3677,3316,,,
747,34599,34197,33929,22800,1800000,1800000,92,3993000,Discharging,21.9,16.5,9.9,27.2,34.0,2460,2196,,,
749,33862,34398,34331,22800,1800000,1800000,92,3997000,Discharging,22.7,9.4,11.3,56.2,12.2,3668,3332,,,
751,34197,34331,34197,22800,1800000,1800000,92,3989000,Discharging,21.7,11.1,8.4,39.6,28.2,3828,3364,,,
753,34264,34264,34264,22800,1800000,1800000,92,3994000,Discharging,22.0,12.3,12.3,46.1,16.7,3716,3323,,,
755,33326,33594,33929,22800,1800000,1800000,92,3994000,Discharging,21.8,11.3,5.7,46.3,23.7,3722,3348,,,
757,33862,34264,34197,22800,1800000,1800000,92,3991000,Discharging,22.3,13.4,10.4,46.0,18.7,3703,3290,,,
759,33661,34264,33929,22800,1800000,1800000,92,3992000,Discharging,21.1,12.4,15.9,34.7,21.4,3651,3312,,,
762,33728,34264,33929,22800,1800000,1800000,92,3996000,Discharging,22.3,12.7,10.8,46.4,19.7,2488,2212,,,
764,33862,33862,33795,22800,1800000,1800000,92,3995000,Discharging,21.9,12.0,8.0,42.7,23.6,3690,3315,,,
766,33527,34264,33460,22800,1800000,1800000,92,3993000,Discharging,22.3,9.9,13.1,43.4,23.9,3668,3304,,,
768,33862,33929,33929,22800,1800000,1800000,92,3990000,Discharging,22.2,12.3,8.5,47.9,18.9,3578,3270,,,
770,33929,34666,33996,22800,1608000,1800000,92,3994000,Discharging,21.4,14.3,14.0,30.7,26.3,3706,3306,,,
772,34465,34398,34264,22900,1800000,1800000,92,3994000,Discharging,22.4,16.7,17.7,34.4,21.2,3744,3344,,,
774,34130,34465,34197,22900,1800000,1800000,92,3994000,Discharging,21.7,10.0,10.4,37.2,28.8,3606,3308,,,
777,34532,34264,33929,22900,1800000,1800000,92,3993000,Discharging,22.4,13.9,8.6,23.0,43.1,2362,2213,,,
779,33661,34264,34197,22900,1800000,1800000,92,3996000,Discharging,22.2,9.2,12.7,15.0,50.7,3478,3299,,,
781,33929,34398,34264,22900,1800000,1800000,92,3996000,Discharging,22.1,9.6,14.7,8.9,55.7,3402,3228,,,
783,33058,33862,33527,22900,1800000,1800000,92,3996000,Discharging,21.8,14.2,12.7,25.0,35.0,2925,3096,,,
785,33125,33594,33192,22900,1608000,1800000,92,3996000,Discharging,22.1,9.0,11.2,23.6,44.5,2684,2983,,,
787,33125,33929,33728,22900,1800000,1800000,92,3995000,Discharging,22.5,10.5,9.0,27.2,42.7,2756,3014,,,
790,33661,34264,33929,22900,1800000,1800000,92,3996000,Discharging,21.9,10.0,8.6,18.9,49.8,2147,2136,,,
792,33795,34130,34197,22900,1800000,1800000,92,3994000,Discharging,22.6,9.7,7.1,26.5,46.0,3586,3306,,,
794,33862,34666,34666,22900,1800000,1800000,92,3994000,Discharging,21.7,8.1,10.5,37.4,31.5,3731,3331,,,
796,34264,34465,34733,22900,1800000,1800000,92,3993000,Discharging,22.0,19.4,6.2,28.0,33.0,3656,3313,,,
798,34063,34465,34398,23000,1800000,1800000,92,3993000,Discharging,22.1,10.5,6.2,22.2,49.3,3563,3218,,,
800,34197,34398,34331,23000,1800000,1800000,92,3992000,Discharging,22.3,9.5,9.5,27.0,42.8,3580,3252,,,
802,34398,34264,34063,23000,1800000,1800000,92,3991000,Discharging,22.3,8.1,16.0,24.2,40.4,3808,3350,,,
805,33661,34666,34197,23000,1800000,1800000,92,3991000,Discharging,21.8,13.9,8.5,29.0,35.7,2448,2186,,,
807,34130,34264,33929,23000,1800000,1800000,92,3990000,Discharging,22.6,12.0,11.3,21.4,45.1,3709,3315,,,
809,34264,34264,34331,23000,1800000,1800000,92,3994000,Discharging,21.6,9.9,8.1,29.6,39.3,3530,3244,,,
811,34264,34733,34599,23000,1800000,1800000,92,3993000,Discharging,22.0,15.6,9.5,15.5,46.7,3636,3272,,,
813,34063,34331,34666,23000,1800000,1800000,92,3995000,Discharging,22.3,11.5,7.5,13.3,56.3,3506,3318,,,
815,34331,34733,34800,23000,1800000,1800000,92,3991000,Discharging,21.5,10.4,8.1,33.2,34.6,3640,3332,,,
817,35135,34532,34733,23000,1800000,1800000,92,3991000,Discharging,22.0,12.4,15.2,35.2,24.9,3664,3290,,,
820,34599,34532,34867,23100,1800000,1800000,91,3995000,Discharging,22.3,13.0,10.5,36.7,28.2,2569,2434,,,
822,34398,34331,34331,23000,1800000,1800000,91,3995000,Discharging,22.0,13.4,10.4,41.4,23.1,3742,3327,,,
824,34130,34398,34197,23100,1800000,1800000,91,3989000,Discharging,22.1,10.5,10.7,53.5,13.6,3786,3368,,,
826,33862,34331,34331,23000,1800000,1800000,91,3993000,Discharging,21.6,13.3,10.4,47.7,13.9,3720,3343,,,
828,34063,34465,34599,23100,1800000,1800000,91,3994000,Discharging,21.4,14.5,14.2,29.2,27.4,3714,3329,,,
830,34197,35403,34599,23100,1800000,1800000,91,3993000,Discharging,21.9,10.0,16.4,37.6,23.3,3702,3312,,,
832,34331,34934,34331,23100,1800000,1800000,91,3995000,Discharging,22.0,11.8,14.8,34.3,27.1,3842,3358,,,
835,34130,34666,34398,23100,1800000,1800000,91,3985000,Discharging,21.3,15.3,14.3,24.7,30.7,2510,2210,,,
837,34398,34666,34532,23100,1800000,1800000,91,3993000,Discharging,22.1,15.0,8.5,42.9,21.7,3698,3299,,,
839,34063,34867,34398,23100,1800000,1800000,91,3992000,Discharging,21.5,8.6,9.0,37.4,30.2,3632,3277,,,
841,34197,34599,34733,23100,1800000,1800000,91,3991000,Discharging,22.3,9.0,7.0,50.0,22.9,3708,3344,,,
843,33527,34398,33996,23100,1800000,1800000,91,3995000,Discharging,21.8,11.4,13.1,47.1,16.0,3032,3108,,,
845,33326,34465,33929,23100,1800000,1800000,91,3995000,Discharging,21.7,8.1,8.5,36.7,33.0,2904,3036,,,
