# fw=nextui-auto workload=mariokart start=2026-09-13 19:53:29 soak=99C prelaunch=schedutil/1800000 launch_up=1587.86 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
1601,34867,35604,35068,25300,1800000,1800000,89,3971000,Discharging,,,,,,,,,,
1603,34934,36073,35135,25300,1800000,1800000,89,3973000,Discharging,19.5,12.7,11.2,13.6,41.3,2675,3016,,,
1605,34800,35872,34867,25300,1800000,1800000,89,3972000,Discharging,21.3,14.1,5.1,22.2,43.1,2656,2986,,,
1607,35001,36073,35470,25300,1800000,1800000,89,3974000,Discharging,21.9,13.8,7.8,13.1,52.7,2620,2864,,,
1609,34465,35738,35269,25400,1800000,1800000,89,3961000,Discharging,20.2,16.4,7.9,18.3,37.6,2708,3016,,,
1612,34599,36073,35671,25400,1608000,1800000,89,3973000,Discharging,20.7,14.0,10.7,12.8,45.1,1874,2079,,,
1614,35001,36073,35202,25400,1800000,1800000,89,3973000,Discharging,21.1,13.1,8.7,19.3,43.1,2812,3254,,,
1616,34733,36207,35604,25400,1800000,1800000,89,3972000,Discharging,22.1,20.1,7.9,24.8,35.6,2656,3014,,,
1618,34733,35671,35336,25400,1800000,1800000,89,3972000,Discharging,21.3,13.6,7.0,6.5,56.9,2668,3052,,,
1620,34398,36006,35336,25400,1608000,1800000,89,3972000,Discharging,20.8,14.4,8.7,18.1,42.4,2712,3158,,,
1623,34867,36207,35470,25400,1608000,1800000,89,3972000,Discharging,20.7,15.9,10.2,13.0,43.1,1933,2157,,,
1625,34934,36140,35202,25400,1800000,1800000,89,3972000,Discharging,19.9,17.9,7.0,15.2,39.9,2872,3239,,,
1627,35001,36006,34934,25400,1800000,1800000,89,3972000,Discharging,20.9,14.0,10.1,32.4,26.6,2631,3011,,,
1629,34867,35738,35403,25400,1800000,1800000,89,3972000,Discharging,20.5,14.5,11.6,6.8,48.2,2862,3342,,,
1631,34867,35939,35403,25400,1800000,1800000,89,3972000,Discharging,21.5,15.4,8.9,12.9,48.6,2904,3186,,,
1633,34666,36073,35403,25400,1416000,1800000,89,3972000,Discharging,21.0,17.5,10.6,21.3,35.5,2641,3014,,,
1636,34733,36408,35269,25400,1800000,1800000,89,3972000,Discharging,20.2,14.6,12.7,11.3,41.0,1800,2084,,,
1638,34666,35939,35470,25400,1608000,1800000,89,3972000,Discharging,21.0,20.5,6.9,18.1,39.9,2738,3032,,,
1640,34800,36542,35470,25400,1608000,1800000,89,3972000,Discharging,21.5,16.7,9.2,37.9,20.9,2694,3148,,,
1642,34934,35872,35671,25400,1800000,1800000,89,3971000,Discharging,21.3,15.0,10.1,12.6,48.4,2898,3214,,,
1644,34867,35872,35403,25400,1608000,1800000,89,3962000,Discharging,20.4,19.2,7.4,36.1,18.1,2628,3020,,,
1647,34934,35805,35269,25400,1800000,1800000,89,3972000,Discharging,21.2,15.0,9.7,11.5,48.4,1793,2055,,,
1649,34934,36006,35202,25400,1608000,1800000,89,3973000,Discharging,20.0,16.4,5.6,38.2,19.3,2628,2916,,,
1651,34733,35805,35068,25400,1800000,1800000,89,3971000,Discharging,20.8,16.8,20.6,14.0,32.4,2723,3116,,,
1653,35135,36207,35403,25400,1800000,1800000,89,3972000,Discharging,20.8,21.7,7.9,37.0,16.4,2939,3236,,,
1655,35336,35872,35403,25400,1416000,1800000,89,3971000,Discharging,21.4,12.7,12.0,6.1,54.1,2648,3046,,,
1658,34867,36073,35738,25500,1800000,1800000,89,3971000,Discharging,21.5,19.4,10.2,33.2,22.2,1843,2107,,,
1660,34800,36475,35202,25500,1800000,1800000,89,3972000,Discharging,19.9,16.4,10.8,20.2,32.1,2704,3118,,,
1662,34934,36207,35202,25500,1416000,1800000,89,3972000,Discharging,21.7,13.0,10.2,21.0,43.0,2942,3303,,,
1664,34465,36073,35403,25400,1608000,1800000,89,3971000,Discharging,20.8,15.3,4.7,17.2,45.6,2601,3020,,,
