# fw=nextui-auto workload=sf2 start=2026-09-13 20:01:45 soak=99C prelaunch=schedutil/1800000 launch_up=2083.48 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
2096,35872,37011,36408,26300,1800000,1800000,88,3962000,Discharging,,,,,,,,,,
2098,35872,36609,36341,26300,1800000,1800000,88,3961000,Discharging,20.6,8.7,13.1,41.7,19.0,2592,2822,,,
2100,36140,36944,36542,26300,1800000,1800000,88,3959000,Discharging,21.3,15.7,11.7,28.5,29.6,2744,2876,,,
2103,36140,37346,36609,26300,1800000,1800000,88,3960000,Discharging,20.4,8.6,8.6,38.6,24.6,1923,1984,,,
2105,35939,36944,36475,26300,1800000,1800000,87,3960000,Discharging,21.1,13.6,9.4,31.5,29.6,2781,2940,,,
2107,36140,37346,36609,26300,1800000,1800000,87,3959000,Discharging,21.5,18.5,15.3,29.5,23.3,3024,3294,,,
2109,36006,37413,36006,26300,1800000,1800000,87,3959000,Discharging,21.3,12.2,11.2,39.9,22.0,2602,2862,,,
2111,36274,37279,36609,26300,1800000,1800000,87,3958000,Discharging,21.4,17.1,21.0,23.3,23.9,2718,2894,,,
2113,36207,37078,36810,26300,1800000,1800000,87,3960000,Discharging,19.7,11.4,18.3,31.0,17.5,3006,3014,,,
2115,36341,36877,36408,26400,1800000,1800000,87,3957000,Discharging,21.6,14.3,16.0,43.0,12.8,2733,2928,,,
2118,36475,37212,36743,26300,1800000,1800000,87,3956000,Discharging,21.3,14.1,16.9,37.2,17.2,1787,1924,,,
2120,36542,36944,36810,26300,1800000,1800000,87,3959000,Discharging,20.8,17.5,12.7,28.2,24.8,2724,2899,,,
