# fw=nextui-auto workload=sonic start=2026-09-13 19:45:15 soak=99C prelaunch=schedutil/1800000 launch_up=1093.17 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
1106,33594,34934,34666,24000,1608000,1800000,91,3986000,Discharging,,,,,,,,,,
1108,34130,35001,34398,24000,1800000,1800000,91,3986000,Discharging,20.7,12.5,12.8,29.0,28.5,3138,3768,,,
1110,34465,35001,34867,24000,1800000,1800000,91,3984000,Discharging,21.2,12.6,12.0,19.4,40.1,3308,3832,,,
1112,33862,34934,34398,24000,1800000,1800000,91,3991000,Discharging,21.0,17.2,10.4,29.4,26.7,3237,3773,,,
1114,33929,35202,33929,24000,1800000,1800000,91,3991000,Discharging,21.3,21.3,10.3,16.7,36.4,3202,3741,,,
1117,33929,35269,34465,24100,1800000,1800000,90,3985000,Discharging,21.3,15.5,12.3,31.3,25.8,2267,2779,,,
1119,34063,35135,34398,24100,1800000,1800000,90,3987000,Discharging,20.5,13.3,15.4,28.6,25.3,3245,3820,,,
1121,34197,35202,34666,24100,1608000,1800000,90,3987000,Discharging,21.6,17.6,16.9,31.0,20.9,3357,3848,,,
1123,34398,35202,34398,24100,1800000,1800000,90,3986000,Discharging,21.1,14.6,16.8,24.8,27.3,3171,3790,,,
1125,34264,35068,34331,24100,1800000,1800000,90,3986000,Discharging,21.2,20.4,11.8,23.0,29.2,3290,3820,,,
1127,33125,35470,34130,24100,1800000,1800000,90,3986000,Discharging,21.9,17.5,11.7,27.3,31.2,3210,3741,,,
1129,34063,34532,34666,24100,1800000,1800000,90,3986000,Discharging,20.7,15.3,11.3,30.8,26.1,3358,3842,,,
1132,34197,35001,34666,24100,1800000,1800000,90,3986000,Discharging,21.3,11.4,10.5,17.7,44.7,2110,2525,,,
1134,34264,35135,34666,24100,1800000,1800000,90,3986000,Discharging,20.7,16.3,15.0,17.1,33.5,3190,3764,,,
1136,33795,35068,34197,24100,1416000,1800000,90,3985000,Discharging,21.3,14.8,11.0,24.9,34.3,3242,3784,,,
1138,34264,34800,34666,24100,1800000,1800000,90,3984000,Discharging,21.1,14.2,10.7,31.1,28.6,3178,3778,,,
1140,34465,34800,34532,24100,1608000,1800000,90,3984000,Discharging,21.1,15.2,15.0,30.2,24.1,3402,3866,,,
1142,34264,35001,34666,24100,1800000,1800000,90,3985000,Discharging,20.4,21.4,14.5,18.9,26.8,3201,3806,,,
1145,33862,34800,34934,24100,1800000,1800000,90,3968000,Discharging,21.1,12.9,9.0,24.1,37.7,2152,2540,,,
1147,33594,35068,34532,24100,1800000,1800000,90,3983000,Discharging,19.5,14.8,17.1,26.6,20.4,3155,3723,,,
1149,33996,34800,34331,24100,1800000,1800000,90,3983000,Discharging,20.1,21.1,15.2,25.2,18.5,3158,3703,,,
1151,34465,34934,34800,24100,1800000,1800000,90,3990000,Discharging,19.5,17.0,11.8,21.8,27.5,3390,3794,,,
1153,34130,35336,34465,24200,1800000,1800000,90,3987000,Discharging,20.5,10.8,9.4,17.9,43.3,3121,3732,,,
1155,33661,34800,34867,24100,1800000,1800000,90,3986000,Discharging,22.0,22.0,15.2,29.0,20.9,3224,3801,,,
1157,33996,34934,34733,24200,1800000,1800000,90,3985000,Discharging,20.0,16.2,8.6,24.5,30.8,3120,3764,,,
1160,33929,35135,34331,24200,1800000,1800000,90,3986000,Discharging,20.7,18.4,13.5,23.7,27.3,2121,2499,,,
1162,34197,35135,34800,24100,1800000,1800000,90,3990000,Discharging,20.7,13.9,16.0,29.6,23.2,3332,3805,,,
1164,34130,34867,34666,24200,1800000,1800000,90,3984000,Discharging,21.3,18.2,8.6,26.5,31.3,3120,3718,,,
1166,34532,35403,34465,24200,1800000,1800000,90,3982000,Discharging,21.9,17.1,11.8,28.4,30.0,3152,3755,,,
1168,34264,35202,34398,24200,1800000,1800000,90,3986000,Discharging,20.0,20.4,12.8,18.8,28.4,3234,3796,,,
1170,33862,35269,34800,24200,1800000,1800000,90,3986000,Discharging,21.2,13.5,11.0,26.6,33.8,3312,3803,,,
1172,33862,34800,34398,24200,1800000,1800000,90,3985000,Discharging,20.7,17.5,13.2,24.6,27.4,3122,3772,,,
1175,34264,34867,34398,24200,1608000,1800000,90,3984000,Discharging,20.4,11.0,12.0,21.4,37.0,2154,2550,,,
1177,33594,35001,34599,24200,1800000,1800000,90,3984000,Discharging,21.3,12.7,12.3,38.9,20.1,3142,3798,,,
1179,34063,35537,34800,24200,1608000,1800000,90,3985000,Discharging,21.3,17.7,9.5,22.4,34.9,3208,3772,,,
1181,34666,34934,35135,24200,1800000,1800000,90,3985000,Discharging,21.2,10.5,8.5,28.4,37.8,3403,3866,,,
1183,34063,34934,34465,24200,1800000,1800000,90,3985000,Discharging,21.0,11.7,9.1,36.4,26.5,3111,3738,,,
1185,34197,35269,34733,24200,1800000,1800000,90,3984000,Discharging,21.3,22.0,11.4,18.6,32.7,3208,3784,,,
1188,33929,35537,34800,24200,1416000,1800000,90,3984000,Discharging,21.3,13.7,11.8,39.8,19.2,2081,2507,,,
1190,34398,35001,35001,24300,1800000,1800000,90,3983000,Discharging,20.9,11.2,15.0,22.9,34.3,3220,3792,,,
1192,34398,34934,34800,24300,1800000,1800000,90,3983000,Discharging,20.8,14.1,11.3,20.1,37.1,3391,3872,,,
1194,34465,35403,35001,24200,1800000,1800000,90,3987000,Discharging,20.6,12.1,12.6,22.9,35.0,3165,3774,,,
1196,34130,35068,34800,24300,1800000,1800000,90,3982000,Discharging,20.4,15.3,17.4,18.8,29.6,3224,3753,,,
1198,34063,35537,34733,24300,1608000,1800000,90,3982000,Discharging,20.6,15.0,13.7,20.6,34.0,3158,3700,,,
1200,34264,35068,34666,24300,1800000,1800000,90,3988000,Discharging,20.2,15.9,18.2,20.7,25.1,3236,3778,,,
1203,34331,34867,34934,24300,1800000,1800000,90,3985000,Discharging,20.0,16.2,17.3,16.7,30.1,2200,2517,,,
1205,33996,35001,35001,24300,1800000,1800000,90,3963000,Discharging,19.7,16.9,15.4,20.5,25.7,3268,3826,,,
1207,34331,35068,34465,24300,1800000,1800000,90,3982000,Discharging,21.7,16.3,16.7,27.1,25.5,3168,3722,,,
1209,33728,34934,34465,24300,1800000,1800000,90,3985000,Discharging,20.4,15.3,11.2,24.9,31.1,3168,3731,,,
1211,34197,35068,34532,24300,1800000,1800000,90,3988000,Discharging,21.8,14.2,16.2,16.3,41.5,3390,3824,,,
1213,34264,35336,35001,24300,1800000,1800000,90,3984000,Discharging,20.4,19.0,10.8,16.9,33.5,3241,3786,,,
1216,33996,35336,35001,24300,1416000,1800000,90,3984000,Discharging,20.8,16.7,10.4,25.0,30.6,2183,2549,,,
1218,34264,35202,34800,24300,1800000,1800000,90,3985000,Discharging,20.2,18.2,14.0,22.0,27.2,3146,3780,,,
1220,34130,35403,34599,24300,1800000,1800000,90,3960000,Discharging,21.8,15.6,10.2,26.4,34.9,3220,3743,,,
1222,34331,35269,34666,24300,1800000,1800000,90,3983000,Discharging,21.2,10.2,11.4,33.2,29.4,3272,3810,,,
1224,34398,35068,34532,24300,1800000,1800000,90,3983000,Discharging,21.3,17.9,9.4,28.3,30.4,3190,3798,,,
1226,34264,35068,34532,24400,1800000,1800000,90,3982000,Discharging,22.3,16.6,9.4,22.0,40.5,3164,3750,,,
1228,34264,35537,34599,24300,1800000,1800000,90,3983000,Discharging,20.3,14.0,12.8,24.8,29.9,3202,3794,,,
1231,33929,35269,34599,24400,1800000,1800000,90,3984000,Discharging,21.4,13.0,10.4,30.7,30.7,2140,2492,,,
1233,34666,34800,34934,24400,1800000,1800000,90,3984000,Discharging,20.9,13.4,9.6,35.5,23.9,3388,3868,,,
1235,34599,35738,34532,24400,1416000,1800000,90,3971000,Discharging,20.2,13.7,18.8,28.5,20.3,3252,3808,,,
1237,34063,35202,34800,24400,1800000,1800000,90,3984000,Discharging,20.7,19.8,14.5,28.3,20.3,3180,3716,,,
1239,34264,35202,34532,24400,1800000,1800000,90,3984000,Discharging,20.6,14.0,9.9,24.8,33.5,3145,3771,,,
1241,34398,35135,35068,24500,1800000,1800000,90,3984000,Discharging,21.3,16.6,8.7,37.5,20.6,3144,3787,,,
1244,34130,35068,34666,24400,1800000,1800000,90,3988000,Discharging,20.6,18.4,16.4,21.6,25.7,2234,2580,,,
1246,34063,35269,34666,24400,1800000,1800000,90,3981000,Discharging,19.4,15.4,8.2,15.6,38.7,3028,3668,,,
1248,33728,35671,34867,24500,1608000,1800000,90,3980000,Discharging,21.0,12.4,13.1,27.2,30.8,3070,3703,,,
1250,34800,35336,34532,24400,1800000,1800000,90,3977000,Discharging,20.4,13.3,9.9,23.7,34.9,3156,3700,,,
