# fw=nextui-auto workload=thps2 start=2026-09-13 20:10:00 soak=99C prelaunch=schedutil/1800000 launch_up=2578.33 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
2591,36542,37212,37011,27000,1800000,1800000,86,3945000,Discharging,,,,,,,,,,
2593,36408,37815,36877,27000,1800000,1800000,86,3946000,Discharging,19.8,18.5,15.0,18.7,27.8,3282,4104,,,
2595,36274,37614,36944,27000,1800000,1800000,86,3944000,Discharging,21.0,14.6,11.7,28.0,28.3,3458,4183,,,
2597,36609,37547,36810,27000,1800000,1800000,86,3943000,Discharging,21.1,16.7,15.5,35.0,17.0,3336,4145,,,
2600,36877,37614,36944,27000,1800000,1800000,86,3943000,Discharging,18.7,16.2,12.9,17.5,28.8,2220,2740,,,
2602,36542,37413,37011,27000,1800000,1800000,86,3946000,Discharging,19.4,17.0,11.3,20.1,29.5,3450,4186,,,
2604,36609,37681,36810,27000,1800000,1800000,86,3944000,Discharging,20.5,21.1,12.3,36.0,12.0,3546,4225,,,
2606,36408,37614,37011,27000,1800000,1800000,86,3946000,Discharging,20.2,14.3,10.7,30.8,24.6,3444,4246,,,
2608,36609,37212,36944,27000,1800000,1800000,86,3945000,Discharging,19.6,13.0,12.3,32.1,20.9,3364,4181,,,
2610,36810,37681,36944,27000,1800000,1800000,86,3944000,Discharging,20.2,19.2,13.7,23.1,24.6,3449,4198,,,
2613,36274,37413,36743,27000,1800000,1800000,86,3949000,Discharging,18.5,20.1,11.4,24.5,17.7,2168,2728,,,
2615,36475,37547,36944,27000,1608000,1800000,86,3945000,Discharging,19.0,17.7,11.6,28.4,18.3,3431,4190,,,
2617,36408,37681,36810,27000,1800000,1800000,86,3946000,Discharging,20.7,21.4,13.0,27.1,21.5,3438,4175,,,
2619,36743,37547,36810,27000,1800000,1800000,86,3946000,Discharging,20.4,11.3,10.8,29.2,30.4,3290,4120,,,
2621,36140,37413,37011,27000,1800000,1800000,86,3946000,Discharging,21.0,11.1,14.8,33.5,24.1,3258,4088,,,
2623,36274,37346,36944,27000,1800000,1800000,86,3943000,Discharging,19.8,16.3,8.1,34.9,19.2,3294,4111,,,
2625,36341,37815,36944,27000,1800000,1800000,86,3940000,Discharging,20.4,18.0,15.6,19.7,29.2,3505,4158,,,
2628,36475,37614,36877,27000,1800000,1800000,86,3917000,Discharging,20.3,19.4,11.1,31.6,18.2,2227,2740,,,
2630,36475,37882,36743,27000,1800000,1800000,86,3939000,Discharging,19.1,13.3,14.6,27.9,20.7,3356,4122,,,
2632,36475,37279,36810,27000,1800000,1800000,86,3939000,Discharging,21.7,13.5,15.6,34.7,22.2,3312,4110,,,
2634,36408,37547,37078,27000,1608000,1800000,86,3938000,Discharging,20.7,15.0,12.2,38.7,16.1,3244,4112,,,
2636,36877,37279,36676,27100,1608000,1800000,86,3939000,Discharging,20.0,14.8,13.6,27.1,23.8,3466,4167,,,
2638,36408,37413,37011,27000,1800000,1800000,86,3939000,Discharging,20.5,14.3,10.0,37.0,20.8,3297,4087,,,
2641,36140,37748,36676,27100,1800000,1800000,86,3937000,Discharging,20.7,16.4,13.0,32.7,20.7,2307,2820,,,
2643,36542,37279,36877,27100,1416000,1800000,86,3931000,Discharging,20.7,14.4,11.8,34.1,22.6,3328,4200,,,
2645,36676,37547,36810,27100,1608000,1800000,86,3938000,Discharging,19.6,20.9,13.9,19.3,24.3,3594,4282,,,
2647,36408,37748,36609,27100,1800000,1800000,86,3936000,Discharging,20.1,16.4,7.7,37.9,18.2,3394,4175,,,
2649,36877,37681,37011,27100,1800000,1800000,86,3940000,Discharging,20.4,13.5,12.5,28.9,25.9,3353,4148,,,
2651,36810,37882,36609,27100,1800000,1800000,86,3939000,Discharging,20.4,17.5,21.1,23.0,19.8,3524,4259,,,
2653,36676,37547,36877,27100,1416000,1800000,86,3940000,Discharging,20.1,14.8,20.5,26.3,19.4,3322,4132,,,
2656,36475,37748,37346,27100,1800000,1800000,86,3936000,Discharging,19.9,16.3,16.3,20.8,26.8,2362,2829,,,
2658,36341,37413,36542,27100,1800000,1800000,86,3926000,Discharging,20.0,17.1,16.5,29.4,17.2,3346,4146,,,
2660,36408,37614,36877,27100,1800000,1800000,86,3937000,Discharging,18.3,23.0,10.7,18.5,20.6,3460,4238,,,
2662,36408,37480,36944,27100,1800000,1800000,86,3937000,Discharging,20.1,18.6,10.4,28.5,23.0,3412,4184,,,
2664,36274,37547,36676,27100,1800000,1800000,86,3938000,Discharging,20.0,18.6,15.2,23.8,22.9,3385,4166,,,
2666,36274,37480,37279,27100,1800000,1800000,86,3933000,Discharging,20.3,17.8,10.9,25.5,26.4,3491,4221,,,
2669,36676,37547,36877,27100,1800000,1800000,86,3936000,Discharging,20.0,16.7,11.4,26.6,25.4,2262,2757,,,
2671,36341,37882,37011,27100,1800000,1800000,86,3938000,Discharging,20.0,19.0,14.2,24.4,23.3,3397,4192,,,
2673,36207,37547,36944,27100,1800000,1800000,86,3928000,Discharging,20.1,11.1,13.1,26.3,28.0,3439,4216,,,
2675,36274,37480,37011,27100,1608000,1800000,86,3939000,Discharging,19.8,20.3,13.4,30.8,15.0,3420,4193,,,
