# fw=nextui-auto workload=zelda start=2026-09-13 19:28:46 soak=99C prelaunch=schedutil/1800000 launch_up=104.45 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
117,26023,27497,26961,20300,1800000,1800000,94,4011000,Discharging,,,,,,,,,,
119,26358,27966,26961,20300,1608000,1800000,94,4011000,Discharging,19.5,18.5,12.6,14.4,32.0,2814,3398,,,
122,26090,27698,27296,20300,1800000,1800000,94,4010000,Discharging,18.8,13.7,17.6,24.2,19.6,1915,2211,,,
124,26626,27698,27162,20400,1416000,1800000,94,4010000,Discharging,18.8,22.3,8.8,19.9,24.3,2846,3306,,,
126,26425,27497,27497,20300,1800000,1800000,94,3994000,Discharging,18.3,16.9,20.3,14.0,23.0,2886,3184,,,
128,26827,28033,26760,20400,1800000,1800000,94,4012000,Discharging,18.5,18.0,15.2,16.0,25.4,2575,2908,,,
130,26827,27966,27363,20400,1800000,1800000,94,4007000,Discharging,20.2,13.6,8.6,19.2,37.4,2469,2840,,,
132,26626,27765,27028,20400,1608000,1800000,94,4007000,Discharging,18.3,18.4,12.1,27.6,16.0,2510,2864,,,
135,26894,27966,26827,20400,1608000,1800000,94,4005000,Discharging,19.1,13.9,14.1,22.6,25.6,1729,1941,,,
137,26760,28435,27631,20400,1800000,1800000,94,4008000,Discharging,18.3,19.0,13.1,19.9,20.7,2723,2982,,,
139,26827,28368,27363,20400,1608000,1800000,94,4007000,Discharging,17.6,15.3,12.3,25.9,17.0,2625,2916,,,
141,26425,28234,27698,20400,1800000,1800000,94,3985000,Discharging,19.0,18.1,18.9,17.8,20.8,2574,2907,,,
143,26760,28100,27296,20400,1800000,1800000,94,4009000,Discharging,18.6,20.7,16.4,17.1,20.1,2573,2906,,,
145,26559,28167,27564,20400,1800000,1800000,94,4008000,Discharging,19.3,14.4,16.3,22.0,25.1,2533,2876,,,
147,26559,28301,27631,20400,1608000,1800000,94,4007000,Discharging,19.8,13.9,13.7,11.3,39.9,2686,2952,,,
150,26894,28435,27229,20400,1800000,1800000,94,4008000,Discharging,19.5,17.8,11.4,25.9,23.5,1716,1935,,,
152,27296,28301,26961,20400,1608000,1800000,94,4007000,Discharging,18.4,15.0,17.8,25.5,15.6,2518,2914,,,
154,26827,28368,27497,20500,1800000,1800000,94,4008000,Discharging,19.2,18.2,16.0,11.4,30.8,2514,2856,,,
156,26760,27966,27162,20500,1800000,1800000,94,3993000,Discharging,19.5,16.5,10.5,33.3,16.4,2518,2888,,,
158,26894,27698,27765,20400,1416000,1800000,94,4006000,Discharging,19.4,18.3,24.0,14.8,19.8,2662,2946,,,
160,27095,28569,27296,20500,1608000,1800000,94,4010000,Discharging,19.9,19.6,11.8,33.6,15.2,2560,2907,,,
162,27162,28368,28033,20500,1800000,1800000,94,4007000,Discharging,18.1,15.4,12.2,18.2,25.9,2523,2894,,,
165,26894,28234,27363,20500,1416000,1800000,94,4005000,Discharging,19.6,18.3,8.1,27.6,24.4,1698,1924,,,
167,27296,28435,27430,20500,1608000,1800000,94,4006000,Discharging,19.2,15.4,10.6,29.4,21.1,2694,2930,,,
169,26827,28502,27497,20500,1800000,1800000,94,4005000,Discharging,19.1,13.9,14.2,29.4,18.5,2541,2914,,,
