# fw=nextui-performance workload=bloodyroar start=2026-09-13 22:13:54 soak=99C prelaunch=performance/2000000 launch_up=10012.92 max0=2000000 gov=performance devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
10026,44381,43644,43711,29900,2000000,2000000,56,3662000,Discharging,,,,,,,,,,
10028,44448,43443,43778,29800,2000000,2000000,56,3662000,Discharging,9.2,9.0,7.1,9.5,10.9,2496,3164,,,
10030,44582,43577,44448,29800,2000000,2000000,56,3658000,Discharging,11.9,10.3,7.5,16.1,14.1,2645,3435,,,
10032,46257,44783,45252,29900,2000000,2000000,56,3652000,Discharging,15.9,9.6,13.7,18.2,21.5,3212,4325,,,
10034,46592,45319,45587,30000,2000000,2000000,56,3641000,Discharging,17.5,13.3,13.2,25.1,18.0,3312,4334,,,
10036,47798,45252,46257,30000,2000000,2000000,56,3642000,Discharging,19.3,13.1,11.3,24.8,28.2,3318,4362,,,
10038,46860,45855,45989,30000,2000000,2000000,56,3651000,Discharging,17.9,15.4,11.2,29.3,16.5,3598,4763,,,
10041,45855,44515,44783,30000,2000000,2000000,56,3654000,Discharging,11.5,7.2,6.5,18.2,13.2,2107,2901,,,
10043,45051,44381,45185,29900,2000000,2000000,56,3655000,Discharging,11.4,11.3,7.5,10.3,16.8,3296,4478,,,
10045,45386,44783,44783,29900,2000000,2000000,56,3657000,Discharging,11.3,7.7,11.3,10.6,15.6,3058,4082,,,
10047,45721,44314,44917,29900,2000000,2000000,56,3652000,Discharging,11.5,10.3,6.6,14.1,14.7,3222,4445,,,
10049,45185,44180,44649,30000,2000000,2000000,56,3647000,Discharging,11.5,10.0,7.1,15.4,14.3,3194,4130,,,
10051,45453,44515,44515,29900,2000000,2000000,56,3653000,Discharging,11.5,8.6,6.6,16.7,13.4,3184,4380,,,
10053,45520,44582,44716,30000,2000000,2000000,56,3651000,Discharging,12.1,9.0,9.8,13.5,15.9,3250,4434,,,
10056,45051,43845,44448,30000,2000000,2000000,56,3649000,Discharging,11.5,9.4,6.6,16.4,13.6,2171,2998,,,
10058,45252,44113,44783,30000,2000000,2000000,56,3649000,Discharging,11.5,9.0,6.1,10.0,21.1,3058,4113,,,
10060,45520,44515,44582,30000,2000000,2000000,56,3656000,Discharging,11.4,10.0,8.6,12.4,14.6,3176,4144,,,
