# fw=nextui-performance workload=gradius start=2026-09-13 21:32:40 soak=99C prelaunch=performance/2000000 launch_up=7538.25 max0=2000000 gov=performance devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
7551,44180,42438,43778,29100,2000000,2000000,69,3763000,Discharging,,,,,,,,,,
7553,44046,42505,43778,29100,2000000,2000000,69,3764000,Discharging,16.1,6.2,4.8,6.1,46.7,2262,2756,,,
7555,44515,42438,43912,29100,2000000,2000000,69,3764000,Discharging,16.3,7.5,8.4,15.2,34.6,2292,2774,,,
7557,44515,42572,43845,29100,2000000,2000000,69,3765000,Discharging,16.3,10.4,3.3,17.9,33.0,2278,2782,,,
7559,44314,42237,43175,29100,2000000,2000000,69,3764000,Discharging,16.5,9.9,4.3,18.6,33.5,2264,2735,,,
7562,44314,42907,43912,29100,2000000,2000000,69,3763000,Discharging,16.2,9.5,4.3,23.1,27.5,1618,1898,,,
7564,44649,42170,43912,29100,2000000,2000000,69,3763000,Discharging,16.2,12.6,2.4,22.5,27.7,2266,2776,,,
7566,44113,42974,43510,29100,2000000,2000000,69,3763000,Discharging,16.6,8.5,5.2,21.7,30.8,2302,2782,,,
7568,44448,42840,43778,29100,2000000,2000000,69,3765000,Discharging,15.8,9.5,5.2,32.4,16.0,2304,2786,,,
7570,43979,42639,43778,29100,2000000,2000000,69,3767000,Discharging,16.4,10.9,3.8,9.3,41.3,2318,2779,,,
7572,44113,42773,43845,29100,2000000,2000000,69,3766000,Discharging,16.2,9.9,6.6,20.8,27.1,2426,2830,,,
7574,44381,42907,43711,29200,2000000,2000000,69,3759000,Discharging,16.1,10.0,4.3,5.2,43.9,2296,2757,,,
7576,44582,42438,44046,29100,2000000,2000000,69,3760000,Discharging,16.1,8.1,4.3,9.5,42.0,2276,2772,,,
7579,43510,42907,43510,29100,2000000,2000000,69,3763000,Discharging,15.8,8.1,8.0,14.1,33.0,1502,1820,,,
7581,44314,42572,43711,29100,2000000,2000000,69,3763000,Discharging,16.3,12.3,6.6,15.7,31.1,2466,2830,,,
7583,44381,42706,43242,29100,2000000,2000000,69,3766000,Discharging,15.8,13.2,5.2,23.7,20.9,2212,2742,,,
7585,44448,42438,43644,29100,2000000,2000000,69,3767000,Discharging,15.9,8.1,6.6,28.1,20.8,2344,2803,,,
7587,44046,42639,43711,29100,2000000,2000000,69,3767000,Discharging,16.0,7.1,6.5,15.5,35.5,2292,2779,,,
7589,44783,42572,43644,29100,2000000,2000000,69,3765000,Discharging,16.1,7.5,6.6,22.2,27.3,2280,2756,,,
7591,44649,42505,43711,29100,2000000,2000000,69,3743000,Discharging,15.9,11.0,6.7,6.7,39.1,2458,2842,,,
7594,43845,42438,43644,29100,2000000,2000000,69,3764000,Discharging,16.2,7.6,7.1,14.2,35.4,1499,1833,,,
7596,44448,42773,44046,29100,2000000,2000000,69,3767000,Discharging,16.0,8.1,5.7,16.0,34.6,2322,2800,,,
7598,44448,42974,44180,29100,2000000,2000000,69,3767000,Discharging,16.3,17.1,4.3,19.0,23.5,2262,2720,,,
7600,45118,43175,44046,29100,2000000,2000000,69,3765000,Discharging,16.4,10.3,7.5,18.5,30.8,2316,2775,,,
7602,44515,42974,43912,29100,2000000,2000000,69,3765000,Discharging,14.2,12.0,3.8,16.7,24.1,2390,2832,,,
7604,43778,42639,43309,29100,2000000,2000000,69,3763000,Discharging,14.0,8.6,3.8,15.7,27.2,2268,2827,,,
7606,43510,42304,42773,29100,2000000,2000000,69,3760000,Discharging,14.3,9.6,4.3,18.6,24.5,2260,2779,,,
7608,44247,42840,43577,29100,2000000,2000000,69,3759000,Discharging,15.3,9.9,3.8,8.9,39.0,2276,2764,,,
7611,44314,42572,43912,29100,2000000,2000000,69,3765000,Discharging,16.6,10.9,10.4,8.0,36.4,1529,1833,,,
7613,44716,42974,43912,29100,2000000,2000000,69,3762000,Discharging,16.4,7.1,4.2,17.6,36.6,2404,2815,,,
7615,45386,43041,44046,29100,2000000,2000000,69,3759000,Discharging,16.3,6.7,5.2,15.4,38.0,2337,2788,,,
7617,44247,43175,43443,29100,2000000,2000000,69,3759000,Discharging,16.4,11.2,9.8,9.0,35.8,2244,2786,,,
