# fw=nextui-performance workload=mariokart start=2026-09-13 21:49:08 soak=99C prelaunch=performance/2000000 launch_up=8527.00 max0=2000000 gov=performance devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
8540,43175,42505,42706,29700,2000000,2000000,65,3725000,Discharging,,,,,,,,,,
8542,42907,42572,42438,29600,2000000,2000000,65,3721000,Discharging,8.2,8.7,4.3,6.1,12.5,2294,2920,,,
8544,43242,42036,42639,29600,2000000,2000000,65,3722000,Discharging,9.1,8.8,3.8,7.5,16.4,2396,2978,,,
8546,42907,42505,42773,29600,2000000,2000000,65,3723000,Discharging,8.6,8.1,6.2,12.2,8.5,2204,2874,,,
8548,42706,42505,43242,29600,2000000,2000000,65,3724000,Discharging,8.7,7.6,6.1,7.1,14.8,2256,2888,,,
8550,42974,42505,42706,29600,2000000,2000000,65,3726000,Discharging,8.8,8.1,3.8,11.9,10.5,2240,2884,,,
8552,43510,42572,42304,29600,2000000,2000000,65,3727000,Discharging,8.9,8.9,3.3,14.2,9.4,2256,2895,,,
8555,43242,42572,42438,29600,2000000,2000000,65,3726000,Discharging,9.2,7.2,10.4,6.6,11.8,1586,1947,,,
8557,43175,42639,42706,29600,2000000,2000000,65,3707000,Discharging,8.6,10.8,5.2,4.7,13.7,2266,2868,,,
8559,43242,42505,42639,29600,2000000,2000000,65,3727000,Discharging,8.9,8.1,5.1,11.3,12.7,2300,2914,,,
8561,43041,42505,42907,29500,2000000,2000000,65,3725000,Discharging,8.7,7.6,3.3,14.6,9.0,2222,2922,,,
8563,43644,42505,42974,29600,2000000,2000000,65,3723000,Discharging,9.1,9.5,3.8,8.6,12.8,2288,2898,,,
8565,42572,42438,42371,29600,2000000,2000000,65,3720000,Discharging,8.9,9.1,2.4,7.5,17.0,2403,2953,,,
8567,43175,42304,43108,29600,2000000,2000000,65,3721000,Discharging,8.7,8.1,4.3,15.5,7.1,2224,2866,,,
8569,43108,42371,42773,29600,2000000,2000000,65,3722000,Discharging,8.6,7.6,3.3,7.6,15.1,2168,2867,,,
8572,43443,42773,42505,29600,2000000,2000000,65,3725000,Discharging,8.6,8.0,1.9,6.2,19.4,1487,1936,,,
8574,43242,42371,42371,29600,2000000,2000000,65,3728000,Discharging,9.2,9.0,2.9,9.5,15.9,2382,2968,,,
8576,43376,42170,42505,29600,2000000,2000000,65,3721000,Discharging,8.9,7.6,5.2,10.0,11.8,2266,2914,,,
8578,43510,42237,42706,29600,2000000,2000000,65,3726000,Discharging,9.2,8.9,9.7,6.2,12.8,2278,2894,,,
8580,42907,42505,42304,29600,2000000,2000000,65,3725000,Discharging,9.0,7.1,8.5,14.1,6.1,2238,2872,,,
8582,43644,42505,42237,29600,2000000,2000000,65,3725000,Discharging,8.8,9.9,4.2,10.5,11.0,2312,2915,,,
8584,43443,42371,42706,29600,2000000,2000000,65,3721000,Discharging,9.1,8.5,2.8,4.3,20.5,2390,2956,,,
8586,42706,42438,42639,29600,2000000,2000000,65,3719000,Discharging,8.9,7.6,5.2,6.1,15.6,2265,2914,,,
8589,43443,42371,42505,29600,2000000,2000000,65,3720000,Discharging,8.7,7.2,5.7,7.1,16.1,1512,1929,,,
8591,42572,42304,42438,29600,2000000,2000000,65,3722000,Discharging,8.7,6.7,3.8,5.7,18.8,2228,2880,,,
8593,42907,42505,42371,29600,2000000,2000000,65,3698000,Discharging,8.8,7.1,4.8,8.1,14.8,2272,2889,,,
8595,43979,42974,43041,29600,2000000,2000000,64,3719000,Discharging,10.1,13.4,4.7,12.1,9.9,2593,3298,,,
8597,43108,42840,42505,29600,2000000,2000000,64,3723000,Discharging,8.7,8.0,4.8,9.4,14.0,2256,2922,,,
8599,43041,42237,42572,29600,2000000,2000000,64,3724000,Discharging,9.2,7.7,9.5,6.6,11.5,2258,2857,,,
8601,43376,42505,42706,29600,2000000,2000000,64,3724000,Discharging,8.6,8.1,4.3,8.0,14.2,2230,2864,,,
8603,43644,42438,42840,29600,2000000,2000000,64,3723000,Discharging,9.0,9.9,5.2,11.8,9.4,2294,2884,,,
8606,43845,42840,42237,29600,2000000,2000000,64,3719000,Discharging,9.0,7.2,4.7,14.8,9.4,1600,1965,,,
8608,43577,42572,43041,29600,2000000,2000000,64,3717000,Discharging,9.3,8.0,4.7,15.9,9.0,2267,2884,,,
8610,43108,42505,42572,29600,2000000,2000000,64,3718000,Discharging,8.7,8.1,4.2,7.1,15.1,2196,2812,,,
8612,43443,42706,42572,29600,2000000,2000000,64,3712000,Discharging,8.9,6.7,5.6,8.5,15.2,2257,2933,,,
8614,42706,42237,42639,29600,2000000,2000000,64,3719000,Discharging,9.1,7.0,3.3,10.3,15.6,2254,2891,,,
8616,43041,42907,42103,29600,2000000,2000000,64,3720000,Discharging,9.1,9.0,6.1,15.0,6.1,2550,3304,,,
8618,43376,42639,43108,29600,2000000,2000000,64,3723000,Discharging,8.7,9.4,7.1,9.5,9.9,2592,3448,,,
8621,42706,42371,42706,29600,2000000,2000000,64,3723000,Discharging,8.6,8.5,4.8,5.7,15.2,1483,1932,,,
8623,42907,42639,42706,29600,2000000,2000000,64,3723000,Discharging,9.0,6.7,5.2,10.9,12.3,2270,2905,,,
8625,43041,42505,42639,29600,2000000,2000000,64,3720000,Discharging,8.9,9.9,4.7,9.9,11.8,2226,2882,,,
8627,42974,42371,42371,29600,2000000,2000000,64,3719000,Discharging,8.9,9.0,8.9,3.3,13.8,2739,3590,,,
8629,43175,42505,42974,29600,2000000,2000000,64,3704000,Discharging,9.0,8.1,2.4,8.5,17.4,2264,2931,,,
8631,43041,42572,42706,29600,2000000,2000000,64,3720000,Discharging,8.6,10.4,4.3,8.6,10.8,2187,2860,,,
8633,43242,42371,42371,29600,2000000,2000000,64,3718000,Discharging,8.8,9.0,6.1,5.7,14.7,2268,2882,,,
