# fw=nextui-performance workload=sf2 start=2026-09-13 21:57:24 soak=99C prelaunch=performance/2000000 launch_up=9022.67 max0=2000000 gov=performance devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
9035,44381,42974,43644,29700,2000000,2000000,62,3701000,Discharging,,,,,,,,,,
9037,44314,43108,43845,29700,2000000,2000000,62,3706000,Discharging,12.9,8.6,3.8,13.8,24.4,2330,2946,,,
9040,44381,43041,43979,29700,2000000,2000000,62,3704000,Discharging,13.9,7.6,6.1,14.2,27.7,1559,1958,,,
9042,45051,42840,44381,29700,2000000,2000000,62,3700000,Discharging,13.8,9.4,2.8,6.2,36.8,2265,2918,,,
9044,44850,43309,44046,29700,2000000,2000000,62,3698000,Discharging,14.2,7.9,6.0,16.5,26.9,2315,2876,,,
9046,44783,43376,44046,29700,2000000,2000000,62,3696000,Discharging,14.1,10.4,4.7,15.9,25.1,2438,2926,,,
9048,44716,43376,43979,29700,2000000,2000000,62,3696000,Discharging,14.1,9.4,5.7,28.2,13.1,2260,2897,,,
9050,44783,43510,44180,29700,2000000,2000000,62,3699000,Discharging,14.3,12.9,8.6,7.1,27.4,2354,2895,,,
9052,45051,43108,44180,29700,2000000,2000000,62,3703000,Discharging,13.6,7.1,5.6,8.5,33.3,2317,2934,,,
9055,44984,43309,44113,29800,2000000,2000000,62,3696000,Discharging,13.9,8.1,5.2,14.6,28.0,1527,1938,,,
9057,44984,43376,43845,29700,2000000,2000000,62,3698000,Discharging,14.0,10.4,4.3,18.8,22.9,2421,2968,,,
9059,44850,43443,44247,29700,2000000,2000000,62,3702000,Discharging,14.2,8.0,6.1,27.0,15.6,2342,2918,,,
9061,44984,43376,44247,29700,2000000,2000000,62,3704000,Discharging,14.0,9.4,2.4,14.2,29.9,2307,2908,,,
9063,44381,43845,44247,29700,2000000,2000000,62,3701000,Discharging,13.2,8.1,4.3,21.3,19.0,2274,2887,,,
9065,44850,43309,44180,29700,2000000,2000000,62,3698000,Discharging,13.9,8.1,9.4,4.7,33.0,2450,2930,,,
9067,45319,43309,44314,29700,2000000,2000000,62,3693000,Discharging,14.8,10.0,4.7,11.8,33.0,2276,2885,,,
9069,45185,43443,43912,29800,2000000,2000000,62,3694000,Discharging,15.0,12.4,4.3,25.5,17.8,2345,2890,,,
9072,44850,43376,44582,29800,2000000,2000000,62,3681000,Discharging,14.8,7.2,5.2,8.9,37.4,1506,1923,,,
9074,45386,43845,44448,29800,2000000,2000000,62,3692000,Discharging,15.1,10.4,2.8,9.0,38.3,2346,2892,,,
9076,45185,43711,44247,29800,2000000,2000000,62,3692000,Discharging,15.3,9.5,4.3,38.3,8.5,2452,2949,,,
9078,45319,43778,44917,29800,2000000,2000000,62,3695000,Discharging,15.0,8.6,5.3,8.5,37.7,2280,2882,,,
9080,45118,43711,44582,29700,2000000,2000000,62,3698000,Discharging,15.2,11.0,9.0,8.5,32.5,2320,2881,,,
9082,44850,43711,44515,29700,2000000,2000000,62,3701000,Discharging,15.0,7.2,2.8,10.4,39.4,2284,2888,,,
