# fw=nextui-performance workload=sonic start=2026-09-13 21:40:54 soak=99C prelaunch=performance/2000000 launch_up=8032.71 max0=2000000 gov=performance devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
8045,43979,42706,43376,29400,2000000,2000000,67,3740000,Discharging,,,,,,,,,,
8047,43510,42639,43309,29400,2000000,2000000,67,3740000,Discharging,11.3,9.1,4.2,14.7,16.5,2866,3817,,,
8050,44046,42907,43510,29400,2000000,2000000,67,3734000,Discharging,11.3,11.8,5.3,13.3,15.7,1974,2552,,,
8052,44180,42840,43309,29300,2000000,2000000,67,3747000,Discharging,11.5,9.0,5.2,17.0,14.6,2984,3827,,,
8054,43912,43108,43242,29300,2000000,2000000,67,3720000,Discharging,11.3,9.2,7.1,12.8,16.1,2928,3806,,,
8056,44180,43041,43577,29400,2000000,2000000,67,3740000,Discharging,12.0,9.9,4.2,17.9,16.3,2856,3822,,,
8058,44247,42639,43376,29400,2000000,2000000,67,3743000,Discharging,11.7,9.1,4.7,12.7,20.9,2868,3806,,,
8060,44046,42974,43041,29300,2000000,2000000,67,3743000,Discharging,12.2,7.2,5.7,14.8,20.4,2890,3808,,,
8062,43979,42907,43577,29400,2000000,2000000,67,3746000,Discharging,11.9,8.1,7.0,20.3,11.5,3024,3832,,,
8065,44515,43175,43443,29300,2000000,2000000,67,3742000,Discharging,12.1,10.0,5.7,14.3,18.3,1940,2535,,,
8067,44180,43108,43778,29300,2000000,2000000,67,3744000,Discharging,12.0,10.7,5.1,14.6,17.5,2872,3796,,,
8069,44046,42639,43510,29400,2000000,2000000,67,3739000,Discharging,12.0,10.0,6.7,11.4,20.8,2942,3788,,,
8071,43979,43175,43778,29400,2000000,2000000,67,3727000,Discharging,12.0,7.7,6.1,11.3,23.2,2842,3740,,,
8073,44381,42773,43376,29400,2000000,2000000,67,3745000,Discharging,11.6,7.7,4.8,18.1,15.5,2932,3787,,,
8075,44180,42974,42974,29400,2000000,2000000,67,3741000,Discharging,12.5,10.0,8.1,20.2,11.4,2934,3782,,,
8077,43979,42840,43041,29400,2000000,2000000,67,3739000,Discharging,12.4,7.6,5.2,23.3,13.6,2783,3720,,,
8079,44649,43242,43510,29400,2000000,2000000,67,3723000,Discharging,12.1,9.0,4.3,17.7,17.3,2865,3752,,,
8082,44113,43309,43778,29400,2000000,2000000,67,3740000,Discharging,11.9,8.5,4.7,13.2,20.9,1898,2511,,,
8084,44448,43242,43778,29400,2000000,2000000,67,3743000,Discharging,12.2,10.1,7.5,15.5,15.1,3070,3914,,,
8086,43778,42572,43711,29400,2000000,2000000,67,3744000,Discharging,11.1,7.2,5.2,14.1,17.9,2838,3773,,,
8088,43510,42974,43510,29400,2000000,2000000,67,3741000,Discharging,10.4,9.0,6.1,5.6,21.6,2844,3764,,,
8090,43443,42706,42907,29400,2000000,2000000,67,3749000,Discharging,10.5,11.5,4.7,17.5,8.0,2954,3820,,,
8092,43845,42907,43376,29300,2000000,2000000,67,3746000,Discharging,10.5,9.9,5.2,11.8,16.0,2831,3730,,,
8094,44113,43041,43711,29300,2000000,2000000,67,3727000,Discharging,11.3,9.6,4.8,16.5,13.7,3036,3844,,,
8097,43912,42840,43309,29400,2000000,2000000,67,3742000,Discharging,11.4,10.0,7.1,14.7,13.7,1924,2537,,,
8099,43912,43309,43309,29400,2000000,2000000,67,3739000,Discharging,11.2,10.5,5.2,18.5,10.3,2882,3827,,,
8101,44515,42974,43376,29400,2000000,2000000,67,3739000,Discharging,11.2,8.5,4.3,14.6,18.3,2859,3800,,,
8103,44113,43175,43443,29400,2000000,2000000,67,3744000,Discharging,11.8,9.0,7.5,14.6,15.6,3036,3830,,,
8105,44113,43510,43845,29400,2000000,2000000,67,3731000,Discharging,11.7,8.2,5.6,17.7,15.0,2900,3806,,,
8107,44180,43041,43644,29500,2000000,2000000,67,3737000,Discharging,11.9,11.4,5.3,20.7,10.2,2941,3864,,,
8109,44850,43041,43577,29400,2000000,2000000,67,3731000,Discharging,11.9,11.9,9.9,9.0,17.1,2974,3820,,,
8111,44649,42840,43845,29400,2000000,2000000,67,3738000,Discharging,11.6,11.8,11.8,12.3,11.3,2900,3798,,,
8114,44180,43309,43845,29400,2000000,2000000,67,3744000,Discharging,11.9,7.7,5.7,17.6,16.4,2019,2573,,,
8116,44247,42974,43778,29400,2000000,2000000,67,3743000,Discharging,12.2,8.7,6.1,15.0,17.5,2924,3820,,,
8118,44113,43108,43242,29400,2000000,2000000,67,3742000,Discharging,11.7,8.6,5.2,18.4,15.1,2871,3829,,,
8120,44850,42773,44046,29400,2000000,2000000,67,3737000,Discharging,12.0,11.4,5.2,10.4,21.0,2989,3830,,,
8122,43778,42907,43778,29400,2000000,2000000,67,3737000,Discharging,11.7,7.6,6.2,10.8,22.0,2870,3801,,,
