# fw=nextui-performance workload=thps2 start=2026-09-13 22:05:40 soak=99C prelaunch=performance/2000000 launch_up=9518.16 max0=2000000 gov=performance devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
9531,44783,43242,44381,29700,2000000,2000000,60,3684000,Discharging,,,,,,,,,,
9533,44917,44180,44582,29700,2000000,2000000,59,3683000,Discharging,12.4,15.5,4.7,14.2,15.5,3141,4394,,,
9535,44783,43577,43711,29700,2000000,2000000,59,3681000,Discharging,11.4,9.0,10.0,16.7,9.9,3039,4056,,,
9537,44448,43443,43979,29700,2000000,2000000,59,3662000,Discharging,11.7,9.0,5.2,14.3,17.5,3130,4144,,,
9539,44917,43175,43979,29700,2000000,2000000,59,3682000,Discharging,11.6,8.6,9.8,10.8,17.0,3089,4158,,,
9541,44984,43443,43912,29700,2000000,2000000,59,3681000,Discharging,11.6,10.9,9.0,16.6,9.9,3070,4122,,,
9544,45118,43309,44381,29700,2000000,2000000,59,3676000,Discharging,11.9,9.6,10.6,14.6,13.1,2046,2772,,,
9546,44046,43778,44314,29700,2000000,2000000,59,3674000,Discharging,11.7,11.5,5.7,16.5,12.5,3151,4170,,,
9548,44582,43778,43845,29700,2000000,2000000,59,3677000,Discharging,10.8,8.6,8.1,8.0,18.8,3185,4170,,,
9550,44783,43711,44046,29700,2000000,2000000,59,3681000,Discharging,11.3,10.0,5.2,16.9,12.7,3082,4098,,,
9552,44180,43577,43912,29700,2000000,2000000,59,3683000,Discharging,10.9,10.4,5.7,14.4,12.7,3006,4104,,,
9554,44783,43778,44314,29700,2000000,2000000,59,3658000,Discharging,11.3,10.0,5.2,17.1,12.8,3003,4077,,,
9556,44247,43041,44046,29700,2000000,2000000,59,3676000,Discharging,10.9,10.0,5.3,14.2,14.1,3042,4107,,,
