# fw=nextui-performance workload=zelda start=2026-09-13 21:24:24 soak=99C prelaunch=performance/2000000 launch_up=7042.64 max0=2000000 gov=performance devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
7055,41031,40763,40696,28700,2000000,2000000,71,3787000,Discharging,,,,,,,,,,
7057,41165,40294,40495,28700,2000000,2000000,71,3787000,Discharging,8.9,9.0,5.6,11.3,10.4,2229,2748,,,
7060,40294,40227,40562,28800,2000000,2000000,71,3787000,Discharging,8.7,8.6,4.2,3.8,17.5,1579,1886,,,
7062,40495,40763,40227,28800,2000000,2000000,71,3775000,Discharging,8.7,7.6,4.7,13.7,8.9,2321,2840,,,
7064,40964,40227,40026,28700,2000000,2000000,71,3793000,Discharging,8.0,8.1,3.8,5.2,14.6,2208,2828,,,
7066,40830,40160,40093,28800,2000000,2000000,71,3774000,Discharging,8.4,9.4,2.8,13.2,8.6,2277,2772,,,
7068,41031,40227,40227,28800,2000000,2000000,71,3786000,Discharging,8.2,7.5,3.8,8.5,13.1,2262,2796,,,
7070,40428,40428,40763,28800,2000000,2000000,71,3787000,Discharging,8.6,6.7,3.3,5.2,18.7,2354,2867,,,
7072,40897,40629,40495,28800,2000000,2000000,71,3787000,Discharging,8.5,7.9,4.3,11.4,11.8,2230,2806,,,
7074,41031,40495,40763,28800,2000000,2000000,71,3785000,Discharging,8.7,7.9,3.8,8.5,14.3,2211,2827,,,
7077,41299,40964,40562,28800,2000000,2000000,71,3774000,Discharging,8.2,7.7,2.4,6.6,16.1,1486,1859,,,
7079,40763,40495,40294,28800,2000000,2000000,71,3785000,Discharging,8.4,6.2,5.7,12.3,8.5,2308,2838,,,
7081,40964,40696,40763,28900,2000000,2000000,71,3778000,Discharging,9.2,9.9,3.3,10.3,12.9,2259,2784,,,
7083,40897,40964,40495,28800,2000000,2000000,71,3786000,Discharging,8.2,6.2,4.2,7.6,15.6,2286,2810,,,
7085,41031,40562,40562,28800,2000000,2000000,71,3785000,Discharging,8.5,7.1,3.7,6.2,16.9,2227,2840,,,
7087,40897,40495,40428,28800,2000000,2000000,71,3786000,Discharging,8.3,8.5,6.7,6.2,11.9,2253,2787,,,
7089,40428,40763,40160,28800,2000000,2000000,71,3786000,Discharging,7.7,8.6,2.8,7.6,11.5,2372,2837,,,
7091,41701,40428,39892,28900,2000000,2000000,71,3779000,Discharging,8.3,7.9,4.2,12.9,9.0,2212,2807,,,
7094,40361,40361,40026,28800,2000000,2000000,71,3786000,Discharging,7.8,7.6,4.7,8.5,10.4,1491,1870,,,
7096,40696,40428,40629,28900,2000000,2000000,71,3788000,Discharging,7.7,7.6,2.8,9.4,11.3,2265,2842,,,
7098,40830,40629,40227,28800,2000000,2000000,71,3767000,Discharging,7.9,6.7,3.3,3.3,17.5,2194,2842,,,
7100,41366,40227,40562,28800,2000000,2000000,71,3783000,Discharging,8.1,7.5,3.3,4.7,17.0,2336,2902,,,
7102,40696,40294,40629,28900,2000000,2000000,71,3784000,Discharging,8.2,7.2,4.3,4.3,16.0,2267,2820,,,
7104,40830,40495,40428,28900,2000000,2000000,71,3782000,Discharging,8.1,8.0,2.4,9.9,12.7,2219,2804,,,
7106,40495,40696,40495,28900,2000000,2000000,71,3780000,Discharging,8.1,9.0,3.3,8.1,12.3,2219,2753,,,
7108,40763,40495,40026,28900,2000000,2000000,71,3787000,Discharging,8.3,9.1,5.2,7.9,10.7,2204,2771,,,
7111,40696,40897,40093,28800,2000000,2000000,71,3783000,Discharging,7.6,9.0,5.7,7.5,8.2,1615,1911,,,
7113,40495,40562,40495,28800,2000000,2000000,71,3788000,Discharging,8.2,7.1,4.3,8.0,13.2,2182,2751,,,
7115,40696,40428,40428,28900,2000000,2000000,71,3789000,Discharging,7.9,8.6,4.2,12.3,6.2,2186,2760,,,
7117,40897,41031,40897,28900,2000000,2000000,71,3783000,Discharging,8.3,8.0,4.2,8.0,13.3,2208,2772,,,
7119,40763,40428,40562,28900,2000000,2000000,71,3786000,Discharging,8.0,7.1,4.2,7.1,12.9,2181,2786,,,
7121,40830,40696,40830,28900,2000000,2000000,71,3783000,Discharging,8.1,9.0,3.3,6.7,14.1,2341,2822,,,
7123,41299,40428,40629,28900,2000000,2000000,71,3787000,Discharging,7.9,7.1,2.4,10.3,12.3,2228,2790,,,
7125,40428,40629,40495,28900,2000000,2000000,71,3788000,Discharging,7.9,7.6,4.2,9.5,9.9,2222,2792,,,
7128,40763,40763,40495,28800,2000000,2000000,71,3787000,Discharging,8.2,9.0,3.3,5.7,14.6,1452,1859,,,
7130,40696,40830,40495,28900,2000000,2000000,71,3787000,Discharging,7.7,8.6,4.3,10.0,7.5,2224,2748,,,
