# fw=nextui-powersave workload=bloodyroar start=2026-09-13 21:16:07 soak=99C prelaunch=conservative/1200000 launch_up=6545.40 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
6558,37614,39021,38217,28600,1200000,1200000,73,3821000,Discharging,,,,,,,,,,
6560,38083,38284,39088,28600,1200000,1200000,73,3813000,Discharging,19.3,16.7,18.6,23.5,18.5,3088,3930,,,
6562,38552,38820,38485,28600,1200000,1200000,73,3808000,Discharging,22.3,16.8,14.3,33.6,24.0,3184,3994,,,
6565,38820,39155,39356,28600,1200000,1200000,73,3804000,Discharging,24.0,18.4,16.1,30.0,31.5,2197,2701,,,
6567,38887,39758,38887,28600,1200000,1200000,73,3818000,Discharging,20.9,19.3,18.8,16.7,28.4,3375,4120,,,
6569,38016,38753,38418,28600,1200000,1200000,73,3815000,Discharging,14.4,10.7,7.0,22.8,17.2,3017,4032,,,
6571,37748,39021,38351,28500,1200000,1200000,73,3804000,Discharging,14.8,9.3,7.9,17.8,24.1,3089,4027,,,
6573,38016,39088,38351,28600,1200000,1200000,73,3809000,Discharging,14.8,10.8,9.8,20.4,18.1,3092,4038,,,
6576,37480,39021,38083,28600,1200000,1200000,73,3808000,Discharging,14.3,11.3,8.0,22.4,14.8,2120,2729,,,
6578,37748,39021,38150,28600,1200000,1200000,73,3809000,Discharging,15.1,12.1,9.7,20.8,18.0,3281,4100,,,
6580,37882,38887,37949,28600,1200000,1200000,73,3813000,Discharging,14.5,8.1,7.4,20.2,22.6,3060,4050,,,
6582,37614,38485,38284,28600,1200000,1200000,73,3811000,Discharging,15.2,12.6,9.8,17.9,20.2,3140,4072,,,
6584,37882,38284,37748,28600,1008000,1200000,73,3807000,Discharging,15.2,10.3,9.1,19.3,21.6,3152,4072,,,
6587,37212,38753,38083,28600,1008000,1200000,73,3814000,Discharging,15.5,13.1,4.6,17.3,27.5,2109,2739,,,
6589,37547,38351,37949,28600,1008000,1200000,73,3813000,Discharging,16.5,10.7,16.1,18.8,21.1,3334,4152,,,
6591,37614,38418,38284,28600,1008000,1200000,73,3811000,Discharging,15.9,12.6,9.7,15.7,25.0,3155,4050,,,
6593,37480,38552,38418,28600,1008000,1200000,73,3811000,Discharging,16.5,13.4,9.8,23.0,19.0,3134,4064,,,
6595,37413,38552,38552,28600,1008000,1200000,73,3813000,Discharging,15.8,12.5,10.9,27.3,13.0,3178,4090,,,
6598,37346,38552,37681,28600,1008000,1200000,73,3813000,Discharging,16.6,12.8,15.8,21.2,16.1,2221,2751,,,
6600,37413,38552,38083,28600,1008000,1200000,73,3812000,Discharging,15.6,16.4,9.1,22.8,15.1,3215,4117,,,
6602,37480,38485,37882,28600,1008000,1200000,73,3814000,Discharging,16.2,13.5,9.7,18.3,22.5,3198,4112,,,
6604,37279,38150,38150,28600,1008000,1200000,73,3815000,Discharging,16.6,13.0,10.1,19.6,22.6,3118,4043,,,
6606,37480,38887,38083,28600,1008000,1200000,73,3811000,Discharging,15.7,10.3,8.8,20.2,24.1,3130,4085,,,
