# fw=nextui-powersave workload=gradius start=2026-09-13 20:34:50 soak=99C prelaunch=conservative/1200000 launch_up=4068.11 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
4081,37949,38619,37748,28100,1200000,1200000,81,3892000,Discharging,,,,,,,,,,
4083,37346,38820,38083,28100,1200000,1200000,81,3892000,Discharging,23.0,9.3,12.7,28.7,40.9,2337,2852,,,
4085,37882,38284,38016,28100,1200000,1200000,81,3887000,Discharging,23.1,8.5,10.2,41.6,32.9,2400,2896,,,
4087,37949,37748,37748,28100,1200000,1200000,81,3891000,Discharging,23.4,8.9,14.3,19.3,50.7,2442,2882,,,
4090,37815,38284,37614,28100,1200000,1200000,81,3890000,Discharging,23.2,13.6,5.6,33.2,39.4,1693,1968,,,
4092,37547,38217,38284,28100,1200000,1200000,81,3891000,Discharging,23.3,24.7,17.2,31.1,20.9,2454,2847,,,
4094,37681,38351,37949,28100,1200000,1200000,81,3891000,Discharging,23.1,9.8,5.6,38.1,38.0,2370,2860,,,
4096,37614,38418,38016,28100,1200000,1200000,81,3892000,Discharging,23.5,10.2,22.6,15.7,45.8,2445,2879,,,
4098,37681,38217,38083,28100,1200000,1200000,81,3891000,Discharging,23.0,12.7,10.6,23.1,44.7,2420,2886,,,
4100,37547,38351,37815,28100,1200000,1200000,81,3891000,Discharging,23.3,14.0,12.6,25.0,42.0,2553,2914,,,
4103,37480,38619,37949,28100,1200000,1200000,81,3891000,Discharging,23.4,9.9,14.8,38.8,29.5,1619,1917,,,
4105,37882,38418,38552,28100,1200000,1200000,81,3891000,Discharging,23.3,16.4,13.1,36.9,26.9,2402,2863,,,
4107,37413,38284,38083,28100,1200000,1200000,81,3891000,Discharging,22.6,9.3,20.0,11.6,49.1,2364,2840,,,
4109,37681,38552,38619,28100,1200000,1200000,81,3891000,Discharging,23.4,25.8,15.3,13.1,38.7,2592,2906,,,
4111,37413,38753,38217,28100,1200000,1200000,81,3889000,Discharging,22.7,13.5,9.3,39.7,28.9,2441,2884,,,
4113,37547,38619,37681,28100,1200000,1200000,81,3889000,Discharging,22.3,16.8,11.2,45.9,14.9,2404,2875,,,
4116,37681,38418,38284,28100,1200000,1200000,81,3891000,Discharging,23.1,9.3,5.6,46.8,29.8,1598,1932,,,
4118,37815,38217,37748,28100,1200000,1200000,81,3891000,Discharging,23.1,16.3,5.6,30.0,40.8,2420,2846,,,
4120,37614,38619,37882,28100,1200000,1200000,81,3891000,Discharging,22.8,16.7,8.8,47.4,18.6,2546,2940,,,
4122,38083,37815,38552,28100,1200000,1200000,81,3890000,Discharging,22.9,8.4,6.5,33.9,41.7,2364,2853,,,
4124,37681,38150,38083,28100,1200000,1200000,81,3891000,Discharging,23.0,9.8,4.7,42.7,34.1,2432,2882,,,
4127,37882,38552,38217,28100,1200000,1200000,81,3890000,Discharging,23.7,13.9,9.2,25.8,46.8,1609,1924,,,
4129,37547,38284,37815,28100,1200000,1200000,81,3887000,Discharging,23.0,8.5,13.1,38.9,31.0,2366,2849,,,
4131,37547,38887,37882,28100,1200000,1200000,81,3890000,Discharging,22.2,17.7,10.1,35.6,26.1,2594,2962,,,
4133,37681,38351,38284,28100,1200000,1200000,81,3889000,Discharging,20.0,10.6,6.1,23.7,38.2,2337,2850,,,
4135,37413,38552,37614,28100,1200000,1200000,81,3889000,Discharging,20.3,12.0,6.5,20.6,43.0,2399,2838,,,
4137,37614,38150,38083,28100,1200000,1200000,81,3890000,Discharging,20.3,19.6,8.3,13.8,38.2,2429,2857,,,
