# fw=nextui-powersave workload=mariokart start=2026-09-13 20:51:20 soak=99C prelaunch=conservative/1200000 launch_up=5058.73 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
5071,36944,37949,37078,28400,1008000,1200000,78,3858000,Discharging,,,,,,,,,,
5074,37011,38016,37413,28300,1008000,1200000,78,3858000,Discharging,13.2,11.7,9.7,13.7,16.6,1647,1913,,,
5076,36676,37681,37145,28300,816000,1200000,78,3857000,Discharging,15.2,9.6,12.2,14.6,25.2,2354,2788,,,
5078,36944,38016,37480,28400,816000,1200000,78,3858000,Discharging,14.9,9.6,10.0,18.2,21.6,2367,2757,,,
5080,36676,38083,37346,28400,816000,1200000,78,3859000,Discharging,15.4,10.9,13.5,18.7,19.3,2406,2783,,,
5082,36609,38217,37413,28300,816000,1200000,78,3859000,Discharging,14.8,10.6,9.9,21.0,17.4,2490,2798,,,
5085,36609,37949,37145,28400,816000,1200000,78,3859000,Discharging,14.8,10.0,9.0,12.8,27.3,1604,1875,,,
5087,36944,37882,37212,28400,816000,1200000,78,3859000,Discharging,15.4,10.5,7.7,26.5,16.7,2324,2773,,,
5089,36944,37748,37145,28400,816000,1200000,78,3854000,Discharging,14.8,8.3,7.2,28.1,15.4,2320,2784,,,
5091,36609,38217,36877,28300,816000,1200000,78,3859000,Discharging,15.6,10.1,7.3,18.1,26.6,2390,2804,,,
5094,36810,37279,37078,28300,816000,1200000,78,3859000,Discharging,15.4,12.3,9.0,18.5,22.4,1707,1897,,,
5096,36877,37949,37145,28400,816000,1200000,78,3856000,Discharging,15.6,10.6,17.7,21.4,11.7,2390,2821,,,
5098,36542,37882,37145,28300,816000,1200000,78,3860000,Discharging,15.0,8.8,10.4,16.8,23.6,2375,2786,,,
5100,36810,38217,37279,28400,816000,1200000,78,3853000,Discharging,15.5,9.6,5.5,34.7,12.2,2401,2804,,,
5103,36877,37815,37212,28400,816000,1200000,78,3857000,Discharging,15.2,12.7,8.6,14.9,24.3,1708,1900,,,
