# fw=nextui-powersave workload=sf2 start=2026-09-13 20:59:36 soak=99C prelaunch=conservative/1200000 launch_up=5554.70 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
5567,37547,38351,37815,28400,1200000,1200000,76,3847000,Discharging,,,,,,,,,,
5570,37212,38150,38284,28400,1200000,1200000,76,3844000,Discharging,17.6,15.0,10.6,21.4,23.1,1577,1857,,,
5572,37815,38150,38150,28400,1200000,1200000,76,3842000,Discharging,17.7,14.1,7.9,31.5,17.8,2395,2838,,,
5574,38016,38619,37614,28400,1200000,1200000,76,3843000,Discharging,19.1,13.0,11.6,24.5,26.4,2484,2858,,,
5576,37748,38217,37547,28400,1200000,1200000,76,3843000,Discharging,18.6,11.1,8.3,8.8,46.3,2353,2770,,,
5578,37346,38351,38217,28400,1200000,1200000,76,3844000,Discharging,18.7,9.9,5.1,23.5,36.1,2360,2826,,,
5580,37279,38485,37480,28400,1200000,1200000,76,3835000,Discharging,18.3,12.1,9.6,23.0,29.3,2342,2764,,,
5583,37547,38418,37413,28400,1200000,1200000,76,3841000,Discharging,19.0,9.8,9.2,32.1,24.3,1597,1859,,,
5585,37480,38485,37480,28400,1200000,1200000,76,3840000,Discharging,19.0,9.3,8.8,38.6,19.8,2474,2879,,,
5587,37547,38418,37413,28400,1200000,1200000,76,3841000,Discharging,19.0,8.9,6.0,18.0,42.9,2347,2762,,,
5589,37614,38418,37882,28400,1200000,1200000,76,3840000,Discharging,18.6,11.2,6.5,25.3,31.6,2338,2760,,,
5591,37078,38619,37949,28400,1200000,1200000,76,3844000,Discharging,18.2,11.4,9.2,41.7,10.1,2404,2828,,,
5594,37279,38619,37614,28400,1200000,1200000,76,3838000,Discharging,19.0,13.1,7.9,22.8,31.5,1562,1844,,,
5596,37547,38083,37882,28400,1200000,1200000,76,3846000,Discharging,18.5,9.8,4.7,44.0,16.0,2492,2854,,,
5598,37547,38418,37547,28400,1200000,1200000,76,3841000,Discharging,18.1,6.2,8.4,35.8,21.7,2364,2784,,,
5600,37748,38485,38016,28400,1200000,1200000,76,3841000,Discharging,20.3,14.3,9.2,19.8,38.6,2347,2758,,,
5602,37279,38284,38016,28400,1200000,1200000,76,3840000,Discharging,20.9,21.5,13.2,26.6,21.6,2428,2802,,,
5604,37815,38418,38083,28400,1200000,1200000,76,3840000,Discharging,20.3,11.3,5.6,43.1,20.4,2526,2842,,,
5607,38150,38418,38284,28400,1200000,1200000,76,3834000,Discharging,20.4,10.8,13.4,25.2,32.1,1600,1877,,,
5609,37413,38619,38485,28400,1200000,1200000,76,3842000,Discharging,20.6,8.0,10.0,11.7,53.0,2344,2802,,,
5611,37614,38753,38150,28400,1200000,1200000,76,3842000,Discharging,20.6,11.6,10.7,15.0,44.2,2342,2770,,,
5613,37681,38083,38485,28400,1200000,1200000,76,3841000,Discharging,21.0,12.7,9.1,21.4,41.8,2418,2816,,,
5615,37480,38619,37882,28400,1200000,1200000,76,3841000,Discharging,21.0,8.5,10.5,27.8,36.2,2552,2886,,,
5617,37279,38552,37413,28400,1200000,1200000,76,3840000,Discharging,20.6,15.0,13.0,26.3,28.4,2382,2789,,,
5620,37681,38686,37748,28400,1200000,1200000,76,3833000,Discharging,20.3,12.0,9.7,23.7,35.3,1580,1856,,,
5622,37614,38954,38150,28400,1200000,1200000,76,3843000,Discharging,18.3,13.2,9.7,21.8,28.8,2368,2774,,,
5624,37681,38016,37815,28400,1200000,1200000,76,3842000,Discharging,19.1,15.7,6.0,16.1,39.0,2377,2814,,,
5626,37681,38485,38083,28400,1200000,1200000,76,3843000,Discharging,18.4,8.9,7.4,31.8,24.7,2452,2842,,,
5628,37480,38485,37815,28400,1200000,1200000,76,3845000,Discharging,17.7,16.0,10.0,22.1,22.4,2404,2796,,,
5631,37547,38485,38083,28400,1200000,1200000,76,3842000,Discharging,17.4,14.8,7.4,16.2,32.1,1546,1856,,,
5633,37748,38150,37681,28400,1200000,1200000,76,3833000,Discharging,19.2,11.2,11.4,26.8,27.2,2384,2807,,,
5635,37681,38217,37681,28400,1200000,1200000,76,3840000,Discharging,18.2,16.7,12.2,9.4,33.8,2497,2839,,,
5637,37815,38418,38150,28400,1200000,1200000,76,3841000,Discharging,18.8,9.7,5.1,31.7,29.3,2420,2862,,,
5639,37614,38485,38217,28400,1200000,1200000,76,3841000,Discharging,18.4,18.8,7.0,28.2,19.4,2376,2782,,,
5641,37882,38217,38016,28400,1200000,1200000,76,3842000,Discharging,18.7,8.9,10.6,22.0,32.6,2382,2768,,,
5644,37681,38753,37748,28400,1200000,1200000,76,3842000,Discharging,19.0,14.4,7.0,29.0,25.3,1572,1858,,,
5646,37614,38619,38150,28400,1200000,1200000,76,3833000,Discharging,18.6,10.3,6.0,18.2,39.6,2433,2808,,,
5648,37681,38619,38016,28400,1200000,1200000,76,3838000,Discharging,19.1,11.1,13.5,22.2,29.5,2393,2826,,,
5650,37614,38485,38284,28400,1200000,1200000,76,3842000,Discharging,18.1,12.1,6.8,20.8,33.2,2314,2774,,,
5652,38284,38753,38284,28400,1200000,1200000,76,3841000,Discharging,19.2,10.0,8.3,27.9,29.4,2377,2792,,,
5655,37547,38217,38217,28400,1200000,1200000,76,3842000,Discharging,19.0,8.8,6.0,24.3,38.0,1543,1840,,,
5657,37681,38150,37815,28400,1200000,1200000,76,3844000,Discharging,18.2,8.9,7.9,33.2,22.0,2522,2856,,,
5659,37681,38619,38217,28400,1200000,1200000,76,3831000,Discharging,19.2,10.9,8.8,32.9,23.5,2383,2808,,,
5661,37681,38552,38217,28400,1200000,1200000,76,3838000,Discharging,19.3,12.6,9.8,29.4,25.0,2310,2750,,,
5663,37815,38619,38150,28400,1200000,1200000,76,3837000,Discharging,19.2,11.1,5.6,41.7,19.6,2411,2830,,,
5665,37882,38284,37748,28400,1200000,1200000,76,3837000,Discharging,19.9,18.7,5.1,38.4,16.8,2496,2852,,,
5668,37681,38217,38150,28400,1200000,1200000,76,3838000,Discharging,19.8,8.8,7.4,22.3,40.6,1618,1890,,,
5670,38083,38351,38284,28400,1200000,1200000,76,3837000,Discharging,19.5,10.7,10.6,30.0,26.7,2340,2766,,,
5672,37614,38418,37949,28400,1200000,1200000,76,3833000,Discharging,19.4,13.0,10.1,11.6,41.7,2362,2784,,,
5674,38284,38753,37949,28400,1200000,1200000,76,3839000,Discharging,19.3,10.8,8.8,28.1,29.3,2384,2812,,,
5676,37949,38485,38552,28400,1200000,1200000,76,3839000,Discharging,19.2,9.4,3.3,22.0,41.5,2532,2878,,,
5679,38284,38820,38150,28400,1200000,1200000,76,3838000,Discharging,19.5,18.3,11.5,25.6,22.1,1557,1839,,,
5681,38016,38351,38284,28400,1200000,1200000,76,3838000,Discharging,18.9,14.4,7.0,6.5,47.5,2407,2828,,,
5683,37480,38150,38351,28400,1200000,1200000,76,3840000,Discharging,18.5,10.7,14.0,16.7,33.3,2362,2767,,,
5685,37279,38552,38150,28500,1200000,1200000,76,3839000,Discharging,18.8,13.8,7.0,17.4,37.2,2336,2748,,,
5687,37078,38351,37815,28400,1200000,1200000,76,3844000,Discharging,17.8,12.2,7.3,26.4,24.7,2514,2894,,,
5689,37815,38217,38016,28400,1200000,1200000,76,3841000,Discharging,18.1,9.3,14.8,11.6,35.6,2344,2770,,,
5692,37413,38418,37547,28400,1200000,1200000,76,3841000,Discharging,18.1,12.1,6.9,35.8,18.0,1605,1854,,,
5694,37748,38552,38150,28400,1200000,1200000,76,3840000,Discharging,18.7,11.6,17.1,16.7,30.7,2360,2782,,,
5696,37212,38418,38284,28400,1200000,1200000,76,3841000,Discharging,18.9,9.3,8.7,12.5,44.7,2338,2776,,,
5698,37279,38284,38150,28400,1200000,1200000,76,3838000,Discharging,19.2,9.4,7.9,37.3,21.7,2556,2874,,,
5700,37547,38485,38284,28400,1200000,1200000,76,3837000,Discharging,18.7,8.8,4.7,25.2,35.3,2340,2796,,,
5702,37413,38351,38284,28400,1200000,1200000,76,3837000,Discharging,18.6,8.8,8.3,16.3,40.7,2338,2760,,,
5705,37547,38552,38418,28400,1200000,1200000,76,3837000,Discharging,18.7,8.4,7.4,12.4,47.9,1561,1870,,,
5707,37614,38686,37681,28400,1200000,1200000,76,3838000,Discharging,18.0,7.5,8.9,22.5,32.9,2522,2876,,,
5709,37346,38552,38016,28400,1200000,1200000,76,3838000,Discharging,18.7,12.1,13.0,31.2,17.8,2373,2804,,,
5711,37547,38351,38016,28400,1200000,1200000,76,3842000,Discharging,18.5,15.1,9.8,12.6,35.6,2330,2742,,,
5713,38150,38351,38351,28400,1200000,1200000,76,3841000,Discharging,19.0,8.0,13.8,34.9,19.6,2536,3076,,,
5716,37815,38351,38217,28400,1200000,1200000,76,3840000,Discharging,18.1,10.6,5.1,28.7,27.6,1567,1863,,,
5718,37614,38284,37949,28400,1200000,1200000,76,3837000,Discharging,19.2,13.0,8.8,10.9,43.6,2865,3506,,,
