# fw=nextui-powersave workload=sonic start=2026-09-13 20:43:06 soak=99C prelaunch=conservative/1200000 launch_up=4564.68 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
4577,37078,38485,37413,28200,1200000,1200000,80,3872000,Discharging,,,,,,,,,,
4580,37480,37882,37882,28300,1200000,1200000,80,3871000,Discharging,14.9,11.7,7.0,21.7,19.4,1999,2587,,,
4582,37480,38485,37547,28300,1200000,1200000,80,3868000,Discharging,15.2,11.3,8.6,12.2,29.0,3138,3900,,,
4584,37480,38217,37681,28300,1200000,1200000,80,3878000,Discharging,14.1,11.2,4.2,21.1,19.9,2934,3840,,,
4586,37078,38619,38016,28300,1200000,1200000,80,3874000,Discharging,15.4,11.3,10.7,14.0,25.2,3014,3874,,,
4588,36944,38284,37480,28300,1200000,1200000,80,3873000,Discharging,15.6,16.0,11.6,14.1,21.4,3052,3848,,,
4590,37346,38418,37949,28200,1200000,1200000,80,3873000,Discharging,15.7,10.4,8.8,22.5,20.5,3114,3902,,,
4593,37279,38284,38150,28300,1200000,1200000,80,3873000,Discharging,16.5,15.8,10.7,19.0,20.4,2085,2598,,,
4595,37212,38351,37480,28300,1200000,1200000,80,3866000,Discharging,15.3,12.4,13.8,19.0,16.4,3000,3836,,,
4597,37346,38418,37748,28200,1200000,1200000,80,3874000,Discharging,16.0,14.4,7.9,18.4,23.3,3006,3846,,,
4599,37011,38284,37346,28300,1200000,1200000,80,3873000,Discharging,15.6,15.5,9.6,13.9,23.3,3006,3866,,,
4601,37815,38418,37748,28300,1200000,1200000,79,3872000,Discharging,17.6,14.2,8.8,29.2,18.0,4166,4234,,,
4603,37078,38150,37681,28300,1200000,1200000,79,3873000,Discharging,15.5,13.1,8.3,24.7,16.1,3010,3754,,,
4606,37279,38552,37547,28300,1200000,1200000,79,3874000,Discharging,15.3,13.3,7.0,25.3,14.4,2006,2528,,,
4608,37547,38351,37480,28300,1200000,1200000,79,3864000,Discharging,16.2,12.4,6.1,22.0,25.1,2984,3754,,,
4610,37748,38753,37547,28300,1200000,1200000,79,3871000,Discharging,15.7,9.9,6.0,19.8,27.3,2958,3748,,,
4612,37547,38351,37681,28300,1200000,1200000,79,3870000,Discharging,16.6,13.1,6.5,20.7,25.8,3111,3800,,,
4614,37346,38284,38016,28300,1200000,1200000,79,3870000,Discharging,15.9,8.5,8.3,21.9,25.3,2939,3726,,,
4617,37614,38619,38083,28300,1200000,1200000,79,3873000,Discharging,16.2,15.2,7.0,16.0,25.7,2029,2517,,,
4619,37480,38351,37346,28300,1200000,1200000,79,3868000,Discharging,13.8,9.9,6.5,11.0,27.3,2894,3708,,,
4621,37078,38418,37681,28300,1200000,1200000,79,3864000,Discharging,13.5,9.4,7.0,16.2,21.6,2991,3778,,,
4623,37279,38887,37614,28200,1200000,1200000,79,3876000,Discharging,14.2,11.7,8.8,18.5,16.4,3088,3808,,,
4625,37346,38217,37949,28300,1200000,1200000,79,3872000,Discharging,14.0,11.8,7.0,19.9,17.6,2988,3766,,,
4627,37748,38485,37614,28300,1200000,1200000,79,3871000,Discharging,15.5,12.7,9.3,22.4,17.2,3010,3740,,,
4630,37212,38351,37614,28300,1200000,1200000,79,3870000,Discharging,14.6,12.6,7.0,20.8,17.8,2014,2521,,,
4632,37212,38619,37681,28300,1200000,1200000,79,3870000,Discharging,14.8,12.0,11.1,19.7,16.4,3168,3841,,,
4634,37279,38753,38083,28300,1200000,1200000,79,3871000,Discharging,14.8,10.3,8.8,22.8,17.9,2998,3786,,,
4636,37614,38418,37346,28300,1200000,1200000,79,3873000,Discharging,15.0,11.5,7.1,22.1,18.1,4992,7804,,,
4639,37882,38351,38083,28300,1200000,1200000,79,3873000,Discharging,15.8,14.2,7.5,22.7,19.2,4171,6735,,,
4641,37279,38485,37748,28300,1200000,1200000,79,3869000,Discharging,15.7,14.6,8.6,24.9,14.7,6831,11226,,,
4644,37413,38552,37681,28300,1200000,1200000,79,3869000,Discharging,15.7,13.4,5.8,12.6,31.4,4519,7357,,,
4646,36944,38753,38083,28300,1200000,1200000,79,3864000,Discharging,15.9,17.3,7.4,17.1,21.7,6771,11114,,,
4648,37346,38150,38284,28300,1200000,1200000,79,3871000,Discharging,15.9,12.0,6.3,26.7,17.5,5678,9078,,,
4651,37346,38351,38284,28300,1200000,1200000,79,3871000,Discharging,16.6,16.1,7.7,19.8,22.4,2141,2757,,,
4653,37346,38753,37681,28300,1200000,1200000,79,3870000,Discharging,16.0,16.3,10.6,16.9,21.1,3262,4112,,,
4655,37480,38552,37681,28300,1200000,1200000,79,3865000,Discharging,16.1,14.7,7.8,21.9,18.8,3095,3924,,,
4657,37480,38485,37949,28300,1200000,1200000,79,3872000,Discharging,16.9,11.5,10.9,18.2,26.5,3161,4094,,,
4660,37748,38418,37681,28300,1200000,1200000,79,3871000,Discharging,16.6,16.8,6.3,22.6,20.9,2121,2810,,,
4662,37681,38418,38083,28300,1200000,1200000,79,3872000,Discharging,17.1,11.1,9.9,29.4,18.6,3194,4126,,,
4664,37748,38954,37949,28300,1200000,1200000,79,3871000,Discharging,16.5,19.9,7.7,16.4,22.4,3218,4067,,,
4666,37480,38552,37815,28300,1200000,1200000,79,3873000,Discharging,16.3,16.8,7.8,16.4,24.2,2980,3790,,,
4668,37681,38217,37480,28300,1200000,1200000,79,3867000,Discharging,14.5,16.4,8.1,20.9,13.2,3218,4259,,,
4671,37212,37882,37748,28300,1200000,1200000,79,3868000,Discharging,14.0,12.0,10.6,16.8,16.2,2063,2666,,,
4673,37346,37949,37413,28300,1200000,1200000,79,3874000,Discharging,14.9,13.8,9.4,13.4,24.1,3397,4320,,,
4675,37882,38351,38217,28300,1200000,1200000,79,3870000,Discharging,14.7,13.3,7.7,18.3,19.3,3074,3964,,,
4677,37212,38485,38217,28300,1200000,1200000,79,3869000,Discharging,15.5,17.4,9.6,17.4,16.9,3562,4752,,,
