# fw=nextui-powersave workload=thps2 start=2026-09-13 21:07:50 soak=99C prelaunch=conservative/1200000 launch_up=6048.84 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
6062,37815,38418,38284,28500,1200000,1200000,75,3834000,Discharging,,,,,,,,,,
6064,37949,38485,38016,28400,1200000,1200000,75,3833000,Discharging,14.5,11.7,8.7,13.9,23.1,3081,4043,,,
6066,37413,38284,38217,28500,1008000,1200000,75,3831000,Discharging,15.8,13.6,14.3,19.7,16.1,3348,4172,,,
6068,37413,38351,38083,28500,1008000,1200000,75,3830000,Discharging,15.7,9.4,8.2,21.2,23.4,3144,4091,,,
6070,37279,38351,37547,28500,1008000,1200000,75,3829000,Discharging,15.8,12.0,8.8,17.2,25.3,3150,4094,,,
6072,37212,38284,37279,28400,1008000,1200000,75,3831000,Discharging,16.2,10.3,8.2,20.8,25.1,3105,4114,,,
6075,37547,38418,37681,28500,1008000,1200000,75,3832000,Discharging,16.1,14.4,10.0,17.4,22.4,2152,2765,,,
6077,37547,38485,37547,28500,1008000,1200000,75,3826000,Discharging,16.1,11.3,10.0,24.9,18.4,3300,4146,,,
6079,37413,38083,37748,28500,1008000,1200000,75,3831000,Discharging,16.2,11.1,10.5,23.5,19.4,3100,4070,,,
6081,36676,38217,37547,28400,1008000,1200000,75,3832000,Discharging,16.4,13.1,10.5,21.8,20.0,3234,4096,,,
6083,37011,38686,37748,28500,1008000,1200000,75,3832000,Discharging,15.7,13.0,8.2,14.0,26.9,3141,4079,,,
6086,37346,38351,37212,28500,1008000,1200000,75,3831000,Discharging,16.0,13.6,14.3,20.9,16.1,2227,2748,,,
6088,37279,37949,37815,28500,1008000,1200000,75,3829000,Discharging,15.7,10.8,10.6,20.9,19.6,3181,4110,,,
6090,37346,38150,37346,28400,1008000,1200000,75,3834000,Discharging,15.4,18.7,7.4,16.7,19.3,3206,4133,,,
6092,37011,38418,37681,28500,1008000,1200000,75,3833000,Discharging,16.6,18.0,13.3,18.2,17.5,3236,4153,,,
6095,37011,38217,37748,28500,1008000,1200000,75,3830000,Discharging,15.4,13.0,10.6,23.0,13.9,2080,2682,,,
6097,37078,38351,37748,28500,1008000,1200000,75,3827000,Discharging,17.2,12.1,10.8,26.0,20.5,3345,4142,,,
6099,37145,38619,37614,28500,816000,1200000,75,3822000,Discharging,16.4,17.4,14.7,17.3,15.8,3184,4069,,,
6101,37681,38619,37748,28500,816000,1200000,75,3826000,Discharging,19.4,14.7,11.8,25.9,25.8,3215,4112,,,
6103,37279,38485,37748,28500,816000,1200000,75,3826000,Discharging,18.5,13.4,9.5,26.9,23.8,3206,4122,,,
6106,37346,38284,37681,28500,816000,1200000,75,3828000,Discharging,18.8,17.5,11.8,29.0,17.1,2152,2777,,,
6108,37011,38016,37614,28500,816000,1200000,75,3830000,Discharging,18.8,17.7,10.6,27.1,18.6,3347,4172,,,
6110,36810,38150,37614,28500,816000,1200000,75,3824000,Discharging,18.4,15.6,14.5,21.7,23.2,3298,4183,,,
6112,36944,37815,37413,28500,816000,1200000,75,3825000,Discharging,19.0,17.6,8.2,20.4,29.0,3284,4181,,,
6115,37212,38485,37480,28500,816000,1200000,75,3828000,Discharging,18.1,16.6,11.5,19.4,24.8,2167,2771,,,
6117,37279,38217,37547,28500,816000,1200000,75,3824000,Discharging,19.2,13.3,15.6,26.9,20.8,3394,4226,,,
6119,37413,38418,37346,28500,816000,1200000,75,3822000,Discharging,18.3,15.9,11.0,28.1,17.6,3248,4144,,,
6121,37078,38418,37480,28500,816000,1200000,75,3826000,Discharging,18.9,17.7,10.0,21.5,26.5,3286,4142,,,
6123,37212,38753,37547,28500,816000,1200000,75,3826000,Discharging,18.3,18.3,10.9,19.8,24.2,3286,4182,,,
6126,37078,38418,37681,28500,816000,1200000,75,3825000,Discharging,18.5,14.7,10.1,30.7,18.5,2140,2760,,,
6128,37078,38619,37614,28500,816000,1200000,75,3826000,Discharging,18.9,17.0,12.8,24.1,21.6,3399,4210,,,
6130,37547,38351,37547,28500,816000,1200000,75,3828000,Discharging,18.2,14.0,10.5,24.4,22.7,3264,4184,,,
6132,37212,38217,37145,28500,816000,1200000,75,3827000,Discharging,19.0,13.8,13.4,29.7,18.8,3252,4152,,,
6135,37078,38217,37547,28500,816000,1200000,75,3827000,Discharging,18.5,12.2,8.6,29.1,24.6,2158,2774,,,
6137,37547,38753,37748,28500,816000,1200000,75,3826000,Discharging,19.2,14.5,12.7,23.8,24.8,3421,4224,,,
6139,37078,37949,37748,28500,816000,1200000,75,3823000,Discharging,18.3,18.4,15.9,16.4,22.8,3235,4130,,,
6141,37413,38284,37413,28500,816000,1200000,75,3823000,Discharging,18.9,16.5,10.9,25.1,23.2,3246,4148,,,
6144,36944,38619,37882,28500,816000,1200000,74,3825000,Discharging,19.6,24.1,16.1,17.3,20.9,2318,2991,,,
6146,37346,38485,38083,28500,816000,1200000,74,3828000,Discharging,18.4,15.3,15.6,20.0,22.6,3226,4124,,,
6148,37413,38016,37681,28500,816000,1200000,74,3828000,Discharging,19.3,16.1,12.6,28.1,19.9,3424,4210,,,
6150,37346,38083,37614,28500,816000,1200000,74,3823000,Discharging,18.4,15.5,8.8,27.1,22.5,3250,4150,,,
6153,37614,38083,37547,28500,816000,1200000,74,3824000,Discharging,18.8,13.4,13.5,25.6,22.2,2140,2773,,,
6155,37279,38083,37882,28500,816000,1200000,74,3827000,Discharging,18.6,17.4,9.5,19.6,28.3,3197,4110,,,
6157,37145,38284,37614,28500,816000,1200000,74,3822000,Discharging,19.3,17.3,10.0,31.2,17.6,3314,4118,,,
6159,37145,38150,37949,28500,816000,1200000,74,3819000,Discharging,18.9,18.1,11.7,27.0,19.5,3281,4154,,,
6161,37279,38016,37413,28500,816000,1200000,74,3826000,Discharging,19.0,11.6,20.8,20.7,22.1,3277,4172,,,
6164,37078,38351,37882,28500,816000,1200000,74,3823000,Discharging,18.4,18.1,10.8,25.5,20.2,2170,2773,,,
6166,36810,37882,37614,28500,816000,1200000,74,3823000,Discharging,18.6,16.1,11.4,23.4,22.3,3282,4142,,,
6168,37145,38150,37681,28500,816000,1200000,74,3823000,Discharging,19.1,12.7,12.3,30.6,21.5,3357,4225,,,
6170,37413,38552,37614,28500,816000,1200000,74,3827000,Discharging,18.6,12.8,11.8,27.6,22.4,3254,4206,,,
6173,37145,37882,37413,28500,816000,1200000,74,3825000,Discharging,19.0,13.3,11.0,28.0,22.7,2152,2770,,,
6175,37011,38083,37413,28500,816000,1200000,74,3825000,Discharging,18.3,10.2,11.7,25.6,25.9,3232,4153,,,
6177,37212,37681,37614,28500,816000,1200000,74,3824000,Discharging,18.9,16.8,11.5,28.1,18.7,3212,4120,,,
6179,36944,38284,37547,28500,816000,1200000,74,3825000,Discharging,18.4,14.5,8.7,33.0,17.0,3360,4200,,,
6182,37413,38418,37614,28500,816000,1200000,74,3825000,Discharging,19.0,14.0,14.7,22.1,25.5,2203,2801,,,
6184,37279,38284,37748,28500,816000,1200000,74,3826000,Discharging,18.0,11.0,20.4,23.2,17.4,3246,4177,,,
6186,36743,38485,37815,28500,816000,1200000,74,3828000,Discharging,16.2,17.0,11.4,20.9,16.3,3266,4128,,,
6188,37011,38351,37748,28500,816000,1200000,74,3827000,Discharging,18.7,14.7,13.1,30.0,16.4,3354,4155,,,
6191,37748,38686,37413,28500,816000,1200000,74,3824000,Discharging,18.4,18.3,11.2,25.5,18.6,2138,2649,,,
6193,37145,38552,38083,28500,816000,1200000,74,3822000,Discharging,23.3,22.1,17.9,24.7,28.6,3358,4120,,,
6195,38217,38284,37614,28500,816000,1200000,74,3826000,Discharging,20.7,13.8,16.4,21.7,30.0,3214,3958,,,
6197,37413,38284,37882,28500,816000,1200000,74,3823000,Discharging,21.0,17.7,15.9,28.4,21.5,3206,3958,,,
6200,37815,38284,37681,28500,816000,1200000,74,3821000,Discharging,20.7,17.8,12.7,27.6,24.4,2174,2652,,,
6202,37413,38887,38016,28500,816000,1200000,74,3823000,Discharging,20.9,18.6,18.1,26.0,21.4,3222,3928,,,
6204,37748,38083,38016,28500,816000,1200000,74,3823000,Discharging,20.3,19.6,17.5,23.3,21.5,5935,9200,,,
6207,37078,38485,38083,28500,816000,1200000,74,3822000,Discharging,20.5,22.4,15.6,20.6,23.0,5041,8245,,,
6209,37346,38351,37547,28500,816000,1200000,74,3820000,Discharging,21.1,20.6,16.3,24.7,23.2,7142,11359,,,
