# fw=nextui-powersave workload=zelda start=2026-09-13 20:26:32 soak=99C prelaunch=conservative/1200000 launch_up=3570.85 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
3584,36877,38418,37212,27900,1008000,1200000,83,3906000,Discharging,,,,,,,,,,
3586,36877,38083,37212,27900,1008000,1200000,83,3906000,Discharging,13.3,10.1,7.3,16.1,20.6,2358,2882,,,
3588,36944,37949,37145,27900,1008000,1200000,83,3901000,Discharging,13.8,12.6,6.9,13.4,22.4,2508,2936,,,
3590,36877,37815,37279,27900,1008000,1200000,83,3905000,Discharging,12.2,12.0,6.9,9.3,19.4,2356,2882,,,
3592,36877,37949,37279,27900,1008000,1200000,83,3901000,Discharging,13.7,12.8,11.0,22.2,10.0,2424,2901,,,
3595,36877,38150,37346,27900,816000,1200000,83,3905000,Discharging,13.1,13.0,6.4,16.1,17.1,1597,1932,,,
3597,36877,37949,37346,27900,816000,1200000,83,3906000,Discharging,16.1,11.9,9.9,24.3,17.9,2404,2880,,,
3599,37011,37815,37212,27900,816000,1200000,83,3905000,Discharging,16.2,14.2,12.7,16.7,21.0,2508,2894,,,
3601,36609,37815,37078,27900,816000,1200000,83,3903000,Discharging,15.2,10.6,10.0,24.5,15.8,2314,2823,,,
3603,36743,37614,37145,27900,816000,1200000,83,3907000,Discharging,15.8,13.9,8.2,21.8,19.1,2418,2880,,,
3606,36676,37413,37413,27900,816000,1200000,83,3907000,Discharging,15.4,10.3,12.2,24.1,14.9,1577,1898,,,
3608,36743,38016,37212,27900,816000,1200000,83,3907000,Discharging,16.0,15.7,12.3,19.5,16.8,2582,2930,,,
3610,36877,38016,36944,27900,816000,1200000,83,3907000,Discharging,15.6,13.2,9.5,25.6,13.8,2384,2862,,,
3612,36475,38083,37346,27900,816000,1200000,83,3906000,Discharging,15.9,13.4,11.3,24.8,13.6,2426,2864,,,
3615,36676,37815,36877,27900,816000,1200000,83,3906000,Discharging,14.8,12.3,10.0,21.4,15.8,1573,1909,,,
3617,36944,37815,37279,27900,816000,1200000,83,3906000,Discharging,14.7,11.1,8.1,12.3,27.0,2416,2868,,,
3619,36676,37547,37279,27900,816000,1200000,83,3906000,Discharging,15.0,14.5,9.6,18.4,18.6,2536,2934,,,
3621,36140,37547,36944,27900,816000,1200000,83,3903000,Discharging,14.1,11.5,7.7,19.5,16.9,2338,2873,,,
3623,36810,37949,37346,27900,816000,1200000,83,3906000,Discharging,14.8,12.7,5.4,19.9,21.2,2401,2881,,,
3626,36475,38150,37413,27900,816000,1200000,83,3905000,Discharging,14.1,11.1,8.2,16.4,19.9,1589,1916,,,
3628,36676,37882,37078,27900,816000,1200000,83,3904000,Discharging,14.9,17.7,15.8,12.7,13.2,2572,2922,,,
3630,36810,37547,37346,27900,816000,1200000,83,3903000,Discharging,14.5,13.8,9.0,14.9,20.4,2368,2857,,,
3632,36609,38150,37279,27900,816000,1200000,83,3906000,Discharging,14.7,16.7,10.0,13.2,19.4,2426,2856,,,
3635,36609,37547,36810,27900,600000,1200000,83,3906000,Discharging,15.9,16.6,11.9,17.4,16.4,1611,1952,,,
3637,36944,38083,37413,28000,600000,1200000,83,3903000,Discharging,18.2,15.8,11.8,22.8,23.5,2549,2971,,,
3639,36877,37413,37145,27900,600000,1200000,83,3905000,Discharging,18.8,20.1,15.2,25.4,13.9,2670,3018,,,
3641,36341,37346,36743,27900,600000,1200000,83,3904000,Discharging,18.3,14.7,12.0,24.8,21.1,2456,2960,,,
3644,36408,37949,37212,28000,600000,1200000,83,3905000,Discharging,18.8,26.5,12.8,21.2,14.7,1765,2022,,,
3646,36274,37882,37078,28000,600000,1200000,82,3905000,Discharging,19.4,16.6,16.0,24.2,20.7,2670,3299,,,
3648,36944,38150,37145,28000,600000,1200000,82,3901000,Discharging,19.1,17.6,17.6,21.5,19.9,2666,3041,,,
3651,36877,37547,37078,28000,600000,1200000,82,3904000,Discharging,18.3,13.3,15.6,23.0,21.1,1655,1945,,,
3653,36274,37547,37212,28000,600000,1200000,82,3904000,Discharging,19.1,17.9,16.9,15.0,26.6,2549,2993,,,
3655,36542,37815,37078,27900,600000,1200000,82,3903000,Discharging,18.5,16.4,10.6,24.7,21.8,2496,2974,,,
3657,36341,38016,37078,28000,600000,1200000,82,3905000,Discharging,18.1,15.2,14.6,18.8,23.6,2496,2985,,,
3660,36676,37346,37078,28000,600000,1200000,82,3906000,Discharging,18.8,20.7,12.9,24.7,17.3,1794,2005,,,
3662,36475,37815,37681,28000,600000,1200000,82,3905000,Discharging,18.6,16.1,12.7,22.9,22.5,2557,2981,,,
3664,36274,37949,36944,27900,600000,1200000,82,3905000,Discharging,19.0,16.1,14.7,24.8,21.0,2482,2934,,,
3667,36475,37882,37279,28000,600000,1200000,82,3902000,Discharging,18.2,16.6,9.4,23.1,23.5,1678,2005,,,
3669,36408,38217,37011,28000,600000,1200000,82,3902000,Discharging,19.4,19.6,9.4,17.7,30.1,2676,3060,,,
3671,36609,37480,37279,28000,600000,1200000,82,3903000,Discharging,18.3,14.0,16.2,12.4,30.6,2452,2950,,,
3674,36542,37480,37078,27900,600000,1200000,82,3901000,Discharging,19.6,17.1,17.3,16.4,27.8,1713,1980,,,
3676,36542,37815,37011,28000,600000,1200000,82,3906000,Discharging,19.6,18.3,15.9,22.7,21.6,2476,2950,,,
3678,36743,37480,36810,27900,600000,1200000,82,3905000,Discharging,20.8,17.6,13.7,18.2,33.2,2578,3027,,,
3680,36341,37949,37212,27900,600000,1200000,82,3905000,Discharging,20.1,21.6,13.3,19.4,25.7,2696,3039,,,
3683,36408,37748,37413,28000,600000,1200000,82,3904000,Discharging,19.9,25.3,12.1,24.5,18.1,1700,1973,,,
3685,36542,37681,37145,28000,600000,1200000,82,3904000,Discharging,20.9,19.4,13.3,16.7,33.6,2554,2976,,,
3687,36475,37882,37011,28000,600000,1200000,82,3904000,Discharging,20.1,19.9,9.6,20.5,30.8,2536,2966,,,
3690,36341,37614,37011,27900,600000,1200000,82,3903000,Discharging,19.7,18.1,14.5,28.6,17.3,1768,2005,,,
3692,36408,37748,37346,28000,600000,1200000,82,3902000,Discharging,20.0,17.4,10.6,24.3,27.6,2566,2979,,,
3694,36542,37413,37279,28000,600000,1200000,82,3901000,Discharging,19.9,14.3,12.8,31.7,21.1,2496,2972,,,
3696,36073,38016,36944,28000,600000,1200000,82,3901000,Discharging,20.2,19.6,15.1,13.3,32.5,2566,3000,,,
3699,36810,37815,37011,28000,600000,1200000,82,3905000,Discharging,20.4,18.9,14.5,19.0,29.1,1692,1964,,,
3701,36609,37681,37145,28000,600000,1200000,82,3904000,Discharging,20.0,17.7,15.0,23.9,23.2,2619,3022,,,
3703,36877,37681,37413,28000,600000,1200000,82,3904000,Discharging,20.5,26.3,12.4,23.3,19.5,2653,2992,,,
3706,36609,37882,36810,28000,600000,1200000,82,3899000,Discharging,20.6,22.0,13.0,27.3,21.1,1669,1956,,,
3708,36609,38016,36877,28000,600000,1200000,82,3903000,Discharging,19.8,22.1,16.4,23.5,17.1,2572,2974,,,
3710,36542,37681,37212,28000,600000,1200000,82,3902000,Discharging,21.2,17.0,18.5,31.0,18.1,2664,3017,,,
3712,36676,37480,36877,28000,600000,1200000,82,3904000,Discharging,19.4,15.7,11.7,26.9,22.4,2546,2983,,,
3715,36207,37547,36810,28000,600000,1200000,82,3903000,Discharging,19.4,19.8,15.7,16.3,27.3,1673,1970,,,
3717,36676,37815,36810,28000,600000,1200000,82,3903000,Discharging,18.6,16.6,11.7,31.9,13.7,2495,2988,,,
3719,36676,37346,37145,28000,600000,1200000,82,3901000,Discharging,19.1,20.3,17.2,17.4,22.3,2590,2993,,,
