# fw=nextui-preflight workload=zelda start=2026-09-13 19:27:29 soak=99C prelaunch=performance/2000000 launch_up=27.40 max0=1200000 gov=conservative devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
40,24482,25755,25889,19900,1008000,1200000,94,4015000,Discharging,,,,,,,,,,
42,24683,26157,24951,20000,1008000,1200000,94,4017000,Discharging,13.4,8.9,8.7,22.4,13.6,2346,2897,,,
44,24884,26157,25487,20000,1008000,1200000,94,4015000,Discharging,14.1,9.7,6.5,15.3,24.0,2476,2915,,,
47,25085,25889,25286,20000,1008000,1200000,94,4020000,Discharging,12.6,11.9,10.1,8.2,20.5,1577,1909,,,
49,24683,26157,25487,20000,1008000,1200000,94,4014000,Discharging,13.7,9.7,10.1,16.8,18.3,2332,2856,,,
51,24348,26291,25554,20000,816000,1200000,94,4013000,Discharging,14.3,13.9,9.1,14.5,18.9,2336,2832,,,
53,25018,26090,25219,20100,816000,1200000,94,4015000,Discharging,15.4,11.5,11.2,22.3,16.9,2450,2872,,,
56,24750,26023,25554,20100,816000,1200000,94,4013000,Discharging,16.2,10.5,11.8,22.5,20.4,1690,1936,,,
58,24951,26224,25487,20100,816000,1200000,94,4014000,Discharging,15.2,12.7,7.3,17.7,24.1,2352,2840,,,
60,25085,26425,26224,20100,816000,1200000,94,4008000,Discharging,15.7,11.1,9.6,22.7,18.7,2398,2876,,,
62,25353,26224,25420,20100,816000,1200000,94,4014000,Discharging,15.6,14.5,10.4,19.1,18.2,2380,2832,,,
64,25420,26492,26023,20100,816000,1200000,94,4014000,Discharging,16.2,17.0,9.3,15.8,22.3,2575,2932,,,
67,25219,26358,25822,20100,816000,1200000,94,4013000,Discharging,15.3,13.5,7.3,18.5,21.4,1601,1923,,,
69,25487,27028,26023,20100,816000,1200000,94,4009000,Discharging,15.4,15.1,10.0,15.8,20.5,2414,2855,,,
71,24750,26827,25822,20100,816000,1200000,94,4013000,Discharging,15.4,14.1,8.6,28.8,10.8,2392,2866,,,
73,24951,26693,26224,20100,816000,1200000,94,4014000,Discharging,14.3,14.2,10.1,12.7,19.2,2414,2870,,,
76,25353,26961,25688,20200,816000,1200000,94,4012000,Discharging,15.1,16.6,11.4,20.7,11.4,1712,1946,,,
78,25420,26425,26693,20200,600000,1200000,94,4013000,Discharging,15.4,15.6,11.6,14.2,20.8,2448,2932,,,
80,25420,26894,26358,20200,600000,1200000,94,4014000,Discharging,18.7,19.5,19.3,20.4,15.5,2565,3000,,,
82,25487,26626,25956,20200,600000,1200000,94,4011000,Discharging,18.0,14.3,10.2,23.8,23.1,2530,2990,,,
85,25889,26760,26358,20200,600000,1200000,94,4011000,Discharging,18.7,17.0,15.6,18.6,23.3,1789,2017,,,
87,25822,27162,26693,20200,600000,1200000,94,4007000,Discharging,18.7,18.6,11.4,22.1,23.5,2516,2949,,,
89,25889,26827,26291,20200,600000,1200000,94,4010000,Discharging,19.0,16.8,15.7,17.0,26.3,2526,2985,,,
92,25219,27028,26492,20200,600000,1200000,94,4011000,Discharging,18.3,14.4,15.9,18.6,23.0,1643,1966,,,
94,25219,26961,26023,20300,600000,1200000,94,4009000,Discharging,17.8,13.0,10.9,16.5,31.4,2534,3013,,,
96,25286,26693,26224,20200,600000,1200000,94,4009000,Discharging,19.0,16.1,8.5,29.1,22.8,2636,3034,,,
98,25688,27430,26358,20200,600000,1200000,94,4011000,Discharging,18.0,19.7,12.8,16.2,22.8,2556,2996,,,
101,25353,26894,26492,20200,600000,1200000,94,4008000,Discharging,18.6,18.7,13.2,24.6,17.7,1654,1979,,,
