# fw=zero-drain workload=bloodyroar start=2026-09-14 19:48:13 soak=99C prelaunch=schedutil/1200000 launch_up=3656.59 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
3669,39557,38887,39557,29000,1800000,1800000,90,3992000,Discharging,,,,,,,,,,
3671,39624,39825,39557,29000,1416000,1416000,90,3995000,Discharging,24.1,28.9,13.3,23.3,30.7,5962,5833,,,
3674,39892,40495,39825,29000,1200000,1200000,90,3980000,Discharging,27.7,28.2,19.0,31.8,32.7,3528,3685,,,
3676,39356,39892,39155,29000,1008000,1008000,90,3994000,Discharging,28.4,33.2,10.6,21.5,47.9,4908,5336,,,
3678,37815,38217,37815,29000,1608000,1800000,90,4006000,Discharging,15.7,24.4,14.7,12.2,11.7,2147,2502,,,
3680,37681,38552,38150,29000,1608000,1800000,90,4007000,Discharging,14.4,25.8,13.1,6.8,12.6,2540,2788,,,
3682,37480,38016,38016,28900,1416000,1800000,90,4002000,Discharging,14.8,24.9,10.4,9.6,14.2,2243,2663,,,
3684,37212,38485,38016,29000,1416000,1800000,90,4004000,Discharging,16.3,23.3,13.1,14.1,13.8,2336,2696,,,
3687,37346,38418,37681,29000,1608000,1800000,90,4003000,Discharging,15.0,24.9,10.7,9.6,15.4,1524,1796,,,
3689,37480,37949,37413,29000,1800000,1800000,90,3991000,Discharging,16.3,28.3,15.5,11.0,10.0,2361,2697,,,
3691,37011,38552,37815,28900,1416000,1800000,90,4000000,Discharging,14.6,22.4,11.7,13.7,10.5,2430,2746,,,
3693,37078,38351,37614,29000,1608000,1800000,90,4004000,Discharging,15.8,26.2,8.7,14.2,13.7,2272,2695,,,
3695,37547,38284,37748,29000,1608000,1800000,90,4007000,Discharging,14.3,22.9,11.8,10.4,12.0,2320,2742,,,
3697,37614,38217,37614,28900,1800000,1800000,90,4005000,Discharging,14.1,23.8,10.4,10.0,13.3,2332,2722,,,
3699,36877,38284,37882,28900,1608000,1800000,90,4001000,Discharging,15.6,26.8,9.4,14.8,11.1,2148,2602,,,
3701,37614,38418,37949,29000,1608000,1800000,90,4001000,Discharging,15.0,24.8,13.1,10.9,11.0,2508,2759,,,
3704,37413,38485,37681,28900,1608000,1800000,90,4000000,Discharging,15.6,25.2,11.0,12.7,13.8,1475,1769,,,
3706,37413,37949,37614,28900,1416000,1800000,90,3996000,Discharging,14.8,22.7,12.9,10.4,12.8,2138,2613,,,
3708,37480,38217,37413,28900,1608000,1800000,90,4002000,Discharging,14.8,21.4,10.4,13.7,14.2,2214,2608,,,
3710,37279,38217,37547,28900,1416000,1800000,90,4000000,Discharging,15.6,24.1,13.3,10.8,13.6,2241,2652,,,
3712,37279,37614,37949,28900,1608000,1800000,90,4001000,Discharging,14.5,22.7,12.3,11.0,11.4,2545,2793,,,
3714,37078,38016,37681,28900,1608000,1800000,90,3993000,Discharging,16.4,23.1,16.0,16.0,10.4,2308,2698,,,
3716,37614,38351,37614,29000,1608000,1800000,90,3994000,Discharging,14.6,22.4,9.1,14.1,13.7,2280,2649,,,
3719,37346,38217,37346,29000,1416000,1800000,90,4005000,Discharging,16.2,25.2,10.9,12.9,15.2,1504,1787,,,
3721,37145,38217,38284,29000,1608000,1800000,90,4004000,Discharging,15.0,21.9,12.0,14.9,11.4,2194,2641,,,
3723,37011,38016,37413,29000,1416000,1800000,90,3991000,Discharging,15.0,24.5,11.2,10.0,15.0,2446,2772,,,
3725,37145,37882,37614,29000,1800000,1800000,90,4005000,Discharging,15.4,26.5,8.3,11.3,14.8,2194,2650,,,
3727,39088,39222,39088,29000,1800000,1800000,90,3995000,Discharging,19.0,25.6,14.7,17.9,17.8,3969,4223,,,
3729,40361,40026,39289,29000,1608000,1608000,90,3991000,Discharging,25.3,24.6,16.0,23.4,36.2,5380,5539,,,
