# fw=zero-drain workload=sf2 start=2026-09-14 19:17:57 soak=99C prelaunch=schedutil/600000 launch_up=1841.13 max0=1416000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
1854,36006,36676,36073,28200,1008000,1008000,93,4028000,Discharging,,,,,,,,,,
1856,36877,38083,36877,28200,816000,816000,93,4039000,Discharging,29.4,26.7,47.0,26.4,17.4,3784,4922,,,
1858,36743,37949,37279,28200,816000,816000,93,4041000,Discharging,30.7,33.9,39.0,25.2,24.9,2970,3634,,,
1860,36006,37078,36542,28200,816000,816000,93,4042000,Discharging,30.5,35.2,28.8,26.9,30.3,2123,2404,,,
1863,36140,36676,36408,28200,816000,816000,93,4041000,Discharging,30.0,31.3,33.2,41.6,14.1,1396,1612,,,
1865,35671,36944,35872,28200,816000,816000,93,4041000,Discharging,30.4,21.1,42.5,51.1,6.9,2068,2383,,,
1867,35805,36676,36475,28200,816000,816000,93,4042000,Discharging,31.4,31.3,36.7,51.6,5.1,2072,2364,,,
1869,35939,36609,36274,28200,816000,816000,93,4041000,Discharging,30.4,33.3,28.8,51.6,7.4,2225,2446,,,
1871,35537,36408,35805,28300,600000,600000,93,4041000,Discharging,30.8,31.1,33.8,42.9,15.8,2142,2476,,,
1874,36006,36542,36006,28200,600000,600000,93,4044000,Discharging,33.1,41.0,28.6,20.5,42.3,1439,1611,,,
1876,36743,37011,36542,28200,600000,600000,93,4042000,Discharging,34.0,33.0,43.6,22.6,36.4,2950,3822,,,
1878,36341,36877,36609,28200,600000,600000,93,4042000,Discharging,34.8,33.2,39.7,25.3,40.7,2460,2732,,,
1881,36140,36877,36207,28200,600000,600000,93,4041000,Discharging,31.2,38.3,33.3,18.0,36.3,2187,3079,,,
1883,36475,37748,37346,28300,600000,600000,93,4033000,Discharging,34.4,38.4,51.8,19.6,26.5,4541,6822,,,
1885,36676,37882,37547,28300,600000,600000,93,4032000,Discharging,38.7,56.6,41.7,27.8,28.7,3904,5158,,,
1887,37279,38485,37547,28300,600000,600000,93,4033000,Discharging,40.4,49.1,55.2,23.5,33.5,3931,5300,,,
1890,37212,38418,37681,28300,600000,600000,93,4031000,Discharging,39.1,46.9,52.4,24.6,32.3,2694,3525,,,
1892,37480,38083,37346,28300,600000,600000,93,4029000,Discharging,38.1,38.8,53.5,33.9,26.4,3728,4969,,,
1894,37480,38351,37413,28300,600000,600000,93,4030000,Discharging,38.8,63.0,33.8,30.8,27.9,3756,4880,,,
1897,37346,38686,37882,28300,600000,600000,93,4033000,Discharging,39.6,39.6,60.0,25.7,32.6,2610,3497,,,
1899,37145,38016,37882,28300,600000,600000,93,4032000,Discharging,38.8,44.6,52.9,30.2,26.9,3865,5011,,,
1901,37480,38083,37413,28300,600000,600000,93,4033000,Discharging,38.9,29.3,66.8,24.4,35.2,3846,5221,,,
1903,37949,38552,37614,28300,600000,600000,93,4030000,Discharging,39.8,43.1,58.8,31.0,26.3,3810,5072,,,
1906,37212,37748,37614,28300,600000,600000,93,4042000,Discharging,34.8,36.6,51.5,19.5,30.7,2727,3906,,,
1908,36207,37078,36944,28300,408000,600000,93,4037000,Discharging,32.7,36.3,32.4,52.9,9.0,2662,3401,,,
1910,35738,37011,36475,28300,600000,600000,93,4042000,Discharging,32.6,33.0,35.5,23.8,38.2,2787,3401,,,
1913,35939,36944,36274,28300,600000,600000,93,4044000,Discharging,27.8,38.4,32.6,30.4,9.8,2705,4185,,,
1915,36676,37681,37212,28300,600000,600000,93,4035000,Discharging,34.7,35.1,48.4,26.1,28.8,3077,3882,,,
1917,37346,38083,37279,28300,600000,600000,93,4036000,Discharging,35.0,22.6,57.9,10.8,47.6,2895,3646,,,
1919,36274,37011,36274,28300,600000,600000,93,4041000,Discharging,32.8,28.8,39.8,51.4,11.1,2254,2456,,,
1922,35671,36810,36073,28300,600000,600000,93,4042000,Discharging,30.9,34.7,28.8,35.4,25.2,1408,1632,,,
1924,35537,36609,36676,28300,600000,600000,93,4044000,Discharging,31.2,38.0,29.8,30.8,27.0,2140,2474,,,
1926,35671,36609,36408,28300,600000,600000,93,4039000,Discharging,31.0,29.9,34.5,37.1,21.9,2141,2432,,,
1929,35336,36475,36341,28300,600000,600000,93,4044000,Discharging,33.0,32.1,37.4,46.9,14.3,1443,1622,,,
1931,35738,37078,36207,28300,600000,600000,93,4044000,Discharging,31.3,30.5,35.4,49.1,11.2,2256,2485,,,
1933,35604,36475,36609,28300,600000,600000,93,4040000,Discharging,32.4,35.6,31.6,52.8,9.0,2164,2459,,,
1935,35738,37480,36408,28300,600000,600000,93,4042000,Discharging,33.1,39.2,34.1,35.9,23.3,2954,3862,,,
1938,36475,36542,36542,28300,600000,600000,93,4041000,Discharging,33.6,39.6,31.6,29.7,33.2,1565,1808,,,
1940,36006,37212,36944,28300,600000,600000,93,4040000,Discharging,33.3,37.0,33.0,51.8,10.8,2820,3423,,,
1942,36676,37413,36944,28300,600000,600000,93,4029000,Discharging,31.5,42.9,41.9,21.0,19.6,4729,7272,,,
1944,37279,37949,37614,28300,600000,600000,93,4029000,Discharging,38.7,34.8,61.7,27.0,30.8,3706,4955,,,
1947,37011,38217,37279,28300,600000,600000,93,4029000,Discharging,38.1,30.7,64.3,28.1,29.1,2508,3321,,,
1949,37212,38284,37614,28300,600000,600000,93,4029000,Discharging,39.4,24.4,76.0,19.7,36.6,3844,5140,,,
1951,37346,38619,37681,28300,600000,600000,93,4029000,Discharging,38.4,26.6,70.4,24.1,31.1,3918,5164,,,
