# fw=zero-drain workload=zelda start=2026-09-14 18:47:40 soak=99C prelaunch=schedutil/1800000 launch_up=23.96 max0=600000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
37,33795,34733,33929,27500,600000,600000,96,4104000,Discharging,,,,,,,,,,
39,33125,35269,34331,27600,600000,600000,96,4100000,Discharging,21.8,16.3,6.7,14.2,50.0,2820,3250,,,
41,33661,35135,34331,27500,600000,600000,96,4108000,Discharging,21.5,21.6,13.8,29.1,21.5,2808,3214,,,
44,33728,34733,34197,27500,600000,600000,96,4104000,Discharging,21.1,15.0,8.5,42.2,18.6,1836,2140,,,
46,32924,33594,33326,27500,600000,600000,96,4108000,Discharging,12.8,19.1,11.1,12.4,8.4,1468,1274,,,
48,32991,34197,33192,27600,600000,600000,96,4101000,Discharging,14.9,22.7,12.8,11.9,12.5,1779,1834,,,
50,33192,34800,33393,27500,600000,600000,96,4102000,Discharging,21.0,34.1,12.8,21.5,15.6,2750,3099,,,
53,33259,35068,33929,27500,600000,600000,96,4101000,Discharging,19.2,31.0,10.6,17.8,18.1,1807,2094,,,
55,33594,34733,34130,27500,600000,600000,96,4102000,Discharging,20.6,29.7,18.7,17.5,16.1,2817,3048,,,
57,33125,34599,33661,27500,600000,600000,96,4101000,Discharging,18.2,28.7,19.9,13.3,11.2,2370,2661,,,
60,32924,34197,33125,27500,600000,600000,96,4098000,Discharging,16.3,24.9,10.2,15.2,15.1,1365,1473,,,
62,32656,34264,33460,27500,600000,600000,96,4100000,Discharging,16.8,24.0,11.2,15.9,15.6,1870,1970,,,
64,33058,33728,33393,27500,600000,600000,96,4103000,Discharging,16.5,25.0,17.6,15.9,7.6,2196,2391,,,
66,32656,34130,33460,27500,600000,600000,96,4106000,Discharging,14.6,19.9,11.7,11.9,14.5,1750,1676,,,
69,32723,33862,32991,27500,600000,600000,96,4106000,Discharging,12.8,18.8,12.9,11.0,8.4,1018,1022,,,
71,32991,34398,33661,27500,600000,600000,96,4102000,Discharging,15.7,23.7,14.5,13.8,10.7,1934,2066,,,
73,33125,34197,33594,27500,600000,600000,96,4103000,Discharging,14.1,25.0,11.6,12.4,7.6,1947,2134,,,
75,32857,33929,33393,27500,600000,600000,96,4106000,Discharging,12.7,17.5,13.5,12.3,8.0,1734,1704,,,
78,32723,34465,33393,27500,600000,600000,96,4104000,Discharging,11.9,17.5,9.8,8.0,11.3,1084,1125,,,
80,32790,34063,33125,27500,600000,600000,96,4103000,Discharging,11.1,15.2,10.2,9.3,9.9,1490,1522,,,
82,32589,33728,33259,27400,600000,600000,96,4101000,Discharging,13.7,23.6,10.7,13.2,7.6,1508,1477,,,
85,32656,34264,33460,27500,600000,600000,96,4103000,Discharging,11.9,11.9,11.2,12.8,11.5,960,1006,,,
87,32924,34063,33326,27500,600000,600000,96,4105000,Discharging,12.1,14.6,6.7,10.7,17.0,1514,1500,,,
89,32254,34130,33393,27400,600000,600000,96,4104000,Discharging,10.4,8.5,5.8,4.5,22.3,1359,1402,,,
91,32589,33862,33058,27500,600000,600000,96,4103000,Discharging,12.4,14.1,8.4,14.1,13.3,1382,1412,,,
94,32790,33929,33326,27500,600000,600000,96,4103000,Discharging,10.7,10.1,23.4,3.6,5.3,896,917,,,
96,32254,33795,32991,27400,600000,600000,96,4103000,Discharging,12.3,16.0,8.3,11.4,13.7,1472,1416,,,
98,32656,34264,33460,27400,600000,600000,96,4096000,Discharging,10.9,15.6,15.6,6.2,5.8,1346,1378,,,
100,32790,34264,33192,27400,600000,600000,96,4104000,Discharging,11.8,12.0,11.2,15.0,9.3,1398,1403,,,
103,32388,33728,33527,27400,600000,600000,96,4102000,Discharging,11.3,19.3,8.9,7.1,9.0,937,930,,,
105,32187,34130,33058,27400,600000,600000,96,4102000,Discharging,10.6,14.7,11.5,7.1,9.4,1356,1376,,,
107,32455,33996,33460,27400,600000,600000,96,4098000,Discharging,12.2,17.0,5.8,6.7,19.1,1512,1464,,,
110,32455,34063,33192,27400,600000,600000,96,4102000,Discharging,10.9,10.5,8.5,20.9,4.9,894,926,,,
112,32723,33929,32991,27400,600000,600000,96,4102000,Discharging,11.8,14.3,5.3,5.8,20.7,1341,1404,,,
114,32656,34130,33192,27400,600000,600000,96,4101000,Discharging,10.8,10.5,17.5,10.7,4.0,1385,1393,,,
116,32522,34264,33192,27400,600000,600000,96,4096000,Discharging,11.6,12.6,12.8,6.2,15.6,1506,1468,,,
119,32924,34264,33192,27400,600000,600000,96,4100000,Discharging,11.1,13.4,10.2,8.3,12.1,930,931,,,
121,32723,33996,33527,27400,600000,600000,96,4103000,Discharging,11.9,9.2,5.7,8.9,24.3,1347,1406,,,
123,32522,33929,32723,27400,600000,600000,96,4101000,Discharging,11.2,11.9,12.2,13.3,7.6,1327,1386,,,
125,33125,34465,34264,27400,600000,600000,96,4092000,Discharging,17.6,12.9,12.9,32.1,11.2,2202,2520,,,
128,33594,34934,34130,27400,600000,600000,96,4095000,Discharging,22.6,21.0,12.8,35.6,21.1,2009,2206,,,
130,33661,35202,34465,27400,600000,600000,96,4096000,Discharging,22.0,16.6,9.4,11.1,51.1,2862,3360,,,
132,33661,35068,34398,27400,600000,600000,96,4096000,Discharging,22.8,15.4,8.1,20.0,46.9,2892,3313,,,
135,33929,35269,34599,27400,600000,600000,96,4096000,Discharging,22.2,14.4,8.5,9.4,56.0,1886,2233,,,
137,34264,35671,35001,27400,600000,600000,96,4095000,Discharging,23.0,22.2,13.7,39.6,16.9,2974,3309,,,
139,33929,35269,34666,27400,600000,600000,96,4095000,Discharging,21.7,13.6,6.7,25.8,40.2,2822,3278,,,
141,33795,35269,34599,27400,600000,600000,96,4094000,Discharging,21.0,12.3,10.1,12.7,48.2,2778,3332,,,
144,33862,35336,34398,27300,600000,600000,96,4099000,Discharging,19.6,14.2,7.2,39.2,17.3,1611,1852,,,
146,32924,34465,33862,27400,600000,600000,96,4099000,Discharging,11.2,14.3,9.7,8.8,12.9,1286,1236,,,
148,33125,34934,34599,27400,600000,600000,96,4098000,Discharging,18.0,16.2,12.3,22.8,20.9,2138,2268,,,
151,33862,35068,34398,27400,600000,600000,96,4090000,Discharging,19.4,31.7,12.4,14.1,19.4,1858,2101,,,
153,34063,34934,34666,27400,600000,600000,96,4092000,Discharging,21.1,28.7,13.5,18.8,23.3,2793,3135,,,
155,34197,35202,34398,27400,600000,600000,96,4094000,Discharging,16.9,30.3,9.9,15.1,12.8,2408,2660,,,
157,34264,35068,34398,27400,600000,600000,96,4093000,Discharging,19.8,27.4,14.9,16.7,19.6,2672,2836,,,
160,33862,34800,34599,27400,600000,600000,96,4099000,Discharging,15.5,23.4,12.4,15.6,11.2,1288,1386,,,
162,33527,34465,33795,27400,600000,600000,96,4093000,Discharging,17.5,30.4,11.1,14.1,14.2,2062,2225,,,
164,33192,34733,33795,27300,600000,600000,96,4100000,Discharging,15.2,22.2,9.8,11.7,17.3,1930,2076,,,
166,32991,34063,33661,27400,600000,600000,96,4099000,Discharging,13.4,20.0,8.9,11.5,13.1,1574,1630,,,
169,33058,34934,34063,27300,600000,600000,96,4096000,Discharging,13.2,20.3,13.8,6.3,11.9,1120,1082,,,
171,33460,34934,33929,27400,600000,600000,96,4097000,Discharging,14.2,23.9,11.2,13.8,8.5,2008,2230,,,
173,33393,34800,34264,27300,600000,600000,96,4094000,Discharging,15.0,25.3,11.2,14.8,7.7,1902,2056,,,
176,33326,34867,33661,27300,600000,600000,96,4094000,Discharging,11.5,17.9,11.9,3.6,12.4,1055,1100,,,
178,33259,34666,33326,27300,600000,600000,96,4097000,Discharging,12.8,19.8,11.3,9.4,11.1,1751,1714,,,
180,33058,34532,33795,27300,600000,600000,96,4098000,Discharging,10.7,15.1,7.2,9.4,10.7,1414,1436,,,
182,32924,34398,33594,27300,600000,600000,96,4096000,Discharging,14.4,20.0,12.6,12.3,13.3,1590,1603,,,
185,32656,34599,33594,27300,600000,600000,96,4094000,Discharging,11.1,15.7,13.2,8.0,7.6,929,928,,,
187,32790,34264,33795,27300,600000,600000,96,4098000,Discharging,11.2,17.8,8.8,8.4,9.4,1356,1353,,,
189,33326,34264,33393,27300,600000,600000,96,4097000,Discharging,11.5,14.8,8.1,8.1,14.2,1516,1412,,,
191,32857,34264,33460,27400,600000,600000,96,4097000,Discharging,10.9,16.4,6.7,14.5,7.1,1393,1406,,,
194,32790,34130,33527,27300,600000,600000,96,4092000,Discharging,12.3,16.7,5.8,16.3,10.1,908,931,,,
196,32656,34398,33527,27400,600000,600000,96,4097000,Discharging,10.8,17.0,5.8,10.1,9.7,1365,1368,,,
198,32723,34063,33661,27300,600000,600000,96,4097000,Discharging,12.1,17.8,11.5,14.5,4.1,1554,1417,,,
201,32924,34264,33728,27300,600000,600000,96,4096000,Discharging,10.9,11.9,17.6,5.3,8.8,898,915,,,
203,32924,34197,33058,27300,600000,600000,96,4096000,Discharging,11.6,9.3,12.0,12.1,13.5,1376,1386,,,
205,32924,34331,33192,27300,600000,600000,96,4090000,Discharging,11.1,13.3,12.4,8.0,10.7,1357,1368,,,
207,32723,34532,33259,27300,600000,600000,96,4096000,Discharging,10.9,17.0,11.9,8.4,6.2,1342,1370,,,
210,33125,34130,33795,27300,600000,600000,96,4096000,Discharging,12.2,15.6,11.1,15.9,5.3,1011,961,,,
212,33125,34599,33527,27300,600000,600000,96,4093000,Discharging,10.7,9.3,10.3,14.8,8.4,1333,1427,,,
214,32790,34063,33661,27300,600000,600000,96,4093000,Discharging,11.9,9.7,20.5,7.6,9.3,1392,1387,,,
216,32589,34197,33259,27300,600000,600000,96,4094000,Discharging,10.8,16.6,8.9,9.8,8.7,1333,1355,,,
219,33661,34130,33661,27300,600000,600000,96,4094000,Discharging,12.2,18.2,11.5,11.6,8.0,925,910,,,
221,32857,34398,33259,27300,600000,600000,96,4097000,Discharging,11.2,13.8,14.7,5.4,10.2,1529,1410,,,
223,33326,34264,34063,27300,600000,600000,96,4092000,Discharging,11.5,9.2,17.1,10.7,9.4,1382,1379,,,
225,33929,35068,34599,27300,600000,600000,96,4090000,Discharging,20.2,13.5,9.0,8.9,48.7,2543,2944,,,
228,33862,35001,34465,27300,600000,600000,96,4087000,Discharging,22.9,16.4,10.6,22.9,42.0,1859,2163,,,
230,34063,35336,35068,27300,600000,600000,96,4090000,Discharging,22.2,14.0,8.0,12.0,54.0,2966,3327,,,
232,34599,35872,34800,27300,600000,600000,96,4090000,Discharging,22.0,14.5,9.3,35.0,29.6,2802,3303,,,
235,34599,36006,35403,27300,600000,600000,96,4090000,Discharging,22.9,18.5,10.2,23.8,39.2,1891,2154,,,
237,34733,35671,35001,27400,600000,600000,96,4085000,Discharging,22.2,14.8,8.9,47.3,18.1,2848,3296,,,
239,34331,35537,34934,27300,600000,600000,96,4091000,Discharging,22.8,15.2,12.1,26.9,36.1,2956,3326,,,
241,34465,35403,35068,27300,600000,600000,96,4091000,Discharging,20.4,13.2,9.8,21.8,36.7,2770,3258,,,
244,33728,35671,34599,27300,600000,600000,96,4086000,Discharging,18.6,17.2,10.3,15.0,31.7,1461,1616,,,
246,33527,34331,34063,27300,408000,600000,96,4091000,Discharging,11.8,17.2,5.3,14.6,9.8,1278,1219,,,
248,34331,34934,34532,27300,600000,600000,96,4088000,Discharging,18.8,21.6,14.7,24.2,15.1,2400,2688,,,
251,33862,35202,34800,27300,600000,600000,96,4083000,Discharging,19.5,29.6,8.9,21.9,17.7,1906,2120,,,
253,34063,35738,34733,27300,600000,600000,96,4085000,Discharging,18.9,30.6,13.4,17.3,14.6,2779,3158,,,
255,33929,34800,33862,27300,600000,600000,96,4093000,Discharging,18.0,28.3,10.6,19.1,14.7,2240,2432,,,
257,34130,35537,34867,27300,600000,600000,96,4092000,Discharging,18.8,19.9,12.5,27.6,15.2,2402,2725,,,
260,33862,34867,34599,27300,600000,600000,96,4091000,Discharging,17.8,29.8,15.6,18.2,7.2,1523,1616,,,
262,33929,35336,34867,27300,600000,600000,96,4088000,Discharging,17.0,27.9,12.5,16.2,11.2,2057,2256,,,
264,33862,34599,34130,27300,600000,600000,96,4095000,Discharging,14.1,19.4,11.7,12.9,11.9,1704,1804,,,
267,33393,34666,33862,27300,600000,600000,96,4095000,Discharging,13.0,18.5,8.4,15.4,11.0,1034,1062,,,
269,33058,35001,33795,27300,600000,600000,96,4093000,Discharging,13.7,20.5,12.8,14.7,6.8,1582,1642,,,
271,33728,34934,34532,27400,600000,600000,96,4091000,Discharging,14.7,24.4,10.0,16.0,8.0,2210,2375,,,
273,33460,34934,34197,27300,600000,600000,96,4093000,Discharging,12.8,20.7,12.0,10.2,7.7,1749,1940,,,
276,33728,35470,33862,27300,600000,600000,96,4092000,Discharging,12.7,18.8,11.2,11.8,9.0,1080,1105,,,
278,33192,35202,34264,27300,600000,600000,96,4091000,Discharging,12.0,20.8,10.8,8.0,8.0,1598,1698,,,
280,33527,34599,33996,27300,600000,600000,96,4092000,Discharging,11.9,16.1,12.1,11.9,8.3,1582,1538,,,
282,33460,35001,34264,27400,600000,600000,96,4091000,Discharging,13.1,18.4,12.3,13.0,8.9,1476,1531,,,
285,33795,34331,34666,27300,600000,600000,96,4092000,Discharging,11.9,19.8,8.4,8.0,11.2,953,931,,,
287,33058,34666,33527,27300,600000,600000,96,4086000,Discharging,10.6,13.4,11.7,9.3,7.6,1368,1372,,,
