# fw=zero-preflight workload=zelda start=2026-09-14 07:02:51 soak=99C prelaunch=schedutil/1800000 launch_up=27.47 max0=1008000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
40,26224,27698,26760,20800,1008000,1008000,100,4075000,Discharging,,,,,,,,,,
42,26425,27832,26559,20900,1008000,1008000,100,4081000,Discharging,20.5,10.7,8.4,54.3,7.4,3012,3566,,,
45,26291,28301,27229,20900,1008000,1008000,100,4083000,Discharging,20.1,14.4,13.4,39.0,14.7,2120,2423,,,
47,26626,27564,26559,20900,1008000,1008000,100,4079000,Discharging,19.5,11.0,7.4,25.4,32.9,2968,3566,,,
49,26157,27229,26492,20900,1008000,1008000,100,4083000,Discharging,13.1,14.6,16.8,7.9,13.4,1992,2131,,,
51,25621,26894,25956,21000,1008000,1008000,100,4070000,Discharging,11.6,20.0,15.2,5.6,5.1,1676,1758,,,
53,26090,27698,26827,21000,1008000,1008000,100,4073000,Discharging,18.2,30.0,14.5,14.7,14.0,3030,3456,,,
55,26693,27832,26291,21000,1008000,1008000,100,4076000,Discharging,18.3,29.6,17.4,12.1,13.5,3322,3644,,,
58,26693,27698,27095,21000,1008000,1008000,100,4079000,Discharging,18.2,32.4,13.9,16.1,10.7,2155,2424,,,
60,26358,27296,26693,21000,1008000,1008000,100,4083000,Discharging,17.5,27.3,11.5,17.1,14.7,2526,2778,,,
62,26291,27430,26626,21100,1008000,1008000,100,4077000,Discharging,16.8,20.7,12.4,16.9,18.1,2622,2941,,,
64,25956,27564,26894,21100,1008000,1008000,100,4074000,Discharging,16.6,24.5,12.6,18.2,10.7,2762,2881,,,
66,26291,27363,27162,21100,1008000,1008000,100,4075000,Discharging,15.3,28.6,14.6,7.9,9.9,2342,2650,,,
69,25688,27028,26291,21100,1008000,1008000,100,4083000,Discharging,12.8,21.5,12.1,8.8,8.8,1392,1499,,,
71,26090,27162,26827,21200,1008000,1008000,100,4081000,Discharging,11.8,18.3,8.3,15.7,4.7,1830,1973,,,
73,25621,27430,26693,21200,1008000,1008000,100,4077000,Discharging,12.0,20.6,11.1,11.2,6.0,1858,2008,,,
75,26626,27497,26961,21100,1008000,1008000,100,4069000,Discharging,14.1,22.9,6.5,12.4,14.5,2452,2673,,,
77,26492,27765,26492,21200,1008000,1008000,100,4082000,Discharging,12.3,20.8,8.9,8.9,10.6,2164,2435,,,
80,26961,27229,26559,21200,1008000,1008000,100,4074000,Discharging,12.0,18.6,9.7,10.2,9.8,1224,1370,,,
82,26291,27765,26693,21200,1008000,1008000,100,4075000,Discharging,10.7,16.7,9.7,9.3,7.5,1847,2052,,,
84,26224,27028,26559,21200,1008000,1008000,100,4078000,Discharging,10.7,13.2,9.8,10.6,8.8,1713,1854,,,
86,26090,26827,26760,21200,1008000,1008000,100,4080000,Discharging,11.8,25.0,12.6,4.7,4.2,2042,2064,,,
88,25889,27095,26023,21200,1008000,1008000,100,4076000,Discharging,10.1,15.1,7.9,12.5,5.1,1731,1908,,,
90,25889,27363,26157,21200,1008000,1008000,100,4074000,Discharging,11.4,16.8,9.3,7.5,11.5,1697,1788,,,
93,26291,26961,26626,21200,1008000,1008000,100,4079000,Discharging,10.0,13.6,16.6,5.5,6.0,1087,1175,,,
95,26224,27162,27296,21200,1008000,1008000,100,4077000,Discharging,11.0,14.5,11.5,8.3,8.5,1624,1781,,,
97,25889,27363,26961,21200,1008000,1008000,100,4077000,Discharging,10.0,17.4,8.8,6.5,7.4,1813,1816,,,
99,26090,27631,26358,21200,1008000,1008000,100,4072000,Discharging,10.5,10.6,14.4,12.5,4.8,1706,1812,,,
101,25889,27497,26626,21200,1008000,1008000,100,4080000,Discharging,10.2,9.3,12.5,8.1,10.6,1600,1790,,,
