# fw=zero workload=bloodyroar start=2026-09-14 09:16:17 soak=99C prelaunch=schedutil/1008000 launch_up=8033.85 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
8046,37882,38418,37681,28100,1800000,1800000,78,3844000,Discharging,,,,,,,,,,
8049,38217,38485,38016,28100,1416000,1416000,78,3847000,Discharging,23.0,31.3,13.6,21.5,25.8,3772,3808,,,
8051,38686,39222,38686,28200,1200000,1200000,78,3841000,Discharging,27.3,34.6,18.5,34.1,22.4,5147,5426,,,
8053,38217,39088,38686,28100,1008000,1008000,78,3842000,Discharging,29.4,33.6,35.3,24.8,24.3,5038,5474,,,
8055,36609,38016,37212,28100,1416000,1800000,78,3858000,Discharging,15.8,23.1,13.6,14.2,11.7,2117,2452,,,
8057,36810,37547,36743,28100,1800000,1800000,78,3859000,Discharging,14.7,23.7,12.8,11.7,10.9,2246,2618,,,
8059,36274,37480,37078,28100,600000,1800000,78,3852000,Discharging,14.1,21.6,11.1,12.2,11.4,2232,2630,,,
8062,36140,37346,37212,28100,1416000,1800000,78,3852000,Discharging,16.0,25.2,12.7,9.1,16.4,1653,1842,,,
8064,36542,37346,37145,28200,1608000,1800000,78,3856000,Discharging,14.3,24.2,12.3,10.0,11.3,2262,2638,,,
8066,36207,37346,36542,28200,1608000,1800000,78,3857000,Discharging,16.3,23.4,13.4,14.7,12.7,2390,2744,,,
8068,36609,37279,36609,28100,1800000,1800000,78,3855000,Discharging,14.7,23.0,14.3,12.0,9.4,2206,2622,,,
8070,36207,37346,36743,28100,1608000,1800000,78,3855000,Discharging,15.9,24.6,15.4,12.7,11.8,2311,2714,,,
8072,36676,37346,36810,28100,1416000,1800000,78,3855000,Discharging,14.4,25.1,12.0,10.8,10.3,2420,2694,,,
8074,36207,37413,36810,28100,1608000,1800000,78,3860000,Discharging,14.7,24.9,9.9,12.4,10.0,2278,2648,,,
8077,36341,37413,36810,28100,1416000,1800000,78,3847000,Discharging,15.6,24.8,15.3,11.0,12.3,1571,1800,,,
8079,36006,37681,36542,28100,1416000,1800000,78,3853000,Discharging,15.2,26.3,10.5,8.1,15.4,2317,2696,,,
8081,36408,37480,36810,28100,1416000,1800000,78,3857000,Discharging,15.7,25.8,11.5,12.9,13.1,2212,2609,,,
8083,36408,37480,37078,28100,1416000,1800000,78,3858000,Discharging,13.9,24.9,9.6,9.0,11.8,2510,2757,,,
8085,36341,37547,36542,28100,1800000,1800000,78,3856000,Discharging,15.3,25.2,11.8,12.9,11.4,2290,2633,,,
8087,36676,37145,36743,28100,1608000,1800000,78,3854000,Discharging,14.8,24.6,12.2,11.4,10.5,2188,2598,,,
8089,36743,37346,36877,28100,1416000,1800000,78,3856000,Discharging,14.4,24.2,12.8,8.5,13.1,2222,2642,,,
8092,36341,37748,36475,28100,1608000,1800000,78,3850000,Discharging,15.6,24.9,14.6,11.0,12.3,1500,1759,,,
