# fw=zero workload=gradius start=2026-09-14 07:12:22 soak=99C prelaunch=schedutil/1008000 launch_up=598.87 max0=1008000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
612,31785,32723,31919,22600,1008000,1008000,98,4050000,Discharging,,,,,,,,,,
614,31986,32656,32120,22600,1008000,1008000,98,4050000,Discharging,22.3,19.5,8.7,29.7,31.3,3250,3843,,,
616,31517,32723,31584,22600,1008000,1008000,98,4052000,Discharging,23.2,26.4,14.7,30.6,20.9,3398,3928,,,
618,31718,32790,32589,22600,1008000,1008000,98,4051000,Discharging,22.1,23.9,12.9,25.7,26.1,3364,3894,,,
620,31718,33058,32455,22700,1008000,1008000,98,4044000,Discharging,23.3,21.1,11.1,22.4,39.6,3260,3854,,,
623,31517,32723,32388,22700,1008000,1008000,98,4051000,Discharging,21.9,16.4,12.5,24.0,33.9,2232,2600,,,
625,32120,32991,31986,22700,1008000,1008000,98,4050000,Discharging,23.7,23.7,12.0,20.5,37.2,3357,3895,,,
627,31986,33058,32455,22700,1008000,1008000,98,4051000,Discharging,22.1,24.4,11.2,25.3,27.8,3286,3869,,,
629,31852,33259,32120,22700,1008000,1008000,98,4048000,Discharging,22.4,22.9,9.3,22.6,34.4,3450,3927,,,
631,31986,32991,32723,22700,1008000,1008000,98,4044000,Discharging,22.9,20.5,7.9,25.7,37.3,3316,3895,,,
634,32254,33460,32522,22700,1008000,1008000,98,4049000,Discharging,22.1,21.5,11.9,20.0,35.5,2199,2583,,,
636,32053,33259,32455,22700,1008000,1008000,98,4049000,Discharging,23.7,19.8,13.2,33.8,27.1,3272,3848,,,
638,32388,33125,32321,22700,1008000,1008000,98,4049000,Discharging,22.2,18.1,11.1,30.5,29.4,3472,3941,,,
640,32120,33259,32388,22700,1008000,1008000,98,4050000,Discharging,22.7,17.4,13.0,30.3,29.8,3264,3844,,,
642,32120,32723,32321,22700,1008000,1008000,98,4043000,Discharging,21.4,19.6,10.2,39.4,16.6,3254,3883,,,
645,32388,33259,32321,22700,1008000,1008000,98,4050000,Discharging,23.1,22.2,13.4,28.2,28.4,2219,2596,,,
647,31785,32991,32187,22700,1008000,1008000,98,4047000,Discharging,22.5,25.5,8.3,21.1,35.3,3301,3878,,,
649,32254,33058,32723,22700,1008000,1008000,98,4046000,Discharging,22.2,27.6,14.2,19.4,27.5,3468,3932,,,
651,32053,33326,32254,22700,1008000,1008000,98,4049000,Discharging,22.6,22.9,25.6,15.6,25.8,3412,3960,,,
653,32053,33393,32120,22800,1008000,1008000,98,4050000,Discharging,22.7,16.7,19.0,18.1,36.9,3210,3826,,,
656,32388,33661,32790,22800,1008000,1008000,98,4049000,Discharging,23.3,20.5,9.3,20.3,42.7,2134,2542,,,
658,32120,33326,32589,22800,1008000,1008000,98,4048000,Discharging,22.6,15.2,13.4,17.8,43.6,3284,3875,,,
660,32187,33460,32790,22800,1008000,1008000,98,4048000,Discharging,22.3,17.2,15.2,27.6,29.0,3238,3686,,,
662,32187,32991,31919,22800,1008000,1008000,98,4048000,Discharging,20.3,17.4,12.7,24.2,27.1,2940,3383,,,
664,31048,31919,31584,22800,1008000,1008000,98,4059000,Discharging,16.5,30.0,11.6,11.1,12.9,1744,1668,,,
666,30713,32053,31249,22800,1008000,1008000,98,4045000,Discharging,16.8,27.1,12.4,10.2,17.9,1746,1726,,,
669,31919,32991,32589,22800,1008000,1008000,98,4048000,Discharging,21.5,33.5,10.1,21.7,21.4,2327,2628,,,
671,32321,33259,32254,22800,1008000,1008000,98,4049000,Discharging,22.9,30.2,8.8,29.0,22.8,3366,3867,,,
673,32053,33192,32388,22800,1008000,1008000,98,4050000,Discharging,22.7,23.3,7.4,28.9,32.1,3296,3881,,,
675,32254,33192,32455,22800,1008000,1008000,98,4047000,Discharging,24.0,23.4,15.3,18.6,37.7,3396,3930,,,
677,32254,33326,32455,22800,1008000,1008000,98,4042000,Discharging,22.8,26.6,8.3,23.7,32.4,3342,3858,,,
680,32455,33661,32388,22800,1008000,1008000,98,4048000,Discharging,22.9,13.1,8.4,28.0,41.0,2286,2620,,,
682,32254,33594,32723,22900,1008000,1008000,98,4048000,Discharging,22.7,13.8,7.0,47.2,23.1,3224,3854,,,
684,32455,33527,32522,22900,1008000,1008000,98,4046000,Discharging,22.4,17.3,14.4,25.7,31.9,3218,3793,,,
686,32388,33326,32857,22800,1008000,1008000,98,4048000,Discharging,23.3,17.5,17.1,36.9,21.6,3298,3842,,,
688,32656,33996,32790,22900,1008000,1008000,98,4042000,Discharging,22.9,18.3,8.4,17.9,45.5,3202,3838,,,
691,32522,33393,32455,22900,1008000,1008000,98,4048000,Discharging,23.7,25.1,22.7,20.6,26.1,2338,2624,,,
693,32388,33929,32790,22900,1008000,1008000,98,4048000,Discharging,22.5,17.5,13.8,31.8,27.9,3278,3867,,,
695,32723,33259,32790,22900,1008000,1008000,98,4047000,Discharging,23.4,17.9,8.8,26.1,40.6,3246,3828,,,
697,32321,33594,32656,22900,1008000,1008000,98,4044000,Discharging,22.3,18.5,12.8,31.2,26.1,3221,3847,,,
699,32656,33728,32522,22900,1008000,1008000,98,4046000,Discharging,22.2,22.5,8.8,20.7,36.7,3492,3920,,,
702,32656,33661,32991,22900,1008000,1008000,98,4045000,Discharging,22.2,22.6,9.8,24.2,31.8,2160,2545,,,
704,32455,33594,32790,22900,1008000,1008000,98,4046000,Discharging,22.1,15.7,15.1,32.2,25.0,3271,3860,,,
706,32723,33527,33259,22900,408000,1008000,98,4047000,Discharging,23.5,25.2,13.2,15.5,40.5,3334,3904,,,
708,32857,33795,32656,22900,1008000,1008000,98,4047000,Discharging,22.4,13.6,9.7,33.2,31.8,3192,3835,,,
710,32053,33862,32522,22900,1008000,1008000,98,4047000,Discharging,22.3,15.4,8.4,19.3,46.6,3418,3936,,,
713,32254,33996,32991,23000,1008000,1008000,98,4047000,Discharging,22.4,17.9,11.7,38.7,21.1,2175,2593,,,
715,32723,33996,32522,22900,1008000,1008000,98,4046000,Discharging,22.6,31.6,10.5,22.4,26.1,3357,3861,,,
717,32254,33661,33326,23000,1008000,1008000,98,4045000,Discharging,23.8,23.7,19.9,17.1,33.9,3325,3889,,,
