# fw=zero workload=mariokart start=2026-09-14 09:49:17 soak=99C prelaunch=schedutil/1416000 launch_up=10013.83 max0=600000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
10027,35872,37145,36743,28300,600000,600000,72,3801000,Discharging,,,,,,,,,,
10029,35872,37145,36207,28300,600000,600000,72,3799000,Discharging,13.7,19.6,15.0,8.5,12.8,1746,1720,,,
10031,35470,36944,36274,28200,600000,600000,72,3795000,Discharging,14.7,23.9,10.7,14.2,10.6,1624,1680,,,
10033,35403,37078,36073,28300,600000,600000,72,3802000,Discharging,13.9,21.7,11.6,13.2,9.8,1591,1631,,,
10036,35805,37212,36274,28300,600000,600000,72,3805000,Discharging,15.3,21.4,17.9,10.8,9.9,1091,1113,,,
10038,36073,37547,36408,28300,600000,600000,72,3802000,Discharging,14.0,19.6,7.3,13.7,15.1,1759,1722,,,
10040,35403,36877,36207,28200,600000,600000,72,3802000,Discharging,14.8,21.1,14.3,12.0,11.5,1610,1664,,,
10043,35671,36743,36207,28300,600000,600000,72,3802000,Discharging,13.8,20.4,8.4,18.9,7.1,1037,1101,,,
10045,35403,37078,36274,28300,600000,600000,72,3806000,Discharging,15.1,24.7,11.3,8.1,16.3,1616,1666,,,
10047,35805,36676,36140,28200,600000,600000,72,3805000,Discharging,13.6,22.6,10.7,10.7,10.7,1590,1644,,,
10049,35671,37078,36676,28200,600000,600000,72,3805000,Discharging,15.0,22.0,12.4,14.2,10.6,1712,1716,,,
10052,35537,37011,36073,28300,600000,600000,72,3800000,Discharging,14.1,21.8,13.2,11.2,11.4,1049,1111,,,
10054,35470,37011,36006,28200,600000,600000,72,3804000,Discharging,13.5,20.6,9.4,12.8,11.1,1549,1622,,,
10056,35537,37212,35939,28200,600000,600000,72,3805000,Discharging,15.0,21.8,15.6,11.2,10.7,1643,1689,,,
10058,35403,36877,35939,28200,600000,600000,72,3804000,Discharging,14.0,22.6,13.8,7.6,11.9,1696,1671,,,
10061,36140,36542,36274,28300,600000,600000,72,3805000,Discharging,14.9,24.2,14.6,7.2,13.7,1068,1098,,,
10063,35604,36475,36073,28200,600000,600000,72,3805000,Discharging,13.8,20.9,15.6,10.6,7.2,1607,1680,,,
10065,35269,36743,36006,28200,600000,600000,72,3803000,Discharging,14.4,20.5,8.5,17.7,11.2,1556,1618,,,
10068,35604,37011,36207,28200,600000,600000,72,3805000,Discharging,13.9,20.5,13.8,12.4,9.3,1070,1106,,,
10070,35671,37078,36006,28300,600000,600000,72,3800000,Discharging,15.1,25.9,11.2,11.2,11.5,1706,1679,,,
10072,35872,37011,36542,28300,600000,600000,72,3804000,Discharging,13.8,23.9,11.1,12.7,7.7,1540,1647,,,
10074,35805,36810,36408,28300,600000,600000,72,3804000,Discharging,13.7,22.3,10.1,9.4,12.6,1584,1676,,,
10077,35671,36877,35939,28200,600000,600000,72,3804000,Discharging,15.1,20.4,14.5,15.1,10.8,1065,1111,,,
10079,35135,36877,35872,28200,600000,600000,72,3804000,Discharging,13.7,20.9,12.8,8.5,12.6,1696,1740,,,
10081,35470,36944,36073,28300,600000,600000,72,3795000,Discharging,14.8,21.0,13.4,13.8,9.9,1596,1662,,,
10083,35336,36877,36475,28300,600000,600000,72,3804000,Discharging,14.3,22.5,14.2,12.1,8.0,1573,1626,,,
10086,35336,37011,36207,28300,600000,600000,72,3795000,Discharging,15.4,22.4,16.7,13.2,9.8,1083,1103,,,
10088,35470,36810,35939,28200,600000,600000,72,3797000,Discharging,14.2,19.0,15.0,11.0,12.1,1501,1616,,,
10090,35537,36877,36408,28200,600000,600000,72,3796000,Discharging,15.1,23.5,7.6,13.4,15.8,1740,1714,,,
10093,35336,37078,36475,28200,600000,600000,72,3794000,Discharging,13.7,21.4,8.5,15.2,9.8,1047,1083,,,
10095,35537,36810,36207,28200,600000,600000,72,3797000,Discharging,14.1,23.6,13.2,8.5,11.5,1621,1660,,,
10097,35470,37212,36073,28200,600000,600000,72,3803000,Discharging,14.7,21.0,14.3,10.7,11.9,1547,1622,,,
10099,35805,37011,36073,28200,600000,600000,72,3799000,Discharging,14.2,21.8,13.2,14.4,7.6,1703,1700,,,
10102,35671,37145,35939,28200,600000,600000,72,3795000,Discharging,14.7,20.9,11.8,12.8,12.9,1037,1105,,,
10104,35671,36743,35537,28200,600000,600000,72,3802000,Discharging,14.1,20.9,12.9,14.4,8.5,1561,1631,,,
10106,35470,36609,36073,28200,600000,600000,72,3803000,Discharging,14.9,22.5,12.1,14.5,11.2,1604,1668,,,
10108,35470,36877,36207,28200,600000,600000,72,3802000,Discharging,14.0,21.8,10.2,16.3,7.6,1574,1667,,,
10111,35470,36743,35671,28300,600000,600000,72,3800000,Discharging,15.0,20.4,15.5,14.1,9.4,1184,1148,,,
10113,35470,37547,36140,28200,600000,600000,72,3804000,Discharging,13.5,21.6,14.3,8.5,9.8,1543,1647,,,
10115,35135,36475,36006,28300,600000,600000,72,3804000,Discharging,13.8,17.8,15.7,13.7,7.7,1570,1672,,,
10118,35269,36743,36073,28200,600000,600000,72,3804000,Discharging,15.0,20.9,11.1,12.9,15.5,1074,1125,,,
10120,35470,36475,36006,28200,600000,600000,72,3804000,Discharging,13.8,22.2,11.7,9.7,12.4,1709,1732,,,
10122,35805,37145,36073,28300,600000,600000,72,3803000,Discharging,15.1,20.4,17.1,15.1,6.7,1621,1628,,,
10124,35470,37145,36207,28200,600000,600000,72,3803000,Discharging,13.6,20.2,12.9,13.7,7.6,1598,1676,,,
10127,35671,36877,36274,28200,600000,600000,72,3802000,Discharging,14.8,21.9,10.3,15.6,11.9,1040,1088,,,
10129,35336,36609,36073,28200,600000,600000,72,3799000,Discharging,14.0,22.2,11.1,12.0,11.0,1570,1654,,,
10131,35269,37078,36006,28200,600000,600000,72,3799000,Discharging,14.9,22.3,7.7,16.4,12.8,1711,1718,,,
10133,35403,36743,35805,28200,600000,600000,72,3804000,Discharging,13.7,20.2,15.9,10.7,7.2,1538,1610,,,
10136,36073,36475,36207,28200,600000,600000,72,3804000,Discharging,14.2,22.4,11.6,14.1,8.8,1080,1122,,,
10138,35336,36207,35872,28200,600000,600000,72,3791000,Discharging,14.5,17.5,23.2,8.1,9.7,1599,1680,,,
10140,35470,37011,36073,28200,600000,600000,72,3801000,Discharging,14.4,20.4,15.0,13.3,9.7,1698,1684,,,
10143,35671,36609,36073,28200,600000,600000,72,3799000,Discharging,14.9,19.4,11.7,15.6,12.4,1065,1118,,,
10145,35135,37279,36542,28300,600000,600000,72,3802000,Discharging,13.9,21.7,11.2,13.4,9.4,1590,1659,,,
10147,35269,36877,36542,28200,600000,600000,72,3793000,Discharging,15.1,18.8,13.8,14.1,13.7,1578,1642,,,
10149,35202,36944,36274,28200,600000,600000,72,3795000,Discharging,13.8,21.1,10.3,9.3,14.8,1549,1649,,,
10152,35336,36877,36073,28200,600000,600000,72,3804000,Discharging,14.7,19.4,11.9,10.3,17.0,1141,1117,,,
10154,35604,36743,36073,28200,600000,600000,72,3794000,Discharging,14.3,21.3,12.4,9.9,13.7,1588,1666,,,
10156,35403,36810,35604,28200,600000,600000,72,3801000,Discharging,13.0,21.2,10.8,8.9,11.7,1561,1633,,,
10158,35805,36743,35872,28200,600000,600000,72,3799000,Discharging,14.4,23.0,10.7,14.3,9.5,1589,1632,,,
10161,35336,36542,35872,28200,600000,600000,72,3797000,Discharging,14.1,20.9,9.4,13.7,11.9,1089,1118,,,
10163,35671,36810,36006,28200,600000,600000,72,3793000,Discharging,14.9,20.5,8.1,14.1,16.9,1632,1643,,,
10165,35470,37212,35738,28200,600000,600000,72,3803000,Discharging,13.7,22.0,8.0,10.3,14.2,1611,1662,,,
10168,35135,37011,35872,28200,600000,600000,72,3803000,Discharging,14.7,22.6,12.4,11.2,13.4,1030,1088,,,
10170,35470,37011,36006,28200,600000,600000,72,3802000,Discharging,14.2,20.4,12.4,11.6,12.0,1624,1672,,,
10172,35604,37011,36475,28200,600000,600000,72,3798000,Discharging,14.6,24.3,11.9,10.3,12.1,1726,1693,,,
10174,35470,37011,36140,28200,600000,600000,72,3801000,Discharging,13.7,25.2,10.4,12.4,6.8,1607,1637,,,
10177,35336,36877,35604,28200,600000,600000,72,3802000,Discharging,14.5,21.0,10.5,12.8,13.7,1045,1088,,,
10179,35604,36877,36207,28200,600000,600000,72,3802000,Discharging,14.6,22.3,16.8,10.7,7.7,1560,1632,,,
10181,35470,37212,35604,28200,600000,600000,72,3798000,Discharging,14.2,18.9,13.2,11.7,13.7,1560,1656,,,
10183,35336,36743,36207,28200,600000,600000,72,3803000,Discharging,15.2,19.1,20.8,12.3,8.9,1702,1653,,,
10186,35336,36140,35537,28200,600000,600000,72,3802000,Discharging,14.4,20.9,15.0,10.7,10.1,1077,1128,,,
10188,35470,36944,36140,28200,600000,600000,72,3802000,Discharging,15.0,22.7,13.8,9.8,13.3,1578,1639,,,
10190,35068,36810,35805,28300,600000,600000,71,3798000,Discharging,14.4,25.0,10.3,10.6,12.3,1559,1658,,,
10193,35403,36341,35872,28300,600000,600000,71,3801000,Discharging,14.8,21.9,14.0,10.1,12.9,1147,1144,,,
10195,35537,36944,36408,28200,600000,600000,71,3802000,Discharging,14.0,18.9,12.8,11.5,12.9,1599,1669,,,
10197,35537,36810,35671,28200,600000,600000,71,3800000,Discharging,14.3,21.9,12.9,12.9,9.3,1581,1642,,,
10199,35403,36676,36006,28200,600000,600000,71,3800000,Discharging,14.0,21.3,9.4,15.1,10.2,1597,1660,,,
10202,35269,36743,35537,28200,600000,600000,71,3801000,Discharging,13.6,21.5,9.0,12.8,10.7,1051,1103,,,
10204,35537,36341,35805,28200,600000,600000,71,3792000,Discharging,14.9,21.9,14.0,18.0,6.7,1726,1696,,,
10206,35470,36810,35872,28200,600000,600000,71,3801000,Discharging,14.0,21.5,10.2,11.6,13.1,1576,1658,,,
10208,35336,36877,35939,28200,600000,600000,71,3798000,Discharging,14.6,22.0,9.9,11.1,15.1,1567,1635,,,
10211,35202,36676,35939,28200,600000,600000,71,3794000,Discharging,14.3,23.9,11.0,12.3,11.1,1151,1280,,,
10213,35470,36743,35872,28200,600000,600000,71,3794000,Discharging,14.9,22.8,9.8,11.7,14.3,1748,1687,,,
10215,35068,36944,35872,28200,600000,600000,71,3797000,Discharging,14.0,22.1,9.9,10.7,12.8,1598,1668,,,
10218,35738,36810,36073,28200,600000,600000,71,3801000,Discharging,14.9,23.9,15.9,8.5,11.1,1055,1121,,,
10220,34934,36743,35604,28200,600000,600000,71,3800000,Discharging,13.7,18.5,7.7,12.1,17.3,1582,1654,,,
10222,35135,36743,35537,28200,600000,600000,71,3797000,Discharging,13.8,20.5,12.2,12.4,9.8,1572,1672,,,
10224,35738,36944,36073,28200,600000,600000,71,3797000,Discharging,15.0,20.5,14.2,15.1,10.3,1722,1718,,,
10227,35269,36810,35738,28200,600000,600000,71,3802000,Discharging,14.0,22.6,8.4,11.1,13.8,1058,1100,,,
10229,35336,36944,35939,28200,600000,600000,71,3801000,Discharging,14.7,23.2,13.3,10.4,12.3,1588,1654,,,
10231,35537,36542,35738,28200,600000,600000,71,3802000,Discharging,14.0,19.0,9.4,11.2,15.2,1574,1662,,,
10233,35269,36274,35805,28200,600000,600000,71,3797000,Discharging,15.2,22.3,13.2,11.5,13.8,1726,1708,,,
10236,35604,36743,35604,28200,600000,600000,71,3801000,Discharging,13.8,20.8,14.7,13.2,7.1,1039,1093,,,
10238,35671,36676,35872,28200,600000,600000,71,3800000,Discharging,15.2,25.3,11.1,11.6,12.1,1578,1619,,,
10240,35068,36542,35537,28200,600000,600000,71,3798000,Discharging,14.2,18.8,9.7,9.9,19.0,1796,2038,,,
10243,35135,36743,35604,28200,600000,600000,71,3800000,Discharging,13.8,18.2,17.3,10.3,9.7,1027,1084,,,
10245,35001,36274,35805,28200,600000,600000,71,3795000,Discharging,14.9,23.0,17.3,8.1,10.6,1718,1680,,,
10247,35470,36944,35537,28200,600000,600000,71,3800000,Discharging,13.9,24.2,13.6,6.7,10.7,1583,1612,,,
10249,35269,36274,35604,28200,600000,600000,71,3801000,Discharging,15.4,19.9,20.4,8.5,13.3,1633,1672,,,
10252,35470,36609,35403,28200,600000,600000,71,3798000,Discharging,14.3,22.5,14.7,8.5,11.1,1061,1101,,,
10254,35403,36810,35939,28200,600000,600000,71,3794000,Discharging,15.3,21.7,13.7,12.7,12.8,1730,1692,,,
10256,35269,36877,35872,28200,600000,600000,71,3790000,Discharging,14.0,19.2,11.6,13.7,11.2,1593,1670,,,
10258,35470,36944,36140,28200,600000,600000,71,3794000,Discharging,14.9,21.8,8.9,21.6,8.0,1590,1645,,,
10261,35269,36810,35738,28200,600000,600000,71,3799000,Discharging,14.1,23.1,13.3,9.0,11.4,1065,1088,,,
10263,35671,36274,35805,28200,600000,600000,71,3799000,Discharging,14.2,20.0,11.9,12.9,10.7,1581,1673,,,
10265,35738,36944,36073,28200,600000,600000,71,3793000,Discharging,14.8,24.3,8.9,14.1,12.5,1738,1698,,,
10268,35403,36676,36207,28200,600000,600000,71,3796000,Discharging,14.2,21.9,11.2,12.9,10.7,1070,1133,,,
10270,35135,36743,36073,28200,600000,600000,71,3800000,Discharging,15.0,20.3,15.4,12.8,10.7,1598,1642,,,
10272,35269,36542,35604,28200,600000,600000,71,3798000,Discharging,14.0,22.7,12.4,10.2,11.6,1616,1666,,,
10274,35537,36743,35872,28200,600000,600000,71,3796000,Discharging,15.2,23.8,10.7,17.0,8.6,1772,1734,,,
10277,35403,36609,35872,28200,600000,600000,71,3797000,Discharging,14.0,23.6,13.2,6.4,12.7,1057,1118,,,
10279,35135,36743,36274,28200,600000,600000,71,3799000,Discharging,14.9,25.3,10.7,15.5,8.0,1613,1630,,,
10281,35470,36877,35671,28200,600000,600000,71,3801000,Discharging,14.3,20.4,16.4,11.5,8.9,1579,1671,,,
10283,35202,36944,35537,28200,600000,600000,71,3799000,Discharging,13.5,20.3,12.8,12.6,8.1,1570,1634,,,
10286,35202,36944,36140,28200,600000,600000,71,3792000,Discharging,14.9,25.8,14.5,8.5,11.3,1191,1153,,,
10288,35269,36475,35805,28200,600000,600000,71,3800000,Discharging,13.9,22.8,14.8,6.7,11.7,1560,1655,,,
10290,35403,36609,35872,28200,600000,600000,71,3800000,Discharging,15.0,20.5,10.9,18.9,8.8,1620,1696,,,
10293,34800,36341,35939,28200,600000,600000,71,3800000,Discharging,13.8,20.9,15.5,11.3,8.4,1069,1127,,,
10295,35068,36743,35403,28200,600000,600000,71,3795000,Discharging,15.1,22.6,12.4,15.0,10.7,1718,1655,,,
10297,35403,36408,35738,28200,600000,600000,71,3799000,Discharging,14.1,22.8,9.8,14.2,9.0,1592,1688,,,
10299,35403,37145,35872,28200,600000,600000,71,3799000,Discharging,14.6,21.6,11.7,16.9,7.6,1596,1647,,,
10302,35135,36877,35738,28200,600000,600000,71,3793000,Discharging,13.7,22.6,7.6,16.4,8.9,1054,1105,,,
10304,35336,36475,36408,28200,600000,600000,71,3792000,Discharging,14.4,22.1,16.0,11.9,7.7,1596,1684,,,
10306,35202,36810,35403,28200,600000,600000,71,3792000,Discharging,14.7,21.4,12.5,11.7,12.4,1706,1694,,,
10308,35269,36877,35872,28200,600000,600000,71,3799000,Discharging,13.9,24.0,14.2,8.1,9.0,1554,1664,,,
