# fw=zero workload=sf2 start=2026-09-14 09:24:32 soak=99C prelaunch=schedutil/1800000 launch_up=8528.59 max0=1416000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
8541,36944,38485,37815,28300,1416000,1416000,76,3835000,Discharging,,,,,,,,,,
8543,38686,38887,38016,28300,1008000,1008000,76,3832000,Discharging,27.9,31.8,39.2,18.0,23.1,4116,5055,,,
8546,37681,38284,37480,28300,1008000,1008000,76,3832000,Discharging,28.7,39.6,30.5,10.3,33.6,2232,2774,,,
8548,36810,37815,37212,28300,816000,816000,76,3838000,Discharging,28.4,26.0,34.9,32.9,20.0,2134,2526,,,
8550,36609,37681,37346,28300,816000,816000,76,3845000,Discharging,30.9,34.9,32.0,18.1,37.9,2121,2446,,,
8552,36810,37547,37145,28300,816000,816000,76,3844000,Discharging,28.2,25.6,35.3,44.2,7.4,2091,2468,,,
8554,36944,37748,37011,28300,816000,816000,76,3846000,Discharging,29.6,32.6,32.4,35.0,18.8,2240,2510,,,
8557,36475,37882,37078,28300,816000,816000,76,3847000,Discharging,29.7,36.1,28.2,35.8,19.2,1411,1627,,,
8559,36877,37547,37078,28300,816000,816000,76,3835000,Discharging,29.1,25.5,38.6,40.0,13.3,2091,2457,,,
8561,36609,37413,36877,28300,816000,816000,76,3835000,Discharging,32.6,23.4,46.3,28.4,32.3,2136,2486,,,
8563,37145,38351,37078,28300,816000,816000,76,3841000,Discharging,29.7,41.0,28.1,23.6,25.9,2951,3902,,,
8565,37346,38150,37011,28300,816000,816000,76,3846000,Discharging,32.1,30.5,37.3,51.8,8.2,2399,2724,,,
8568,37212,37949,37480,28300,816000,816000,76,3843000,Discharging,29.7,36.4,29.7,6.4,47.3,1928,2609,,,
8570,37748,38016,37882,28300,600000,600000,76,3829000,Discharging,32.1,34.7,53.7,13.3,25.6,4742,7296,,,
8572,38150,38753,38150,28300,600000,600000,76,3832000,Discharging,39.7,41.1,60.2,18.1,39.4,3916,5178,,,
8574,37949,38954,38351,28300,600000,600000,76,3832000,Discharging,40.9,19.7,83.3,16.5,42.9,4032,5316,,,
8577,37815,39222,38217,28300,600000,600000,76,3832000,Discharging,40.3,31.6,70.8,17.2,42.3,2598,3511,,,
8579,37614,38954,38016,28300,600000,600000,76,3834000,Discharging,38.0,37.2,57.0,20.0,37.5,3716,4906,,,
8581,38217,39155,38217,28300,600000,600000,76,3835000,Discharging,39.2,41.3,56.0,40.2,19.4,3722,4954,,,
8584,38351,39423,38552,28300,600000,600000,76,3830000,Discharging,39.6,35.2,65.8,13.6,43.2,2598,3477,,,
