# fw=zero workload=sonic start=2026-09-14 08:59:45 soak=99C prelaunch=schedutil/1008000 launch_up=7041.99 max0=600000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
7055,36475,38150,37011,28100,600000,600000,81,3872000,Discharging,,,,,,,,,,
7057,37279,38217,36944,28100,600000,600000,81,3884000,Discharging,27.2,28.5,13.9,39.9,26.3,3624,4504,,,
7059,36408,37815,36944,28100,600000,600000,81,3886000,Discharging,21.7,25.2,24.3,20.2,16.9,2862,3304,,,
7062,35336,36542,36140,28000,600000,600000,81,3891000,Discharging,18.9,27.6,14.0,23.7,10.6,1183,1216,,,
7064,36609,37413,36810,28100,600000,600000,81,3877000,Discharging,25.4,36.0,19.9,25.2,20.5,3032,3578,,,
7066,37145,38016,36408,28100,600000,600000,81,3881000,Discharging,27.4,42.0,15.6,34.2,18.1,3604,4412,,,
7069,36676,38485,37413,28100,600000,600000,81,3873000,Discharging,28.6,34.5,20.5,30.1,28.3,2453,2948,,,
7071,36944,38217,37413,28100,600000,600000,81,3871000,Discharging,27.2,34.7,16.4,37.2,21.6,3583,4408,,,
7073,37078,38552,37480,28100,600000,600000,81,3874000,Discharging,28.2,35.4,18.2,41.5,17.3,3588,4407,,,
7075,36944,38284,37212,28100,600000,600000,81,3875000,Discharging,27.4,35.3,21.2,24.6,28.0,3504,4318,,,
7078,37212,38150,37346,28100,600000,600000,81,3871000,Discharging,28.9,38.5,16.7,32.2,28.1,2354,2935,,,
7080,37212,38485,37212,28100,600000,600000,81,3874000,Discharging,27.4,31.7,19.1,31.4,26.9,3632,4306,,,
7082,37145,38686,37815,28100,600000,600000,81,3876000,Discharging,27.7,17.9,13.2,46.7,33.6,3535,4474,,,
7085,37011,38351,37882,28100,600000,600000,81,3877000,Discharging,29.3,15.6,12.8,42.2,46.7,2358,2963,,,
7087,37011,38351,37413,28100,600000,600000,81,3869000,Discharging,28.6,17.7,9.3,47.8,39.4,3562,4480,,,
7089,37547,38418,37413,28100,600000,600000,81,3872000,Discharging,29.7,19.9,11.9,43.0,42.4,3700,4553,,,
7091,37346,38418,37681,28100,600000,600000,81,3873000,Discharging,28.9,30.7,10.7,47.4,27.4,3640,4494,,,
7094,36475,37949,37346,28100,600000,600000,80,3869000,Discharging,21.4,26.7,16.1,20.7,22.1,1778,2103,,,
7096,35269,36877,35872,28100,600000,600000,80,3878000,Discharging,14.9,24.4,10.8,13.7,10.7,1345,1284,,,
7098,35671,37279,36542,28100,600000,600000,80,3888000,Discharging,17.9,21.4,11.7,21.3,16.2,1970,2186,,,
7101,35872,37078,36676,28100,1416000,1416000,80,3871000,Discharging,17.0,29.5,12.6,14.8,10.8,1632,1688,,,
7103,37346,38284,36944,28100,1200000,1200000,80,3874000,Discharging,21.6,34.0,17.2,20.1,15.7,4180,4882,,,
7105,37279,38418,37279,28100,1008000,1008000,80,3875000,Discharging,21.5,26.6,14.1,23.0,22.5,4112,4888,,,
7107,36877,38217,37480,28100,1008000,1008000,80,3869000,Discharging,21.7,27.5,14.4,23.4,21.0,3989,4840,,,
7109,36073,36676,36609,28100,1008000,1008000,80,3888000,Discharging,17.5,24.5,14.0,18.4,13.4,2412,2618,,,
7112,36341,37547,36475,28100,1008000,1008000,80,3874000,Discharging,18.5,27.9,9.3,17.4,19.1,1783,2019,,,
7114,37212,37949,37011,28100,1008000,1008000,80,3872000,Discharging,22.6,31.0,15.2,21.7,22.7,4088,4901,,,
7116,37480,38351,37748,28100,1008000,1008000,80,3873000,Discharging,21.9,28.5,18.9,24.4,16.2,4076,4960,,,
7118,37346,38753,37279,28100,1008000,1008000,80,3866000,Discharging,22.1,25.1,13.0,25.0,25.3,4051,4872,,,
7120,37145,38552,37279,28100,1008000,1008000,80,3873000,Discharging,22.7,25.0,15.9,25.6,24.2,4099,4918,,,
7123,37145,38284,37681,28100,1008000,1008000,80,3871000,Discharging,22.0,32.9,12.5,13.5,29.1,2718,3298,,,
7125,37212,38887,37815,28100,1008000,1008000,80,3871000,Discharging,22.2,24.3,10.8,34.4,20.5,3940,4860,,,
7127,37547,38686,37681,28100,1008000,1008000,80,3873000,Discharging,22.3,29.2,15.3,26.6,17.6,4018,4900,,,
7129,37346,38753,37949,28100,1008000,1008000,80,3867000,Discharging,22.8,25.9,20.4,25.2,19.5,4044,4895,,,
7131,37413,38150,37681,28100,1008000,1008000,80,3872000,Discharging,22.0,29.4,10.6,23.1,25.0,4140,4924,,,
7134,36944,38753,37614,28100,1008000,1008000,80,3872000,Discharging,23.6,26.3,14.0,27.7,25.9,2693,3263,,,
7136,37480,38753,37480,28100,1008000,1008000,80,3871000,Discharging,23.3,30.6,19.7,29.9,13.0,4084,4940,,,
7138,37078,38619,38083,28200,1008000,1008000,80,3868000,Discharging,22.0,30.7,13.8,21.5,21.6,4026,4844,,,
7140,37614,38954,37480,28100,1008000,1008000,80,3871000,Discharging,22.4,25.2,9.4,31.0,24.0,4100,4933,,,
7142,36743,38016,37078,28100,1008000,1008000,80,3868000,Discharging,20.3,27.6,10.7,19.2,23.4,3525,4234,,,
7145,35872,37212,36542,28100,1008000,1008000,80,3879000,Discharging,16.3,26.6,13.1,12.0,13.4,1413,1553,,,
7147,36140,36810,35738,28100,1008000,1008000,80,3873000,Discharging,15.4,23.6,11.6,16.2,11.4,2096,2352,,,
7149,36542,37011,36207,28100,1008000,1008000,80,3876000,Discharging,17.5,23.6,16.4,10.2,19.4,2353,2586,,,
7151,36475,37815,36609,28100,1008000,1008000,80,3873000,Discharging,20.1,25.8,14.8,21.2,19.0,3628,4248,,,
7153,36944,38552,37346,28100,1008000,1008000,80,3867000,Discharging,22.0,26.6,14.0,22.9,23.7,4042,4913,,,
7156,37614,38418,37480,28100,1008000,1008000,80,3872000,Discharging,22.0,22.3,13.8,32.7,20.0,2718,3297,,,
7158,36877,38418,37748,28100,1008000,1008000,80,3886000,Discharging,20.2,21.5,10.7,26.9,20.5,3232,3774,,,
7160,35805,37212,36609,28100,816000,816000,80,3885000,Discharging,17.7,32.9,12.8,13.6,11.9,2224,2400,,,
7162,36810,38552,37480,28100,600000,600000,80,3873000,Discharging,24.1,24.9,17.6,33.8,20.1,3576,4345,,,
7164,37480,38485,37614,28100,600000,600000,80,3874000,Discharging,28.5,17.5,17.1,32.3,47.8,3624,4522,,,
7167,37748,38753,37413,28100,600000,600000,80,3873000,Discharging,27.7,16.6,16.4,46.7,30.1,2410,3023,,,
7169,37346,38552,37748,28100,600000,600000,80,3874000,Discharging,28.4,21.4,25.1,43.2,24.0,3704,4542,,,
7171,36944,38619,37547,28100,600000,600000,80,3866000,Discharging,27.9,20.2,9.8,44.0,37.7,3760,4599,,,
7174,36944,38284,37681,28100,600000,600000,80,3868000,Discharging,27.9,25.1,15.4,40.4,31.0,2432,3018,,,
7176,37346,38619,37882,28100,600000,600000,80,3869000,Discharging,27.8,18.8,12.8,32.9,46.1,3592,4536,,,
7178,36810,37949,37413,28100,600000,600000,80,3871000,Discharging,24.4,24.9,15.9,27.9,28.9,3092,3766,,,
7181,36877,38284,36944,28100,600000,600000,80,3872000,Discharging,23.8,28.4,21.7,20.6,24.4,1923,2316,,,
7183,37078,38016,37279,28100,600000,600000,80,3868000,Discharging,22.4,29.1,21.1,20.1,20.1,2781,3208,,,
7185,36274,37949,36877,28100,600000,600000,80,3868000,Discharging,22.5,24.9,19.9,21.3,23.5,2536,2944,,,
7187,37279,38217,37547,28100,600000,600000,80,3867000,Discharging,25.4,27.2,16.0,23.3,35.4,3358,4158,,,
7190,37212,38351,37748,28100,600000,600000,80,3871000,Discharging,28.3,18.2,11.4,48.0,35.0,2418,3017,,,
7192,37011,38351,36877,28100,600000,600000,80,3869000,Discharging,20.7,26.1,10.3,22.9,22.9,2788,3159,,,
7194,35805,37011,36073,28100,600000,600000,80,3878000,Discharging,15.6,24.1,15.0,13.9,9.0,1358,1294,,,
7197,36140,37011,36676,28100,600000,600000,80,3884000,Discharging,17.2,27.2,11.2,11.5,20.2,1336,1440,,,
7199,36006,36877,36609,28100,600000,600000,80,3882000,Discharging,18.6,29.2,21.1,10.3,13.3,2146,2371,,,
7201,36877,37949,37212,28100,600000,600000,80,3878000,Discharging,27.2,36.8,17.9,31.4,21.9,3570,4446,,,
7203,37145,38485,37413,28100,600000,600000,80,3873000,Discharging,26.5,30.2,19.8,26.7,29.6,3766,4544,,,
7206,37279,38820,37547,28100,600000,600000,80,3878000,Discharging,24.9,32.6,13.3,31.6,21.4,2145,2624,,,
7208,36676,38016,37279,28100,600000,600000,80,3875000,Discharging,23.4,27.1,13.9,29.9,22.5,2974,3562,,,
7210,37279,38820,37949,28100,600000,600000,80,3876000,Discharging,29.0,28.1,15.6,33.8,38.5,3550,4422,,,
7213,37413,38619,37748,28100,600000,600000,80,3865000,Discharging,28.1,32.6,17.9,32.7,29.1,2455,2985,,,
7215,38016,38820,37882,28100,600000,600000,80,3869000,Discharging,28.5,26.8,14.2,41.6,32.0,3552,4430,,,
7217,37145,38820,37949,28100,600000,600000,80,3868000,Discharging,27.8,20.2,12.3,34.9,44.4,3553,4448,,,
7219,37279,38619,37547,28100,600000,600000,80,3870000,Discharging,28.5,23.8,13.8,37.2,38.4,3504,4352,,,
7222,37815,38887,37815,28200,600000,600000,80,3870000,Discharging,28.1,25.0,11.4,30.4,45.6,2283,2878,,,
7224,37681,38954,37748,28100,600000,600000,80,3870000,Discharging,28.8,22.9,10.5,41.4,40.3,3782,4538,,,
7226,37279,38820,38083,28100,600000,600000,80,3868000,Discharging,29.1,22.7,24.0,46.0,23.0,3614,4428,,,
7229,37145,38820,37815,28100,600000,600000,80,3867000,Discharging,28.1,18.6,9.3,52.4,32.3,2367,2988,,,
7231,37480,38954,38217,28100,600000,600000,80,3870000,Discharging,28.3,17.6,11.9,30.5,53.3,3510,4472,,,
7233,36475,37413,36743,28100,600000,600000,80,3878000,Discharging,19.1,23.7,10.3,29.1,13.5,2384,2569,,,
7236,35604,37011,36207,28100,600000,600000,80,3879000,Discharging,18.7,28.3,18.9,12.1,15.0,1158,1141,,,
7238,35805,37145,36207,28100,600000,600000,80,3882000,Discharging,17.4,24.7,13.3,21.9,10.4,1911,2122,,,
7240,36408,37882,37212,28100,600000,600000,80,3868000,Discharging,23.4,27.3,24.1,15.6,26.0,2800,3412,,,
7242,37346,38887,37547,28100,600000,600000,80,3867000,Discharging,26.7,35.4,17.6,28.3,25.6,3740,4502,,,
7245,37547,38485,37681,28100,600000,600000,80,3866000,Discharging,26.6,31.2,14.7,28.8,31.7,2416,2982,,,
7247,36944,38217,37681,28100,600000,600000,80,3882000,Discharging,22.5,25.7,15.0,20.3,28.6,2654,3179,,,
7249,35939,36944,36341,28100,600000,600000,80,3881000,Discharging,19.3,29.5,11.8,23.3,13.3,1805,1829,,,
7252,36810,38016,37547,28100,600000,600000,80,3867000,Discharging,25.7,33.5,17.3,24.1,27.3,1999,2407,,,
7254,37212,38887,38016,28200,600000,600000,80,3864000,Discharging,28.1,27.1,23.6,31.7,30.6,3836,4600,,,
7256,37681,38753,37413,28200,600000,600000,80,3868000,Discharging,29.3,19.5,16.8,35.2,44.9,3628,4532,,,
7258,37480,38887,37614,28100,600000,600000,80,3868000,Discharging,28.3,15.5,13.3,37.8,46.4,3618,4566,,,
7261,37614,38887,38150,28200,600000,600000,80,3865000,Discharging,28.3,24.3,11.6,42.1,35.7,2435,3003,,,
7263,37279,38753,37480,28200,600000,600000,80,3868000,Discharging,28.2,19.2,19.3,33.0,40.4,3824,4602,,,
7265,37346,38686,37882,28200,600000,600000,80,3867000,Discharging,28.9,20.3,16.0,36.0,43.7,3588,4474,,,
7268,37748,38217,37949,28200,600000,600000,80,3868000,Discharging,27.6,26.2,15.1,30.4,38.6,2424,2994,,,
7270,37882,38820,37614,28100,600000,600000,80,3869000,Discharging,27.5,23.8,17.6,33.3,34.4,3635,4521,,,
7272,37882,38753,38083,28100,600000,600000,80,3869000,Discharging,30.1,26.3,19.8,41.9,32.9,3680,4544,,,
7275,37547,39021,38217,28200,600000,600000,80,3872000,Discharging,28.7,26.2,20.9,33.8,33.5,2544,3067,,,
7277,37480,38619,37882,28100,600000,600000,80,3862000,Discharging,29.4,26.5,15.2,44.3,32.9,3660,4556,,,
7279,37547,38753,37882,28200,600000,600000,80,3865000,Discharging,28.8,28.3,18.1,32.0,35.9,3617,4460,,,
7281,36810,38418,37145,28200,600000,600000,80,3865000,Discharging,20.8,30.3,23.3,15.7,14.2,2605,3058,,,
7284,35805,36944,36542,28100,600000,600000,80,3877000,Discharging,15.0,24.8,12.3,17.3,4.6,978,868,,,
7286,36274,37480,36408,28100,600000,600000,80,3879000,Discharging,18.6,26.8,12.9,21.8,13.7,2030,2219,,,
7288,36341,37614,36542,28200,600000,600000,80,3879000,Discharging,19.2,29.5,18.3,17.9,11.5,2318,2566,,,
7290,37279,38016,37413,28100,600000,600000,80,3868000,Discharging,27.6,25.0,15.2,29.4,40.5,3614,4492,,,
7293,36944,38351,37882,28100,600000,600000,80,3867000,Discharging,27.2,22.6,15.6,29.5,40.4,2425,3058,,,
