# fw=zero workload=thps2 start=2026-09-14 09:41:03 soak=99C prelaunch=schedutil/1008000 launch_up=9519.66 max0=1800000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
9532,36609,37480,36609,28200,1416000,1800000,73,3810000,Discharging,,,,,,,,,,
9534,36676,37748,37011,28200,1608000,1800000,73,3822000,Discharging,14.8,24.9,13.1,13.1,10.0,2286,2644,,,
9537,36944,37815,37212,28300,1800000,1800000,73,3820000,Discharging,16.1,28.1,12.9,13.2,9.5,1678,1800,,,
9539,36877,37614,37011,28300,1416000,1800000,73,3816000,Discharging,15.1,25.8,14.2,9.2,10.3,2242,2634,,,
9541,36877,37614,37011,28200,1608000,1800000,73,3820000,Discharging,15.4,25.8,10.1,11.8,14.6,2292,2658,,,
9543,36609,37815,37279,28200,1416000,1800000,73,3821000,Discharging,14.3,22.4,12.7,7.2,14.3,2144,2556,,,
9545,36609,37547,37279,28200,1416000,1800000,73,3822000,Discharging,14.5,23.9,8.1,14.6,11.7,2254,2668,,,
9547,36743,37413,37078,28200,1608000,1800000,73,3810000,Discharging,15.3,22.9,14.3,12.4,11.5,2480,2733,,,
9549,36743,37882,36810,28200,1608000,1800000,73,3813000,Discharging,14.4,25.4,13.1,10.4,8.7,2256,2662,,,
9552,36341,37681,37145,28300,1800000,1800000,73,3817000,Discharging,15.7,23.3,10.5,14.5,14.4,1517,1757,,,
9554,36944,37547,36877,28200,1416000,1800000,73,3821000,Discharging,13.7,23.6,12.5,8.1,10.0,2238,2634,,,
9556,37145,37614,37279,28200,1416000,1800000,73,3823000,Discharging,15.0,23.3,15.4,12.3,9.6,2222,2626,,,
9558,37145,37815,37279,28200,1608000,1800000,73,3823000,Discharging,14.9,24.6,11.4,11.7,11.7,2556,2810,,,
9560,36542,37815,36877,28200,1416000,1800000,73,3822000,Discharging,14.2,25.1,13.1,10.0,8.3,2204,2595,,,
9562,36810,37480,36676,28200,1608000,1800000,73,3820000,Discharging,14.8,29.2,11.4,6.2,11.8,2118,2437,,,
9564,36676,37748,36877,28300,1608000,1800000,73,3814000,Discharging,14.7,23.9,16.3,11.6,8.1,2253,2635,,,
9567,36408,37748,37279,28300,1608000,1800000,73,3814000,Discharging,16.2,25.1,12.3,14.4,11.9,1500,1738,,,
9569,36609,37614,37145,28300,1608000,1800000,73,3816000,Discharging,14.9,23.6,9.2,12.7,14.6,2456,2751,,,
9571,36475,37413,37614,28300,1608000,1800000,73,3817000,Discharging,15.1,22.3,11.8,15.1,11.0,2304,2690,,,
9573,37011,37748,37011,28200,1608000,1800000,73,3815000,Discharging,15.5,23.5,9.2,13.6,16.4,2224,2582,,,
