# fw=zero workload=zelda start=2026-09-14 09:08:02 soak=99C prelaunch=schedutil/1416000 launch_up=7538.51 max0=1008000 gov=schedutil devfreq=none,none backlight=none
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status,cpu_busy,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight
7551,36810,38083,37011,28200,1008000,1008000,79,3861000,Discharging,,,,,,,,,,
7553,36676,38150,37078,28200,1008000,1008000,79,3866000,Discharging,21.1,16.2,8.4,29.0,29.6,3018,3544,,,
7556,36743,38351,37346,28200,1008000,1008000,79,3868000,Discharging,20.6,16.4,10.3,22.7,33.5,2019,2383,,,
7558,36810,38217,37145,28200,1008000,1008000,79,3865000,Discharging,19.4,18.1,13.9,20.8,24.7,3018,3561,,,
7560,35738,37346,36743,28200,1008000,1008000,79,3868000,Discharging,14.5,22.1,13.8,9.5,13.5,2268,2325,,,
7562,35604,37011,36073,28200,1008000,1008000,79,3868000,Discharging,10.9,19.7,7.9,9.3,6.1,1574,1664,,,
7564,36877,37882,37078,28200,1008000,1008000,79,3870000,Discharging,18.3,26.4,10.2,15.7,20.9,3073,3511,,,
7567,36743,37949,37145,28200,1008000,1008000,79,3869000,Discharging,18.3,31.9,8.5,16.1,16.2,2037,2345,,,
7569,36676,37815,36609,28200,1008000,1008000,79,3868000,Discharging,18.4,30.5,15.9,13.6,13.8,3194,3594,,,
7571,36810,37547,37212,28200,1008000,1008000,79,3869000,Discharging,17.3,27.1,15.5,14.0,13.3,3612,4802,,,
7573,36609,37882,36743,28200,1008000,1008000,79,3864000,Discharging,16.4,28.7,13.1,13.8,9.6,2846,3206,,,
7575,36341,37882,36877,28200,1008000,1008000,79,3866000,Discharging,17.4,28.0,18.8,13.9,9.3,2493,2785,,,
7577,36408,37279,36475,28200,1008000,1008000,79,3871000,Discharging,16.1,27.8,11.2,14.2,10.7,2302,2556,,,
7580,35738,37279,37011,28200,1008000,1008000,79,3869000,Discharging,14.6,21.2,16.5,12.5,8.3,1436,1572,,,
7582,35939,37212,36073,28200,1008000,1008000,79,3870000,Discharging,12.3,20.3,13.5,8.0,7.4,2460,3054,,,
7584,35604,37279,35537,28200,1008000,1008000,79,3871000,Discharging,12.0,20.8,10.6,10.7,5.7,1841,2024,,,
7586,35872,37279,36475,28200,1008000,1008000,79,3865000,Discharging,14.7,24.5,8.5,9.7,16.6,2272,2555,,,
7588,36207,37212,36341,28200,1008000,1008000,79,3864000,Discharging,13.0,22.1,9.8,14.4,5.6,2146,2493,,,
7591,35738,37346,36006,28200,1008000,1008000,79,3869000,Discharging,12.3,18.6,11.2,7.8,11.6,1323,1410,,,
7593,35805,37145,36408,28100,1008000,1008000,79,3867000,Discharging,11.4,18.7,10.6,6.6,8.8,1862,2070,,,
7595,35939,37480,36676,28200,1008000,1008000,79,3868000,Discharging,11.7,15.1,14.4,9.7,8.9,1750,1969,,,
7597,36006,37145,36408,28200,1008000,1008000,79,3869000,Discharging,12.3,16.9,14.7,8.8,7.5,1704,1910,,,
7599,35738,36944,36006,28200,1008000,1008000,79,3864000,Discharging,10.2,17.4,9.3,11.1,3.3,1683,1908,,,
7601,35403,36810,35939,28200,1008000,1008000,79,3863000,Discharging,11.8,17.1,11.6,8.6,9.7,2788,3868,,,
7604,35202,36810,35805,28200,408000,1008000,79,3867000,Discharging,9.9,15.3,9.7,7.0,7.5,1089,1209,,,
7606,35537,36810,35604,28200,1008000,1008000,79,3865000,Discharging,11.6,16.7,12.0,11.2,6.9,2156,2824,,,
7608,35336,37011,36475,28200,1008000,1008000,79,3870000,Discharging,10.0,12.9,12.1,7.5,7.4,1556,1771,,,
7610,35604,36743,35604,28200,1008000,1008000,79,3866000,Discharging,11.0,14.4,13.6,7.4,8.4,1660,1823,,,
7612,35470,36542,36140,28200,1008000,1008000,79,3870000,Discharging,9.7,16.7,10.2,6.0,5.2,1729,1826,,,
7615,35202,36542,36073,28200,1008000,1008000,79,3867000,Discharging,10.2,12.8,13.4,6.0,8.0,1102,1201,,,
