# fw=zero workload=menuidle start=2026-09-14 10:17:51 gov=schedutil max0=1800000 devfreq=none,none backlight=none gpu_pm=/sys/devices/platform/7001000.gpu-power-domain/power/runtime_status
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight,fb_blank,gpu_pm
19,29708,30177,29373,25100,600000,32.4,70,3799000,Discharging,24.6,28.0,40.1,36.8,2674,3103,,,,,unsupported
22,28837,29775,29239,25100,600000,31.3,70,3805000,Discharging,23.7,31.0,38.7,31.4,3005,4939,,,,,unsupported
24,28703,29507,29306,25100,600000,32.2,70,3809000,Discharging,23.7,34.5,33.5,37.0,3564,5108,,,,,unsupported
26,28703,29641,29306,25100,600000,35.3,70,3807000,Discharging,41.4,34.5,34.1,31.1,2116,1927,,,,,unsupported
28,27765,29440,28636,25100,600000,7.9,70,3810000,Discharging,8.8,6.8,9.3,7.0,1276,1299,,,,,unsupported
31,27497,29038,28100,25200,600000,4.6,70,3813000,Discharging,4.0,4.9,5.3,4.4,739,751,,,,,unsupported
33,27564,28703,28301,25200,408000,4.1,70,3813000,Discharging,4.0,6.6,2.7,2.7,1103,1092,,,,,unsupported
35,27229,28837,28368,25200,600000,4.4,70,3812000,Discharging,6.2,3.1,4.8,4.4,1165,1186,,,,,unsupported
38,27497,29105,28033,25200,600000,3.9,70,3813000,Discharging,3.6,3.5,4.4,4.0,685,737,,,,,unsupported
40,27698,29105,28435,25200,600000,3.9,70,3812000,Discharging,5.3,2.2,3.9,3.6,1006,1086,,,,,unsupported
42,27430,28837,28100,25200,600000,3.8,70,3811000,Discharging,4.8,5.3,2.7,2.6,1004,1099,,,,,unsupported
44,27631,29105,28167,25300,600000,4.1,70,3808000,Discharging,4.0,3.5,5.3,3.5,1158,1139,,,,,unsupported
47,27296,29105,28100,25300,600000,4.1,70,3811000,Discharging,3.1,6.6,2.2,4.4,671,729,,,,,unsupported
49,27497,29105,28569,25200,600000,5.8,70,3815000,Discharging,6.2,8.8,4.0,4.8,1110,1130,,,,,unsupported
51,27564,29038,28435,25200,600000,3.9,70,3815000,Discharging,3.6,4.4,2.7,3.5,960,972,,,,,unsupported
54,27564,29239,28234,25200,600000,4.1,70,3815000,Discharging,4.0,3.5,4.4,4.8,633,650,,,,,unsupported
56,27698,29038,28435,25300,600000,4.0,70,3815000,Discharging,4.0,3.5,4.9,3.5,1061,1027,,,,,unsupported
58,27162,29038,28234,25300,600000,3.7,70,3815000,Discharging,4.4,2.6,2.7,4.0,955,986,,,,,unsupported
60,27497,29105,28301,25300,600000,3.9,70,3810000,Discharging,4.0,5.3,4.0,2.6,948,969,,,,,unsupported
63,27899,28904,28636,25300,600000,3.8,70,3815000,Discharging,4.9,3.1,2.7,4.0,654,643,,,,,unsupported
65,27430,29239,28703,25300,600000,4.0,70,3815000,Discharging,4.9,4.0,2.2,4.4,1100,1023,,,,,unsupported
67,27899,29239,28636,25300,600000,3.7,70,3814000,Discharging,4.4,4.0,3.5,3.1,933,967,,,,,unsupported
69,28033,29105,28502,25300,600000,3.7,70,3810000,Discharging,5.3,3.5,4.0,2.7,936,984,,,,,unsupported
72,27832,29239,28569,25300,600000,3.7,70,3814000,Discharging,3.1,4.5,3.5,3.5,652,656,,,,,unsupported
74,27966,29373,28703,25300,600000,3.9,70,3814000,Discharging,2.7,4.4,3.6,4.4,966,965,,,,,unsupported
76,27564,29306,28837,25300,600000,4.1,70,3814000,Discharging,5.4,3.6,3.9,3.1,1046,1020,,,,,unsupported
79,27698,29172,28569,25300,600000,4.1,70,3814000,Discharging,4.0,2.2,6.2,4.4,641,649,,,,,unsupported
81,27966,29105,28301,25300,600000,4.1,70,3814000,Discharging,3.1,6.6,3.1,3.1,967,1005,,,,,unsupported
83,28033,29172,28301,25300,600000,3.7,70,3814000,Discharging,5.8,2.7,2.7,4.0,930,977,,,,,unsupported
85,27698,29373,28904,25300,600000,3.9,70,3809000,Discharging,3.6,4.4,3.1,4.9,1108,1026,,,,,unsupported
88,27765,29239,28837,25300,600000,3.8,70,3813000,Discharging,4.9,2.2,4.4,3.1,621,655,,,,,unsupported
90,27765,29306,28502,25300,600000,3.9,70,3812000,Discharging,4.0,3.1,3.5,4.9,946,986,,,,,unsupported
92,27899,29172,28636,25300,600000,3.6,70,3813000,Discharging,1.8,3.1,3.9,4.9,975,958,,,,,unsupported
95,27765,29507,28703,25300,600000,3.9,70,3813000,Discharging,2.7,3.5,4.0,5.7,617,650,,,,,unsupported
97,27899,29239,28435,25300,600000,3.8,70,3812000,Discharging,4.0,3.1,5.8,3.1,1125,1064,,,,,unsupported
99,27899,29239,28368,25300,600000,3.9,70,3813000,Discharging,3.6,4.0,2.7,3.6,982,996,,,,,unsupported
101,27631,29708,28502,25300,600000,3.5,70,3812000,Discharging,5.3,4.4,3.5,1.8,925,960,,,,,unsupported
104,28033,29239,28770,25300,600000,3.8,70,3813000,Discharging,3.5,5.3,3.1,3.1,641,654,,,,,unsupported
106,27966,29239,28569,25300,600000,4.0,70,3812000,Discharging,5.4,4.0,2.2,4.0,1084,1058,,,,,unsupported
108,28167,29507,28770,25300,600000,4.2,70,3812000,Discharging,5.3,2.6,3.5,5.3,958,996,,,,,unsupported
110,27698,29507,28636,25300,600000,4.0,70,3808000,Discharging,3.1,2.7,3.1,7.5,981,991,,,,,unsupported
113,28033,29373,28837,25300,600000,3.6,70,3812000,Discharging,3.6,3.6,2.2,4.4,628,639,,,,,unsupported
115,28167,29440,28502,25300,600000,3.9,70,3811000,Discharging,3.6,4.4,3.1,4.0,943,973,,,,,unsupported
117,28033,29708,28971,25300,600000,4.0,70,3812000,Discharging,3.5,5.8,3.5,3.5,1109,1042,,,,,unsupported
120,28100,29507,28770,25300,600000,3.8,70,3812000,Discharging,4.9,3.1,4.0,3.1,628,665,,,,,unsupported
122,28100,30110,28837,25300,600000,3.9,70,3812000,Discharging,4.4,2.6,5.8,2.2,948,986,,,,,unsupported
124,28234,29507,28703,25300,600000,3.8,70,3811000,Discharging,5.3,3.6,4.0,2.2,938,971,,,,,unsupported
126,28167,29507,28904,25300,600000,4.0,70,3807000,Discharging,3.6,4.4,4.0,4.8,1084,1033,,,,,unsupported
129,28435,29440,28837,25300,600000,3.8,70,3811000,Discharging,4.9,2.7,2.7,4.4,626,667,,,,,unsupported
131,28636,29641,28770,25300,600000,3.9,70,3811000,Discharging,5.8,2.7,4.8,2.6,961,970,,,,,unsupported
133,28100,29909,29038,25300,600000,3.8,70,3811000,Discharging,5.3,2.2,4.4,3.1,944,968,,,,,unsupported
136,28234,29775,28971,25300,600000,3.9,70,3807000,Discharging,4.0,3.1,3.1,4.9,610,653,,,,,unsupported
138,28301,29574,28770,25300,600000,4.1,70,3812000,Discharging,3.6,4.0,3.5,5.3,1112,1034,,,,,unsupported
140,28234,29909,29105,25300,600000,3.8,70,3810000,Discharging,4.4,2.7,2.2,5.4,930,988,,,,,unsupported
142,28301,29641,28770,25300,600000,3.8,70,3811000,Discharging,4.0,4.9,4.4,2.7,996,990,,,,,unsupported
145,28234,30043,28770,25300,600000,4.0,70,3810000,Discharging,2.7,4.9,4.4,3.1,621,659,,,,,unsupported
147,28234,29775,29172,25300,600000,4.1,70,3810000,Discharging,3.1,4.8,6.6,2.7,1115,1046,,,,,unsupported
149,28167,29641,28770,25300,600000,3.8,70,3810000,Discharging,3.5,5.3,3.5,2.7,966,979,,,,,unsupported
152,28435,29976,28904,25300,600000,3.9,70,3806000,Discharging,2.7,4.0,4.5,3.6,656,658,,,,,unsupported
154,28234,29641,28837,25300,600000,3.9,70,3810000,Discharging,1.8,2.2,6.2,5.3,948,1000,,,,,unsupported
156,28569,29708,29038,25300,600000,3.7,70,3810000,Discharging,4.5,4.4,3.1,3.5,929,982,,,,,unsupported
158,28033,29976,28770,25300,600000,3.8,70,3810000,Discharging,4.4,2.2,4.9,3.5,1099,1035,,,,,unsupported
161,28301,29775,29105,25300,600000,4.1,70,3808000,Discharging,6.2,3.5,3.9,3.1,624,649,,,,,unsupported
163,28100,29641,28971,25300,600000,3.9,70,3809000,Discharging,5.0,3.1,3.5,3.1,956,1000,,,,,unsupported
